Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Titre,CRF ISARIQUE CRF,,
Conception de ce formulaire de rapport de cas (CRF),Ce CRF est configuré dans des modules à utiliser pour enregistrer des données sur [project_name].  Un modèle pour les instructions d'achèvement est ci-dessous. Cela devrait être adapté aux objectifs de votre collecte de données.,,
Formulaire de présentation,Toujours terminé le premier jour de présentation / admission / évaluation.,,
Formulaire de présentation,CHIMING / ÉVÉNEMENTS: Admission à l'hôpital / Évaluation initiale,,
Forme quotidienne,Toujours terminer le premier jour de présentation / d'admission / évaluation,,
Forme quotidienne,"Le cas échéant, terminée le jour de l'admission aux soins intensifs / Unité de dépendance élevée / soins intensifs (si différent de la date de la première présentation / de l'admission)",,
Forme quotidienne,Option à terminer les jours où des échantillons spécifiques sont prélevés,,
Forme quotidienne,Option pour terminer quotidiennement si vous intéressez à une analyse spécifique.,,
Forme quotidienne,CHIMING / ÉVÉNEMENTS: Admission à l'hôpital / Évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif),,
Formulaire de résultat,Toujours complet à la sortie ou à la mort ou à la fin de la période d'étude,,
Formulaire de résultat,CHIMING / ÉVÉNEMENTS: libération / mort / fin d'étude,,
Détails de suivi,Continuez à suivre les patients qui transfèrent entre les services.,,
Timing / événements,Admission à l'hôpital / évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif) | Libération / mort / fin d'étude,,
Orientation générale,Contactez Isaric Global Support Center à data@isaric.org,,
Orientation générale,"Le CRF est conçu pour collecter des données obtenues grâce à l'examen, à l'entretien, à l'examen des notes de l'hôpital ou à l'extraction des dossiers de santé électroniques.  Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé.",,
Orientation générale,Veuillez vous référer à la directive d'achèvement du CRF pour des conseils détaillés sur la façon de remplir ces formulaires.,,
Orientation générale,"Votre institution peut capturer les données: <br/> (a) sur la base de données RedCap hébergée isarique - Contactez Isaric pour l'accès, <br/> (b) À une base de données RedCap hébergée dans votre institution - Contactez Isaric si vous souhaitez que le support soit défini Ceci, ou <br/> (c) sur une base de données ou un système de dossier de santé électronique dans votre établissement - contactez Isarique pour soutenir la cartographie des données.",,
Orientation générale,"Les numéros d'identification des participants se composent d'un code de site à 5 chiffres et d'un numéro de participant à 4 chiffres. <br/> Veuillez obtenir un code de site et vous inscrire sur le système de gestion des données en contactant Isarique.  Les numéros des participants doivent être attribués séquentiellement pour chaque site commençant par 0001 ou en blocs, incluant éventuellement des caractères alpha, lorsqu'ils sont utiles.  Par exemple, le quartier X attribuera des numéros à partir de 0001 ou A001 et Ward Y attribuera les numéros à partir de 5001 ou B001.",,
Orientation générale,"Pour les participants qui reviennent pour la réadmission sur le même site, démarrez un nouveau formulaire avec un numéro d'identification des participants différents. Veuillez vérifier ""oui-admis précédemment à cette installation"" dans la section de réadmission. Entrez en 2 enregistrements distincts si vous utilisez une base de données RedCap (ou similaire).",,
Orientation générale,"Pour les participants qui transfèrent entre deux sites qui collectent tous deux des données sur ce formulaire, il est préféré que les données soient entrées par un seul site en tant qu'admission, dans le même numéro d'identification des participants. Lorsque cela n'est pas possible, le premier site doit enregistrer ""transfert vers une autre installation"" comme résultat, et le deuxième site doit démarrer un nouveau formulaire avec un nouveau numéro de patient et indiquer ""oui- ... puis transféré dans cette installation"" dans le RE -Admission et section PIN précédente.",,
Orientation générale,Les sélections avec cercles () sont une seule sélection (choisissez une seule réponse). Les sélections avec des boîtes carrées () sont plusieurs sélections (choisissez autant de réponses que sont applicables). Unk = inconnu,,
