Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremonio,63996006.0,SNOMED,fungi,,,
Adenoviridae,424470006.0,SNOMED,virus,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,
Andes ortohantavirus,442001008.0,SNOMED,virus,,,
Arenaviridae,243624009.0,SNOMED,virus,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,
Aspergilo,2429008.0,SNOMED,fungi,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,
Complejo aspergillus fumigatus,719029007.0,SNOMED,fungi,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,
Astroviridae,424055004.0,SNOMED,virus,,,
Influenza aviar A H5N1,772827006.0,SNOMED,virus,,,
Influenza aviar A H7N9,609444009.0,SNOMED,virus,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,
Bocavirus (género),430902006.0,SNOMED,virus,,,
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",,,
Bunyaviridae (familia),243615000.0,SNOMED,virus,,,
Caliciviridae (familia),243627002.0,SNOMED,virus,,,
Candida,3265006.0,SNOMED,fungi,,,
Candida albicans,53326005.0,SNOMED,fungi,,,
Candida auris,3490000000000.0,SNOMED,fungi,,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,
Candida glabrata,444877006.0,SNOMED,fungi,,,
Candida inconspicua,283871001.0,SNOMED,fungi,,,
Ortopsilosis de candida,3690000000000.0,SNOMED,fungi,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,
Candida Tropicalis,47885008.0,SNOMED,fungi,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,
Coccidioides,8672004.0,SNOMED,fungi,,,
Coccidioides inmites,23439005.0,SNOMED,fungi,,,
Coronaviridae (familia),243607003.0,SNOMED,virus,,,
Virus de fiebre hemorrágica de Crimea-Congo (CCHF),79875007.0,SNOMED,virus,,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,
Criptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,
