Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Título,CRF básico de ISARIC,,
DISEÑO DE ESTE FORMULARIO DE INFORME DE CASO (CRF),Este CRF está configurado en módulos que se utilizarán para registrar datos sobre [NOMBRE_DEL_PROYECTO]. A continuación se incluye una plantilla con instrucciones para completar el formulario. Esta plantilla debe adaptarse a los objetivos de la recopilación de datos.,,
FORMULARIO DE PRESENTACIÓN,SIEMPRE completar el primer día de presentación/admisión/evaluación.,,
FORMULARIO DE PRESENTACIÓN,Momento/Eventos: Ingreso al hospital/evaluación inicial,,
FORMULARIO DIARIO,SIEMPRE completar el primer día de presentación/admisión/evaluación,,
FORMULARIO DIARIO,"SI CORRESPONDE, completar el día del ingreso a la UCI/unidad de alta dependencia/cuidados críticos (si la fecha es diferente a la fecha de la primera presentación/ingreso)",,
FORMULARIO DIARIO,OPCIÓN para completar en días en que se toman muestras específicas de investigación,,
FORMULARIO DIARIO,OPCIÓN para completar diariamente si es de interés para un análisis específico.,,
FORMULARIO DIARIO,Momento/eventos: ingreso al hospital/evaluación inicial | ingreso a la UCI (si corresponde) | toma de muestra para investigación (opcional) | según el protocolo del sitio (opcional),,
FORMULARIO DE RESULTADOS,SIEMPRE completar en el momento del alta o fallecimiento o al final del período de estudio,,
FORMULARIO DE RESULTADOS,Momento/acontecimientos: alta/muerte/fin del estudio,,
FORMULARIO DE SEGUIMIENTO,Horarios/Eventos: Según protocolo del sitio (opcional),,
FORMULARIO DE DESISTIMIENTO,Horarios/Eventos: Según protocolo del sitio (opcional),,
Detalles de seguimiento,Continuar con el seguimiento de los pacientes que se trasladan entre salas.,,
Tiempo/Eventos,Admisión al hospital/evaluación inicial | Admisión a la UCI (si corresponde) | Toma de muestra para investigación (opcional) | Según el protocolo del sitio (opcional) | Alta/muerte/fin del estudio,,
ORIENTACIÓN GENERAL,Comuníquese con el Centro de soporte global de ISARIC en data@isaric.org,,
ORIENTACIÓN GENERAL,"El CRF está diseñado para recopilar datos obtenidos a través de exámenes, entrevistas, revisión de notas del hospital o extracción de registros médicos electrónicos. Los datos pueden recopilarse de forma prospectiva o retrospectiva si el paciente se inscribe después de la fecha de presentación en un centro de salud.",,
ORIENTACIÓN GENERAL,Consulte la Guía de finalización del CRF para obtener instrucciones detalladas sobre cómo completar estos formularios.,,
ORIENTACIÓN GENERAL,"Su institución puede capturar datos: <br/>(a) en la base de datos REDCap alojada en ISARIC: comuníquese con ISARIC para obtener acceso, <br/>(b) en una base de datos REDCap alojada en su institución: comuníquese con ISARIC si desea recibir ayuda para configurarla, o<br/>(c) en una base de datos o sistema de registro médico electrónico en su institución: comuníquese con ISARIC para obtener ayuda con el mapeo de datos.",,
ORIENTACIÓN GENERAL,"Los números de identificación de los participantes consisten en un código de sitio de 5 dígitos y un número de participante de 4 dígitos. <br/>Obtenga un código de sitio y regístrese en el sistema de gestión de datos poniéndose en contacto con ISARIC. Los números de participante deben asignarse secuencialmente para cada sitio comenzando con 0001 o en bloques, posiblemente incluyendo caracteres alfabéticos, cuando sea útil. Por ejemplo, el Distrito X asignará números a partir de 0001 o A001 en adelante y el Distrito Y asignará números a partir de 5001 o B001 en adelante.",,
ORIENTACIÓN GENERAL,"Para los participantes que regresan para ser readmitidos al mismo sitio, comience un nuevo formulario con un Número de identificación de participante diferente. Marque ""SÍ, admitido previamente en este centro"" en la sección READMISIÓN. Ingrese como 2 registros separados si está utilizando una base de datos REDCap (o similar).",,
ORIENTACIÓN GENERAL,"En el caso de los participantes que se trasladan entre dos centros en los que se recopilan datos en este formulario, es preferible que los datos se ingresen en un solo centro como una sola admisión, con el mismo número de identificación del participante. Cuando esto no sea posible, el primer centro debe registrar ""Transferencia a otro centro"" como RESULTADO, y el segundo centro debe iniciar un nuevo formulario con un nuevo número de paciente e indicar ""SÍ... luego transferido a este centro"" en la sección READMISIÓN Y PIN ANTERIOR.",,
ORIENTACIÓN GENERAL,Las selecciones con círculos () son de selección única (elige solo una respuesta). Las selecciones con recuadros () son de selección múltiple (elige tantas respuestas como corresponda). Unk = Desconocido,,
