Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremônio,63996006.0,SNOMED,fungi,,,
Adenovírus,424470006.0,SNOMED,virus,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,
Orthohantavirus dos Andes,442001008.0,SNOMED,virus,,,
Arenaviridae,243624009.0,SNOMED,virus,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,
Aspergillus,2429008.0,SNOMED,fungi,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,
Complexo Aspergillus fumigatus,719029007.0,SNOMED,fungi,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,
Astrovírus,424055004.0,SNOMED,virus,,,
Gripe Aviária A H5N1,772827006.0,SNOMED,virus,,,
Gripe Aviária A H7N9,609444009.0,SNOMED,virus,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,
Bocavírus (Gênero),430902006.0,SNOMED,virus,,,
Brugia malaia,112443002.0,SNOMED,"parasite, helminth",,,
Bunyaviridae (Família),243615000.0,SNOMED,virus,,,
Caliciviridae (Família),243627002.0,SNOMED,virus,,,
Cândida,3265006.0,SNOMED,fungi,,,
Candida albicans,53326005.0,SNOMED,fungi,,,
Candida auris,3490000000000.0,SNOMED,fungi,,,
Candida dubliniensis,115952006.0,SNOMED,fungi,,,
Candida glabrata,444877006.0,SNOMED,fungi,,,
Candida inconspicua,283871001.0,SNOMED,fungi,,,
Candida ortopsilose,3690000000000.0,SNOMED,fungi,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,
Candida tropicalis,47885008.0,SNOMED,fungi,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,
Coccidioides,8672004.0,SNOMED,fungi,,,
Coccidioides immitis,23439005.0,SNOMED,fungi,,,
Coronaviridae (Família),243607003.0,SNOMED,virus,,,
Vírus da febre hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,,,
Criptococo gattii,450862004.0,SNOMED,fungi,,,
Criptococo neoformans,67168003.0,SNOMED,fungi,,,
Criptosporídio,83821001.0,SNOMED,"parasite, protozoa",,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,
Ciclospora,103560006.0,SNOMED,"parasite, protozoa",,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,
Citomegalovírus,407444007.0,SNOMED,virus,,,
Deltavírus,83617006.0,SNOMED,virus,,,
Vírus da dengue,34348001.0,SNOMED,virus,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,
Vírus ebola,424206003.0,SNOMED,virus,,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,
Enterovírus (gênero Enterovirus),243633006.0,SNOMED,virus,,,
Epidermofíton,112403007.0,SNOMED,fungi,,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,
Filoviridae (Família),407325004.0,SNOMED,virus,,,
Flaviviridae (Família),243602009.0,SNOMED,virus,,,
Fungos,414561005.0,SNOMED,fungi,,,
Fusarium,35238009.0,SNOMED,fungi,,,
Gênero Marburgvirus,424421007.0,SNOMED,virus,,,
Giárdia,61419001.0,SNOMED,"parasite, protozoa",,,
Giárdia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",,,
Hantavírus,49445003.0,SNOMED,virus,,,
Vírus Hendra,115510008.0,SNOMED,virus,,,
Hepadnaviridae,422951006.0,SNOMED,virus,,,
Vírus da hepatite A,32452004.0,SNOMED,virus,,,
Vírus da hepatite B,81665004.0,SNOMED,virus,,,
Vírus da hepatite C,62944002.0,SNOMED,virus,,,
