Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acromobacteria,91620006.0,SNOMED,bacteria,,
Bacterias del género Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,
Acinetobacteria,7757008.0,SNOMED,bacteria,,
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,
Complejo Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,
Acinetobacter johnsonii,252000.0,SNOMED,bacteria,,
Actinomyces israelii,46369004.0,SNOMED,bacteria,,
Aeromonas,88529008.0,SNOMED,bacteria,,
Aggregatibacter,441718002.0,SNOMED,bacteria,,
Bacterias anaeróbicas,59343002.0,SNOMED,bacteria,,
Bacilo,44762009.0,SNOMED,bacteria,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,
Bacteroides thetaiotaomicron,34236001.0,SNOMED,bacteria,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,,
Burkholderia,414324002.0,SNOMED,bacteria,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,
Campylobacter,35408001.0,SNOMED,bacteria,,
Clamidia,16241000.0,SNOMED,bacteria,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,
Bacterias criseobacterianas indologenes,113549008.0,SNOMED,bacteria,,
Citrobacteria,75972000.0,SNOMED,bacteria,,
Citrobacter braakii,114262000.0,SNOMED,bacteria,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,
Citrobacter koseri,114264004.0,SNOMED,bacteria,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,
Clostridium difficile (toxina positiva),736050006.0,SNOMED,bacteria,,
Clostridium tetani,30917009.0,SNOMED,bacteria,,
Staphylococcus coagulasa negativo,116197008.0,SNOMED,bacteria,,
Bacterias coliformes,77309002.0,SNOMED,bacteria,,
Corinebacteria,77086004.0,SNOMED,bacteria,,
Corynebacterium amycolatum,113611002.0,SNOMED,bacteria,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,
Corynebacterium pseudotuberculosis,55084001.0,SNOMED,bacteria,,
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,
Corynebacterium ulcerans,103428000.0,SNOMED,bacteria,,
Corynebacterium xerosis,27101006.0,SNOMED,bacteria,,
Criptococo,17579001.0,SNOMED,bacteria,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,
Delftia,416493002.0,SNOMED,bacteria,,
Delftia acidovorans,20432002.0,SNOMED,bacteria,,
Dermabacter,413976002.0,SNOMED,bacteria,,
Difteroide,54642001.0,SNOMED,bacteria,,
Egerthella,414075007.0,SNOMED,bacteria,,
Reina Isabel,426244005.0,SNOMED,bacteria,,
Bacterias entéricas,106544002.0,SNOMED,bacteria,,
Enterobacterias,58683007.0,SNOMED,bacteria,,
Enterobacter aerogenes,62592009.0,SNOMED,bacteria,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,
Enterobacter bugandensis,113611000000000.0,SNOMED,bacteria,,
Enterobacter cloacae,14385002.0,SNOMED,bacteria,,
Complejo enterobacter cloacae,414102007.0,SNOMED,bacteria,,
Enterobacter hormaechei,114454006.0,SNOMED,bacteria,,
Enterobacter kobei,114456008.0,SNOMED,bacteria,,
Enterobacteriaceae,106544002.0,SNOMED,bacteria,,
Enterococo,2785000.0,SNOMED,bacteria,,
Enterococcus avium,87875008.0,SNOMED,bacteria,,
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,
Enterococcus faecium,90272000.0,SNOMED,bacteria,,
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,
Escherichia,64735005.0,SNOMED,bacteria,,
Escherichia coli,112283007.0,SNOMED,bacteria,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,
Fusobacterium nucleatum,32763000.0,SNOMED,bacteria,,
Bacilo gramnegativo,87172008.0,SNOMED,bacteria,,
Bacilo grampositivo,83514008.0,SNOMED,bacteria,,
Cocos grampositivos,59206002.0,SNOMED,bacteria,,
Granulicatella adiacens,113713009.0,SNOMED,bacteria,,
Haemophilus,71268004.0,SNOMED,bacteria,,
Haemophilus ducreyi,64889004.0,SNOMED,bacteria,,
Haemophilus influenzae,44470000.0,SNOMED,bacteria,,
Haemophilus parainfluenzae,51593004.0,SNOMED,bacteria,,
Hafnia alvei,76694001.0,SNOMED,bacteria,,
Helicobacter pylori,80774000.0,SNOMED,bacteria,,
Klebsiella,75032006.0,SNOMED,bacteria,,
Klebsiella aerogenes,62592009.0,SNOMED,bacteria,,
Klebsiella oxytoca,40886007.0,SNOMED,bacteria,,
Klebsiella pneumoniae,56415008.0,SNOMED,bacteria,,
"Klebsiella pneumoniae, BLEE",409801009.0,SNOMED,bacteria,,
Klebsiella varicola,431976004.0,SNOMED,bacteria,,
Lacticaseibacillus rhamnosus,113798001.0,SNOMED,bacteria,,
Legionella,7527002.0,SNOMED,bacteria,,
Legionella pneumophila,80897008.0,SNOMED,bacteria,,
Leptospira interrogans,116401006.0,SNOMED,bacteria,,
Listeria monocytogenes,36094007.0,SNOMED,bacteria,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001.0,SNOMED,bacteria,,
Staphylococcus aureus sensible a la meticilina (MSSA),417943000.0,SNOMED,bacteria,,
Micrococo,52864008.0,SNOMED,bacteria,,
Micrococo lúteo,48299003.0,SNOMED,bacteria,,
Mirabilis,79589007.0,SNOMED,bacteria,,
Moraxella,36361003.0,SNOMED,bacteria,,
Moraxella catarrhalis,24226003.0,SNOMED,bacteria,,
Morganella,50713005.0,SNOMED,bacteria,,
Morganella morganii,243301005.0,SNOMED,bacteria,,
Micobacteria,243368001.0,SNOMED,bacteria,,
Micobacteria leprae,58242002.0,SNOMED,bacteria,,
"Mycobacterium, no tuberculoso",110379001.0,SNOMED,bacteria,,
Micobacteria tuberculosis,113861009.0,SNOMED,bacteria,,
Micoplasma agalactiae,16377009.0,SNOMED,bacteria,,
Pneumonia por micoplasma,58720004.0,SNOMED,bacteria,,
Neisseria meningitidis,17872004.0,SNOMED,bacteria,,
Asteroides de Nocardia,30092002.0,SNOMED,bacteria,,
Nocardia brasiliensis,58970008.0,SNOMED,bacteria,,
Propionibacterium,34844008.0,SNOMED,bacteria,,
Propionibacterium acnes,39473003.0,SNOMED,bacteria,,
Proteo,50517009.0,SNOMED,bacteria,,
Proteus mirabilis,73457008.0,SNOMED,bacteria,,
Proteo vulgar,45834001.0,SNOMED,bacteria,,
Providencia rettgeri,14196002.0,SNOMED,bacteria,,
Providencia estuardo,1445008.0,SNOMED,bacteria,,
Pseudomonas,57032008.0,SNOMED,bacteria,,
Pseudomonas aeruginosa,52499004.0,SNOMED,bacteria,,
Pseudomonas fluorescens,39289003.0,SNOMED,bacteria,,
Pseudomonas putida,68608003.0,SNOMED,bacteria,,
Raoultella,417468005.0,SNOMED,bacteria,,
Raoultella ornithinolytica,416832000.0,SNOMED,bacteria,,
Raoultella planticola,416264004.0,SNOMED,bacteria,,
Salmonela,27268008.0,SNOMED,bacteria,,
Salmonella hirschfeldii,32488009.0,SNOMED,bacteria,,
Serratia,42025004.0,SNOMED,bacteria,,
Serratia liquefaciens,23787004.0,SNOMED,bacteria,,
Serratia marcescens,33522002.0,SNOMED,bacteria,,
Serratia ureilytica,450416004.0,SNOMED,bacteria,,
Shigella,77352002.0,SNOMED,bacteria,,
Shigella boydii,55462008.0,SNOMED,bacteria,,
Shigella disenteriae,43612004.0,SNOMED,bacteria,,
Shigella flexneri,85729005.0,SNOMED,bacteria,,
Shigella sonnei,4298009.0,SNOMED,bacteria,,
Sphingomonas paucimobilis,243350004.0,SNOMED,bacteria,,
Estafilococo,65119002.0,SNOMED,bacteria,,
