Condition,Code,Library,Charlson,Elixhauser
Maladie causée par le virus de l'immunodéficience humaine [VIH],19030005,SNOMED,1.0,1.0
Maladie auto-immune,85828009,SNOMED,,
Maladie hématologique chronique,398983000,SNOMED,,
Trouble de la coagulation sanguine,64779008,SNOMED,,
Accident vasculaire cérébral,230690007,SNOMED,1.0,1.0
Maladie cérébrovasculaire,62914000,SNOMED,1.0,1.0
Hémiplégie,50582007,SNOMED,1.0,1.0
Paraplégie,60389000,SNOMED,1.0,1.0
Maladie cardiaque chronique,128238001,SNOMED,,1.0
Maladie cardiaque ischémique,414545008,SNOMED,1.0,1.0
Fibrillation auriculaire,49436004,SNOMED,,1.0
Infarctus du myocarde,22298006,SNOMED,1.0,1.0
Insuffisance cardiaque congestive,42343007,SNOMED,1.0,1.0
Maladie cardiaque congénitale,13213009,SNOMED,,1.0
Cardiomyopathie,85898001,SNOMED,,1.0
Trouble des valves cardiaques,368009,SNOMED,,1.0
Trouble inflammatoire chronique,128294001,SNOMED,,
Trouble métabolique chronique,128289001,SNOMED,,1.0
Trouble neurologique confirmé,407626008,SNOMED,,1.0
Maladie pulmonaire chronique,413839001,SNOMED,,1.0
Maladie indifférenciée du tissu conjonctif,239918008,SNOMED,,1.0
Démence,52448006,SNOMED,1.0,1.0
Diabète sucré (tous types),73211009,SNOMED,1.0,1.0
Hypertension artérielle essentielle,59621000,SNOMED,,1.0
Immunosuppression,38013005,SNOMED,,1.0
Trouble du métabolisme lipidique,267431006,SNOMED,,1.0
Maladie du foie,235856003,SNOMED,,1.0
Maladie hépatique modérée ou grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0
Hépatite virale chronique,10295004,SNOMED,,1.0
Tumeur maligne primaire,372087000,SNOMED,1.0,1.0
Leucémie,93143009,SNOMED,1.0,1.0
Lymphome malin,118600007,SNOMED,1.0,1.0
Myélome multiple,109989006,SNOMED,1.0,1.0
Tumeur carcinoïde métastatique Cancer,705176003,SNOMED,1.0,1.0
Configuration de la tumeur solide,369757002,SNOMED,1.0,1.0
Troubles neurodégénératifs,80690008,SNOMED,,1.0
Obésité,414916001,SNOMED,,1.0
Maladie vasculaire périphérique,400047006,SNOMED,1.0,1.0
Psychoses réactives,231437006,SNOMED,,1.0
Trouble de la circulation pulmonaire,39785005,SNOMED,,1.0
Infection chronique,177010002,SNOMED,,
Maladies rares et erreurs innées du métabolisme,4121882,SNOMED,,
Maladie rénale chronique,709044004,SNOMED,1.0,1.0
Maladie rénale modérée ou grave,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0
Insuffisance rénale aiguë sur chronique,236433006,SNOMED,1.0,1.0
Maladies rhumatoïdes,396332003,SNOMED,1.0,1.0
Transplantation présente,737294004,SNOMED,1.0,1.0
Asplénie,707147002,SNOMED,,1.0
Fumeur,77176002,SNOMED,,1.0
Trouble lié à l’usage de substances psychoactives,11061003,SNOMED,,1.0
Thrombose veineuse profonde récurrente,710167004,SNOMED,,1.0
Hypothyroïdie,40930008,SNOMED,,1.0
Hyperthyroïdie,34486009,SNOMED,,1.0
Tuberculose,56717001,SNOMED,1.0,1.0
