Condition,Code,Library,Code.1,Library.1,Selected,Preset_H5Nx,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Douleur abdominale,R10.9,ICD10,21522001,SNOMED,,,,
Alopécie (perte de cheveux non cicatricielle),L65.9,ICD10,56317004,SNOMED,,,,
Altération de la conscience / Confusion (désorientation),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,
Anorexie,R63.0,ICD10,79890006,SNOMED,,,,
Apnée,R06.81,ICD10,1023001,SNOMED,,,,
Arythmie cardiaque,I49.9,ICD10,698247007,SNOMED,,,,
Ascite,R18.8,ICD10,389026000,SNOMED,,,,
Saignement (hémorragie),R58,ICD10,131148009,SNOMED,,,,
Ecchymoses spontanées (ecchymoses),R23.3,ICD10,308492005,SNOMED,,,,
Ne sent pas un côté du corps ou du visage (hémiplégie),I69.959,ICD10,20022000,SNOMED,,,,
Ne peut pas bouger complètement ou contrôler ses mouvements (syndrome paralytique),G83.9,ICD10,44695005,SNOMED,,,,
Changements dans les menstruations (menstruations irrégulières),N92.6,ICD10,80182007,SNOMED,,,,
Douleur thoracique,R07.9,ICD10,29857009,SNOMED,,,,
Frissons (sans fièvre),R68.83,ICD10,43724002,SNOMED,,,,
Déficience cognitive (Déficience intellectuelle non spécifiée),F79,ICD10,386806002,SNOMED,,,,
Conjonctivite,H10.9,ICD10,9826008,SNOMED,,,,
Constipation,K59.0,ICD10,14760008,SNOMED,,,,
Toux,R05,ICD10,49727002,SNOMED,,,,
Pâleur,R23.1,ICD10,398979000 ,SNOMED,,,,
Diarrhée,R19.7,ICD10,267060006,SNOMED,,,,
Difficulté à manger ou à boire (dysphagie),R13.10,ICD10,40739000,SNOMED,,,,
Trouble de l'attention (état mental altéré),R41.82,ICD10,419284004,SNOMED,,,,
Étourdissements/sensations vertigineuses (vertiges et étourdissements),R42,ICD10,271789005,SNOMED,,,,
Peau sèche (xérose cutanée),L85.3,ICD10,52475004,SNOMED,,,,
Douleur à l'oreille (otalgie),H92.0,ICD10,301354004,SNOMED,,,,
Dysfonction érectile,N52.9,ICD10,860914002,SNOMED,,,,
Incontinence fécale,R15,ICD10,72042002,SNOMED,,,,
Évanouissements / pertes de connaissance (syncope et effondrement),R55,ICD10,309585006,SNOMED,,,,
Malaise et fatigue,R53,ICD10,271795006,SNOMED,,,,
Fièvre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,,
Saignement gastro-intestinal (hémorragie gastro-intestinale),K92.2,ICD10,74474003,SNOMED,,,,
Mal de tête,R51,ICD10,25064002,SNOMED,,,,
Hépatomégalie,R16.0,ICD10,80515008,SNOMED,,,,
Difficulté à marcher,R26.2,ICD10,719232003,SNOMED,,,,
Augmentation de la soif (polydipsie),R63.1,ICD10,249477003,SNOMED,,,,
Augmentation de la miction (polyurie),R35.8,ICD10,28442001,SNOMED,,,,
Démangeaisons oculaires,H57.8 ,ICD10,74776002,SNOMED,,,,
Douleur lors de la miction (dysurie),R30.0,ICD10,49650001,SNOMED,,,,
Difficulté d'alimentation,R63.3,ICD10,78164000  ,SNOMED,,,,
Irritabilité,R45.4,ICD10,55929007,SNOMED,,,,
Jaunisse,R17,ICD10,18165001,SNOMED,,,,
Douleurs articulaires (arthralgie),M25.5,ICD10,57676002,SNOMED,,,,
Kératite,H16.9,ICD10,5888003,SNOMED,,,,
Faiblesse/paralysie des membres (monoplégie),G83.3,ICD10,713514005,SNOMED,,,,
Perte d'appétit (anorexie),R63.0,ICD10,79890006,SNOMED,,,,
Perte de l'odorat (anosmie),R43.0,ICD10,44169009,SNOMED,,,,
Perte du goût (Parageusia),R43.2,ICD10,271801002,SNOMED,,,,
Lymphadénite,I88,ICD10,19471005,SNOMED,,,,
Lésion muqueuse,,,427752005,SNOMED,1.0,1.0,,
Aphtes buccaux (aphtes buccaux récurrents),K12.0,ICD10,26284000,SNOMED,,,,
Douleurs musculaires (myalgie),M79.1,ICD10,68962001,SNOMED,,,,
Faiblesse musculaire,M62.81,ICD10,26544005,SNOMED,,,,
Nausées ou vomissements,R11,ICD10,16932000,SNOMED,,,,
Douleur thoracique lors de la respiration,R07.1,ICD10,274664007,SNOMED,,,,
Palpitations,R00.2,ICD10,80313002,SNOMED,,,,
Paresthésie cutanée,R20.2,ICD10,91019004,SNOMED,,,,
Troubles visuels,H53,ICD10,63102001,SNOMED,,,,
Rétention d'urine,R33.9,ICD10,267064002,SNOMED,,,,
Trouble du sommeil,F51.9,ICD10,39898005,SNOMED,,,,
Troubles de la parole,R47.9,ICD10,29164008,SNOMED,,,,
Problèmes de déglutition ou de mastication (dysphagie),R13.10,ICD10,40739000,SNOMED,,,,
Prurit,L29,ICD10,418363000,SNOMED,,,,
Rythme cardiaque rapide/pouls rapide (tachycardie),R00.0,ICD10,3424008,SNOMED,,,,
Éruptions cutanées ou lésions cutanées,R21,ICD10,271807003,SNOMED,,,,
Affections du nez et des sinus nasaux,J34,ICD10,89488007,SNOMED,,,,
Convulsions,R56.9,ICD10,91175000 ,SNOMED,,,,
Essoufflement (dyspnée),R06.0,ICD10,267036007,SNOMED,,,,
Congestion nasale,R09.81,ICD10,68235000  ,SNOMED,,,,
Éruption cutanée,R21,ICD10,271807003,SNOMED,,1.0,,
Modifications de la texture de la peau,R23.4,ICD10,274672009,SNOMED,,,,
Éternuements,R06.7,ICD10,162367006,SNOMED,,,,
Mal de gorge (douleur dans la gorge),R07.0,ICD10,267102003,SNOMED,,,,
Ecchymoses spontanées (ecchymoses spontanées),R23.3,ICD10,161887000,SNOMED,,,,
Transpiration (hyperhidrose),R61,ICD10,312230002,SNOMED,,,,
Œdème localisé,R60.0,ICD10,274724004,SNOMED,,,,
Ganglions lymphatiques gonflés (ganglions lymphatiques hypertrophiés),R59.9,ICD10,30746006,SNOMED,,,,
Acouphènes,H93.1,ICD10,60862001,SNOMED,,,,
Tremblement,R25.1,ICD10,26079004,SNOMED,,,,
Perte de poids anormale,R63.4,ICD10,267024001,SNOMED,,,,
Incontinence urinaire,R32,ICD10,165232002,SNOMED,,,,
Respiration sifflante,R06.2,ICD10,56018004,SNOMED,,,,
Lésion cutanée,,,,SNOMED,1.0,,,
