Disease,Code,Library,Selected,preset_Disease_Covid,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Grippe A H5N1,715346008,SNOMED,,,,,,,,,
Grippe aviaire A H7N9/ H5N1/ H5N8/ H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,,
Grippe indéfinie,155559006,SNOMED,,,,,,,,,
COVID-19 (SRAS-CoV-2),840539006,SNOMED,,1.0,,,,,,,
Dengue,38362002,SNOMED,,,1.0,,,,1.0,,
Mpox,359814004,SNOMED,1.0,,,1.0,,,,,
Hépatite aiguë sévère chez l'enfant,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,
Nipah,406597005,SNOMED,,,,,,,,,
JE,52947006,SNOMED,,,,,,,,,
HSV,88594005,SNOMED,,,,,,,,,
Infection par le virus des Andes (hantavirus),359761005,SNOMED,,,,,,,1.0,,
Fièvre hémorragique argentine (virus Junin),58868000,SNOMED,,,,,,,1.0,,
Fièvre hémorragique de Crimée-Congo (FHCC),43489008,SNOMED,,,,,,,1.0,,
Maladie à virus Ebola (MVE),37109004,SNOMED,,,,,,,1.0,,
Fièvre de Lassa,19065005,SNOMED,,,,,,,1.0,,
Maladie à virus de luxe,721784007,SNOMED,,,,,,,1.0,,
Maladie à virus de Marburg (MVD),77503002,SNOMED,,,,,,,1.0,,
Syndrome respiratoire du Moyen-Orient (MERS),6.51E+11,SNOMED,,,,,,,,,
Peste pneumonique (Yersinia pestis),38976008,SNOMED,,,,,,,,,
"Syndrome respiratoire aigu sévère (SRAS, pas COVID-19)",398447004,SNOMED,,,,,,,,,
Syndrome de fièvre sévère avec thrombocytopénie (SFTS),722401001,SNOMED,,,,,,,,,
Exposition à un agent CBRN,,,,,,,,,,,
Exposition à une énergie nocive,,,,,,,,,,,
Entérovirus,53648006,SNOMED,,,,,,,,,
Fièvre hémorragique bolivienne (virus Machupo),67247008,SNOMED,,,,,,,1.0,,
Oropouche,72880002,SNOMED,,,,,,1.0,,,
