Paper-like section,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Título,NÚCLEO ISÁRICO CRF,,
DESIGN DESTE FORMULÁRIO DE RELATO DE CASO (CRF),Este CRF é configurado em módulos para serem usados ​​para registrar dados em [PROJECT_NAME]. Um modelo para instruções de conclusão está abaixo. Isso deve ser adaptado aos objetivos da sua coleta de dados.,,
FORMULÁRIO DE APRESENTAÇÃO,SEMPRE concluído no primeiro dia de apresentação/admissão/avaliação.,,
FORMULÁRIO DE APRESENTAÇÃO,Cronometragem/Eventos: Admissão hospitalar/avaliação inicial,,
FORMULÁRIO DIÁRIO,SEMPRE concluído no primeiro dia de apresentação/admissão/avaliação,,
FORMULÁRIO DIÁRIO,"SE APLICÁVEL, preencha no dia da admissão na UTI/unidade de alta dependência/cuidados intensivos (se a data for diferente da data da primeira apresentação/admissão)",,
FORMULÁRIO DIÁRIO,OPÇÃO para completar nos dias em que amostras específicas da pesquisa são coletadas,,
FORMULÁRIO DIÁRIO,OPÇÃO para preencher diariamente se for de interesse para análise específica.,,
FORMULÁRIO DIÁRIO,Cronograma/Eventos: Admissão hospitalar/avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa coletada (opcional) | Conforme protocolo do local (opcional),,
FORMULÁRIO DE RESULTADO,SEMPRE preenchido na alta ou morte ou no final do período de estudo,,
FORMULÁRIO DE RESULTADO,Momento/Eventos: Alta/morte/fim do estudo,,
FORMULÁRIO DE ACOMPANHAMENTO,Cronometragem/Eventos: Conforme protocolo do site (opcional),,
FORMULÁRIO DE RETIRADA,Cronometragem/Eventos: Conforme protocolo do site (opcional),,
Detalhes de acompanhamento,Continue acompanhando os pacientes que são transferidos entre enfermarias.,,
Cronometragem/Eventos,Admissão hospitalar / avaliação inicial | Admissão na UTI (se aplicável) | Amostra de pesquisa coletada (opcional) | Conforme protocolo do local (opcional) | Alta / óbito / fim do estudo,,
ORIENTAÇÃO GERAL,Entre em contato com o Centro de Suporte Global da ISARIC em data@isaric.org,,
ORIENTAÇÃO GERAL,"O CRF é projetado para coletar dados obtidos por meio de exame, entrevista, revisão de notas hospitalares ou extração de registros eletrônicos de saúde. Os dados podem ser coletados prospectivamente ou retrospectivamente se o paciente for inscrito após a data de apresentação a uma unidade de saúde.",,
ORIENTAÇÃO GERAL,Consulte as Diretrizes de Preenchimento do CRF para obter orientações detalhadas sobre como preencher esses formulários.,,
ORIENTAÇÃO GERAL,"Sua instituição pode capturar dados: <br/>(a) no banco de dados REDCap hospedado pelo ISARIC - entre em contato com o ISARIC para obter acesso, <br/>(b) em um banco de dados REDCap hospedado em sua instituição - entre em contato com o ISARIC se precisar de suporte para configurá-lo, ou<br/>(c) em um banco de dados ou sistema de registro eletrônico de saúde em sua instituição - entre em contato com o ISARIC para obter suporte ao mapeamento de dados.",,
ORIENTAÇÃO GERAL,"Os Números de Identificação do Participante consistem em um código de site de 5 dígitos e um número de participante de 4 dígitos. <br/>Obtenha um código de site e registre-se no sistema de gerenciamento de dados entrando em contato com o ISARIC. Os números de participantes devem ser atribuídos sequencialmente para cada site começando com 0001 ou em blocos, possivelmente incluindo caracteres alfabéticos, quando útil. Por exemplo, a Ala X atribuirá números de 0001 ou A001 em diante e a Ala Y atribuirá números de 5001 ou B001 em diante.",,
ORIENTAÇÃO GERAL,"Para participantes que retornam para readmissão no mesmo site, inicie um novo formulário com um Número de Identificação de Participante diferente. Marque ""SIM - admitido anteriormente nesta instalação"" na seção READMISSÃO. Insira como 2 registros separados se estiver usando um banco de dados REDCap (ou similar).",,
ORIENTAÇÃO GERAL,"Para participantes que se transferem entre dois locais que estão coletando dados neste formulário, é preferível que os dados sejam inseridos por um único local como uma única admissão, sob o mesmo Número de Identificação do Participante. Quando isso não for possível, o primeiro local deve registrar ""Transferência para outra unidade"" como um RESULTADO, e o segundo local deve iniciar um novo formulário com um novo número de paciente e indicar ""SIM-... então transferido para esta unidade"" na seção READMISSÃO E PIN ANTERIOR.",,
ORIENTAÇÃO GERAL,Seleções com círculos () são seleção única (escolha apenas uma resposta). Seleções com caixas quadradas () são seleção múltipla (escolha quantas respostas forem aplicáveis). Unk = Desconhecido,,
