Paper-like section,Text_original,Paper-like section_translation,Text,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,ISARIC CORE CRF,Título,Base de datos de recursos básicos de ISARIC,,
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,DISEÑO DE ESTE FORMULARIO DE INFORME DE CASO (CRF),Este CRF está configurado en módulos que se utilizarán para registrar datos sobre [PROJECT_NAME]. A continuación se incluye una plantilla con instrucciones para completar el formulario. Esta plantilla debe adaptarse a los objetivos de la recopilación de datos.,,
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,FORMULARIO DE PRESENTACIÓN,SIEMPRE completar el primer día de presentación/admisión/evaluación.,,
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,FORMULARIO DE PRESENTACIÓN,Momento/Eventos: Admisión al hospital/evaluación inicial ,,
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,FORMULARIO DIARIO,SIEMPRE completar el primer día de presentación/admisión/evaluación,,
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",FORMULARIO DIARIO,"SI CORRESPONDE, completar el día del ingreso a la UCI/unidad de alta dependencia/cuidados críticos (si la fecha es diferente a la fecha de la primera presentación/ingreso)",,
DAILY FORM, OPTION to complete on days that research specific samples are taken,FORMULARIO DIARIO,OPCIÓN para completar en días en que se toman muestras específicas de investigación,,
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,FORMULARIO DIARIO,OPCIÓN para completar diariamente si es de interés para un análisis específico.,,
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),FORMULARIO DIARIO,Momento/eventos: Admisión al hospital/evaluación inicial | Admisión a la UCI (si corresponde) | Toma de muestra para investigación (opcional) | Según el protocolo del sitio (opcional),,
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,FORMULARIO DE RESULTADOS,SIEMPRE completar en el momento del alta o fallecimiento o al final del período de estudio,,
OUTCOME FORM,Timing /Events: Discharge / death / end of study,FORMULARIO DE RESULTADOS,Momento/acontecimientos: Alta/muerte/fin del estudio,,
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),FORMULARIO DE SEGUIMIENTO,Horarios/Eventos: Según el protocolo del sitio (opcional),,
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),FORMULARIO DE DESISTIMIENTO,Horarios/Eventos: Según el protocolo del sitio (opcional),,
Follow-up details,Continue to follow-up patients who transfer between wards.,Detalles de seguimiento,Continuar con el seguimiento de los pacientes que se trasladan entre salas.,,
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study,Tiempo/Eventos,Admisión al hospital/evaluación inicial | Admisión a la UCI (si corresponde) | Toma de muestra para investigación (opcional) | Según el protocolo del sitio (opcional) | Alta/muerte/fin del estudio,,
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,ORIENTACIÓN GENERAL,Comuníquese con el Centro de soporte global de ISARIC en data@isaric.org,,
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",ORIENTACIÓN GENERAL,"El CRF está diseñado para recopilar datos obtenidos a través de exámenes, entrevistas, revisión de notas del hospital o extracción de registros médicos electrónicos. Los datos pueden recopilarse de forma prospectiva o retrospectiva si el paciente se inscribe después de la fecha de presentación en un centro de salud.",,
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,ORIENTACIÓN GENERAL,Consulte la Guía de finalización del CRF para obtener instrucciones detalladas sobre cómo completar estos formularios.,,
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",ORIENTACIÓN GENERAL,"Su institución puede capturar datos: <br/>(a) en la base de datos REDCap alojada en ISARIC: comuníquese con ISARIC para obtener acceso, <br/>(b) en una base de datos REDCap alojada en su institución: comuníquese con ISARIC si desea recibir ayuda para configurarla, o<br/>(c) en una base de datos o sistema de registro médico electrónico en su institución: comuníquese con ISARIC para obtener ayuda con el mapeo de datos.",,
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",ORIENTACIÓN GENERAL,"Los números de identificación de los participantes consisten en un código de sitio de 5 dígitos y un número de participante de 4 dígitos. <br/>Obtenga un código de sitio y regístrese en el sistema de gestión de datos poniéndose en contacto con ISARIC. Los números de participante deben asignarse secuencialmente para cada sitio comenzando con 0001 o en bloques, posiblemente incluyendo caracteres alfabéticos, cuando sea útil. Por ejemplo, el Distrito X asignará números a partir de 0001 o A001 en adelante y el Distrito Y asignará números a partir de 5001 o B001 en adelante.",,
