Condition,Code,Library
 Septic Shock                                  ,76571007.0,SNOMED
 Acute Respiratory Distress Syndrome (ARDS)    ,67782005.0,SNOMED
Acute renal failure syndrome,14669001.0,SNOMED
Deep venous thrombosis,128053003.0,SNOMED
 Pulmonary Embolism                            ,59282003.0,SNOMED
 Myocardial Infarction                         ,22298006.0,SNOMED
Ischemic stroke,422504002.0,SNOMED
Cardioembolic stroke,413758000.0,SNOMED
Cerebellar stroke,1.63717810001191e+16,SNOMED
Haemorrhagic stroke,1078001000000100.0,SNOMED
Thrombotic stroke,371040005.0,SNOMED
Recurrent gastrointestinal bleeding,307296008.0,SNOMED
Pneumothorax                                  ,36118008.0,SNOMED
Disseminated Intravascular Coagulation (DIC)  ,67406007.0,SNOMED
Sepsis                                        ,91302008.0,SNOMED
Cardiac Arrest                                ,410429000.0,SNOMED
Transient cerebral ischemia,266257000.0,SNOMED
 Bacteremia                                    ,5758002.0,SNOMED
Recurrent urinary tract infection,197927001.0,SNOMED
 Pneumonia                                     ,233604007.0,SNOMED
Transient hypotension,94501000000000.0,SNOMED
Acquired coagulation disorder,234466008.0,SNOMED
Large liver,80515008.0,SNOMED
Meningitis                                    ,7180009.0,SNOMED
Multisystem inflammatory syndrome in adults,1119306006.0,SNOMED
Multisystem inflammatory syndrome in children,895448002.0,SNOMED
Encephalitis                                  ,45170000.0,SNOMED
Ventilator-Associated Pneumonia               ,429271009.0,SNOMED
Empyema                                       ,312682007.0,SNOMED
Ischemic encephalopathy,389100007.0,SNOMED
Bleeding                                      ,131148009.0,SNOMED
Cardiogenic Shock                             ,89138009.0,SNOMED
Decompensation,87228002.0,SNOMED
 Neurological finding                          ,102957003.0,SNOMED
Hospital acquired pneumonia,425464007.0,SNOMED
