Microorganism,Code,Library,Type,Unnamed: 4
Acremonium,63996006.0,SNOMED,fungi,
Adenoviridae,424470006.0,SNOMED,virus,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",
Andes orthohantavirus,442001008.0,SNOMED,virus,
Arenaviridae,243624009.0,SNOMED,virus,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",
Aspergillus,2429008.0,SNOMED,fungi,
Aspergillus flavus,66821001.0,SNOMED,fungi,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,
Aspergillus fumigatus complex,719029007.0,SNOMED,fungi,
Aspergillus niger,89354002.0,SNOMED,fungi,
Aspergillus terreus,26406003.0,SNOMED,fungi,
Aspergillus versicolor,48315007.0,SNOMED,fungi,
Astroviridae,424055004.0,SNOMED,virus,
Avian Influenza A H5N1,772827006.0,SNOMED,virus,
Avian Influenza A H7N9,609444009.0,SNOMED,virus,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,
Bocavirus (Genus),430902006.0,SNOMED,virus,
Brugia malayi,112443002.0,SNOMED,"parasite, helminth",
Bunyaviridae (Family),243615000.0,SNOMED,virus,
Caliciviridae (Family),243627002.0,SNOMED,virus,
Candida,3265006.0,SNOMED,fungi,
Candida albicans,53326005.0,SNOMED,fungi,
Candida auris,3490000000000.0,SNOMED,fungi,
Candida dubliniensis,115952006.0,SNOMED,fungi,
Candida glabrata,444877006.0,SNOMED,fungi,
Candida inconspicua,283871001.0,SNOMED,fungi,
Candida orthopsilosis,3690000000000.0,SNOMED,fungi,
Candida parapsilosis,61302002.0,SNOMED,fungi,
Candida tropicalis,47885008.0,SNOMED,fungi,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",
Coccidioides,8672004.0,SNOMED,fungi,
Coccidioides immitis,23439005.0,SNOMED,fungi,
Coronaviridae (Family),243607003.0,SNOMED,virus,
Crimean-Congo Hemorrhagic Fever virus (CCHF),79875007.0,SNOMED,virus,
Cryptococcus gattii,450862004.0,SNOMED,fungi,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",
Curvularia lunata,33165007.0,SNOMED,fungi,
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",
Cytomegalovirus,407444007.0,SNOMED,virus,
Deltavirus,83617006.0,SNOMED,virus,
Dengue virus,34348001.0,SNOMED,virus,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",
Ebola virus,424206003.0,SNOMED,virus,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",
Enterovirus (genus Enterovirus),243633006.0,SNOMED,virus,
Epidermophyton,112403007.0,SNOMED,fungi,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,
Falciformispora senegalensis (formerly Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,
Filoviridae (Family),407325004.0,SNOMED,virus,
Flaviviridae (Family),243602009.0,SNOMED,virus,
Fungi,414561005.0,SNOMED,fungi,
Fusarium,35238009.0,SNOMED,fungi,
Genus Marburgvirus,424421007.0,SNOMED,virus,
Giardia,61419001.0,SNOMED,"parasite, protozoa",
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",
Hantavirus,49445003.0,SNOMED,virus,
Hendra virus,115510008.0,SNOMED,virus,
Hepadnaviridae,422951006.0,SNOMED,virus,
Hepatitis A virus,32452004.0,SNOMED,virus,
Hepatitis B virus,81665004.0,SNOMED,virus,
Hepatitis C virus,62944002.0,SNOMED,virus,
Hepatitis D,83617006.0,SNOMED,virus,
Hepatitis E virus,78475006.0,SNOMED,virus,
Herpesviridae,128377001.0,SNOMED,virus,
Histoplasma,81951003.0,SNOMED,fungi,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,
Human bocavirus,446373002.0,SNOMED,virus,
Human coronavirus,84101006.0,SNOMED,virus,
"Human Herpesvirus 1 (HHV1, Herpes simplex virus 1, HSV1)",407451003.0,SNOMED,virus,
