Country,Region,Selected,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afeganistão,Ásia,,,
Ilhas Aland,Europa,,,
Albânia,Europa,,,
Argélia,África,,,
Samoa Americana,Oceânia,,,
Andorra,Europa,,,
Angola,África,,,
Anguila,Américas,,,
Antártica,Polar,,,
Antígua e Barbuda,Américas,,,
Argentina,Américas,,,
Armênia,Ásia,,,
Aruba,Américas,,,
Austrália,Oceânia,,,
Áustria,Europa,,,
Azerbaijão,Ásia,,,
Bahrein,Ásia,,,
Bangladesh,Ásia,,,
Barbados,Américas,,,
Bielorrússia,Europa,,,
Bélgica,Europa,,,
Belize,Américas,,,
Benim,África,,,
Bermudas,Américas,,,
Butão,Ásia,,,
Bolívia,Américas,,,
"Bonaire, Santo Eustáquio e Saba",Américas,,,
Bósnia e Herzegovina,Europa,,,
Botsuana,África,,,
Ilha Bouvet,,,,
Brasil,Américas,,,
Território Britânico do Oceano Índico,África,,,
Brunei,Ásia,,,
Bulgária,Europa,,,
Burkina Faso,África,,,
Burundi,África,,,
Camboja,Ásia,,,
Camarões,África,,,
Canadá,Américas,,,
Cabo Verde,África,,,
Ilhas Cayman,Américas,,,
República Centro-Africana,África,,,
Chade,África,,,
Chile,Américas,,,
China,Ásia,,,
Ilha Christmas,Oceânia,,,
Ilhas Cocos (Keeling),Oceânia,,,
Colômbia,Américas,,,
Comores,África,,,
Congo,África,,,
Ilhas Cook,Oceânia,,,
Costa Rica,Américas,,,
Costa do Marfim (Costa do Marfim),África,,,
Croácia,Europa,,,
Cuba,Américas,,,
Curaçao,Américas,,,
Chipre,Europa,,,
República Checa,Europa,,,
República Democrática do Congo,África,,,
Dinamarca,Europa,,,
Djibuti,África,,,
Domínica,Américas,,,
República Dominicana,Américas,,,
Equador,Américas,,,
Egito,África,,,
El Salvador,Américas,,,
Guiné Equatorial,África,,,
Eritreia,África,,,
Estônia,Europa,,,
Essuatíni,África,,,
Etiópia,África,,,
Ilhas Falkland,Américas,,,
Ilhas Faroé,Europa,,,
Ilhas Fiji,Oceânia,,,
Finlândia,Europa,,,
França,Europa,,,
Guiana Francesa,Américas,,,
Polinésia Francesa,Oceânia,,,
Territórios Franceses do Sul,África,,,
Gabão,África,,,
Gâmbia A,África,,,
Geórgia,Ásia,,,
Alemanha,Europa,,,
Gana,África,,,
Gibraltar,Europa,,,
Grécia,Europa,,,
Groenlândia,Américas,,,
Granada,Américas,,,
Guadalupe,Américas,,,
Guam,Oceânia,,,
Guatemala,Américas,,,
Guernsey e Alderney,Europa,,,
Guiné,África,,,
Guiné-Bissau,África,,,
Guiana,Américas,,,
Haiti,Américas,,,
Ilha Heard e Ilhas McDonald,,,,
Honduras,Américas,,,
R.A.E. de Hong Kong,Ásia,,,
Hungria,Europa,,,
Islândia,Europa,,,
Índia,Ásia,,,
Indonésia,Ásia,,,
Irã,Ásia,,,
Iraque,Ásia,,,
Irlanda,Europa,,,
Israel,Ásia,,,
Itália,Europa,,,
Jamaica,Américas,,,
Japão,Ásia,,,
Camisa,Europa,,,
Jordânia,Ásia,,,
Cazaquistão,Ásia,,,
Quênia,África,,,
Quiribáti,Oceânia,,,
Kosovo,Europa,,,
Kuwait,Ásia,,,
Quirguistão,Ásia,,,
Laos,Ásia,,,
Letônia,Europa,,,
Líbano,Ásia,,,
Lesoto,África,,,
Libéria,África,,,
Líbia,África,,,
Liechtenstein,Europa,,,
Lituânia,Europa,,,
Luxemburgo,Europa,,,
R.A.E. de Macau,Ásia,,,
Madagáscar,África,,,
Malawi,África,,,
Malásia,Ásia,,,
Maldivas,Ásia,,,
Mali,África,,,
Malta,Europa,,,
Homem (Ilha de),Europa,,,
Ilhas Marshall,Oceânia,,,
Martinica,Américas,,,
Mauritânia,África,,,
Maurício,África,,,
Maiote,África,,,
México,Américas,,,
Micronésia,Oceânia,,,
Moldávia,Europa,,,
Mônaco,Europa,,,
Mongólia,Ásia,,,
Montenegro,Europa,,,
Montserrat,Américas,,,
Marrocos,África,,,
Moçambique,África,,,
Mianmar,Ásia,,,
Namíbia,África,,,
Nauru,Oceânia,,,
Nepal,Ásia,,,
Holanda,Europa,,,
Nova Caledônia,Oceânia,,,
Nova Zelândia,Oceânia,,,
Nicarágua,Américas,,,
Níger,África,,,
Nigéria,África,,,
Niue,Oceânia,,,
Ilha Norfolk,Oceânia,,,
Coréia do Norte,Ásia,,,
Macedônia do Norte,Europa,,,
Ilhas Marianas do Norte,Oceânia,,,
Noruega,Europa,,,
Omã,Ásia,,,
Paquistão,Ásia,,,
Palau,Oceânia,,,
Território Palestino Ocupado,Ásia,,,
Panamá,Américas,,,
Papua Nova Guiné,Oceânia,,,
Paraguai,Américas,,,
Peru,Américas,,,
Filipinas,Ásia,,,
Ilha Pitcairn,Oceânia,,,
Polônia,Europa,,,
Portugal,Europa,,,
Porto Rico,Américas,,,
Catar,Ásia,,,
Reunião,África,,,
Romênia,Europa,,,
Rússia,Europa,,,
Ruanda,África,,,
Santa Helena,África,,,
São Cristóvão e Nevis,Américas,,,
Santa Lúcia,Américas,,,
São Pedro e Miquelon,Américas,,,
São Vicente e Granadinas,Américas,,,
São Bartolomeu,Américas,,,
Saint-Martin (parte francesa),Américas,,,
Samoa,Oceânia,,,
São Marino,Europa,,,
São Tomé e Príncipe,África,,,
Arábia Saudita,Ásia,,,
Senegal,África,,,
Sérvia,Europa,,,
Seicheles,África,,,
Serra Leoa,África,,,
Cingapura,Ásia,,,
Sint Maarten (parte holandesa),Américas,,,
Eslováquia,Europa,,,
Eslovênia,Europa,,,
Ilhas Salomão,Oceânia,,,
Somália,África,,,
África do Sul,África,,,
Geórgia do Sul,Américas,,,
Coréia do Sul,Ásia,,,
Sudão do Sul,África,,,
Espanha,Europa,,,
Sri Lanka,Ásia,,,
Sudão,África,,,
Suriname,Américas,,,
Ilhas Svalbard e Jan Mayen,Europa,,,
Suécia,Europa,,,
Suíça,Europa,,,
Síria,Ásia,,,
Taiwan,Ásia,,,
Tajiquistão,Ásia,,,
Tanzânia,África,,,
Tailândia,Ásia,,,
As Bahamas,Américas,,,
Timor-Leste,Ásia,,,
Ir,África,,,
Toquelau,Oceânia,,,
Tonga,Oceânia,,,
Trinidad e Tobago,Américas,,,
Tunísia,África,,,
Peru,Ásia,,,
Turcomenistão,Ásia,,,
Ilhas Turks e Caicos,Américas,,,
Tuvalu,Oceânia,,,
Uganda,África,,,
Ucrânia,Europa,,,
Emirados Árabes Unidos,Ásia,,,
Reino Unido,Europa,,,
Estados Unidos,Américas,,,
Ilhas Menores Distantes dos Estados Unidos,Américas,,,
Uruguai,Américas,,,
Uzbequistão,Ásia,,,
Vanuatu,Oceânia,,,
Estado da Cidade do Vaticano (Santa Sé),Europa,,,
Venezuela,Américas,,,
Vietnã,Ásia,,,
Ilhas Virgens (Britânicas),Américas,,,
Ilhas Virgens (EUA),Américas,,,
Ilhas Wallis e Futuna,Oceânia,,,
Saara Ocidental,África,,,
Iémen,Ásia,,,
Zâmbia,África,,,
Zimbábue,África,,,
