IV fluids, Code    , Library ,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"0,9% de chlorure de sodium (solution saline normale)",,,,,,1,,,1,1,,,,
Ringer lactated (USP),,,,,,1,,,1,1,,,,
"0,45% de chlorure de sodium (solution saline à demi-normale)",,,,,,1,,,1,1,,,,
"0,45% de solution saline normale + 4% de glucose (solution saline à demi-normale avec dextrose)",,,,,,1,,,1,1,,,,
"0,18% -0,3% de chlorure de sodium + 4% de glucose (solution saline hypotonique avec dextrose)",,,,,,1,,,1,1,,,,
5% de glucose (dextrose 5% dans l'eau),,,,,,1,,,1,1,,,,
Acétate de la sonnerie,,,,,,1,,,1,1,,,,
Plasmalyte,,,,,,1,,,1,1,,,,
Gélatines,,,,,,1,,,1,1,,,,
Amidons,,,,,,1,,,1,1,,,,
Albumine,,,,,,1,,,1,1,,,,
