Paper-like section,Text,Paper-like section_translation,Text_translation,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Title,ISARIC CORE CRF,Titre,CRF ISARIQUE CRF,,
DESIGN OF THIS CASE REPORT FORM (CRF),This CRF is set up in modules to be used for recording data on [PROJECT_NAME].  A template for completion instructions is below. This should be tailored to the objectives of your data collection.,Conception de ce formulaire de rapport de cas (CRF),Ce CRF est configuré dans des modules à utiliser pour enregistrer des données sur [project_name].  Un modèle pour les instructions d'achèvement est ci-dessous. Cela devrait être adapté aux objectifs de votre collecte de données.,,
PRESENTATION FORM, ALWAYS complete on the first day of presentation/admission/assessment. ,Formulaire de présentation,Toujours terminé le premier jour de présentation / admission / évaluation.,,
PRESENTATION FORM,Timing /Events: Hospital admission / initial assessment,Formulaire de présentation,CHIMING / ÉVÉNEMENTS: Admission à l'hôpital / Évaluation initiale,,
DAILY FORM, ALWAYS complete on the first day of presentation/admission/assessment,Forme quotidienne,Toujours terminer le premier jour de présentation / d'admission / évaluation,,
DAILY FORM," IF APPLICABLE, complete on the day of admission to ICU/high dependency unit/critical care (if different date to the date of first presentation/admission)",Forme quotidienne,"Le cas échéant, terminée le jour de l'admission aux soins intensifs / Unité de dépendance élevée / soins intensifs (si différent de la date de la première présentation / de l'admission)",,
DAILY FORM, OPTION to complete on days that research specific samples are taken,Forme quotidienne,Option à terminer les jours où des échantillons spécifiques sont prélevés,,
DAILY FORM, OPTION to complete daily if of interest for specific analysis. ,Forme quotidienne,Option pour terminer quotidiennement si vous intéressez à une analyse spécifique.,,
DAILY FORM,Timing /Events: Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional),Forme quotidienne,CHIMING / ÉVÉNEMENTS: Admission à l'hôpital / Évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif),,
OUTCOME FORM, ALWAYS complete at discharge or death or at the end of the study period,Formulaire de résultat,Toujours complet à la sortie ou à la mort ou à la fin de la période d'étude,,
OUTCOME FORM,Timing /Events: Discharge / death / end of study,Formulaire de résultat,CHIMING / ÉVÉNEMENTS: libération / mort / fin d'étude,,
FOLLOW-UP FORM,Timing /Events: As per site protocol (optional),Formulaire de suivi,CHIMING / ÉVÉNEMENTS: Selon le protocole de site (facultatif),,
WITHDRAWAL FORM,Timing /Events: As per site protocol (optional),Formulaire de retrait,CHIMING / ÉVÉNEMENTS: Selon le protocole de site (facultatif),,
Follow-up details,Continue to follow-up patients who transfer between wards.,Détails de suivi,Continuez à suivre les patients qui transfèrent entre les services.,,
Timing /Events,Hospital admission / initial assessment | Admission to ICU (if applicable) | Research sample taken (optional) | As per site protocol (optional) | Discharge / death / end of study,Timing / événements,Admission à l'hôpital / évaluation initiale | Entrée à l'USI (le cas échéant) | Échantillon de recherche prélevé (facultatif) | Selon le protocole de site (facultatif) | Libération / mort / fin d'étude,,
GENERAL GUIDANCE,Contact ISARIC Global Support Centre at data@isaric.org,Orientation générale,Contactez Isaric Global Support Center à data@isaric.org,,
GENERAL GUIDANCE,"The CRF is designed to collect data obtained through examination, interview, review of hospital notes, or extraction from electronic health records.  Data may be collected prospectively or retrospectively if the patient is enrolled after the date of presentation to a health facility. ",Orientation générale,"Le CRF est conçu pour collecter des données obtenues grâce à l'examen, à l'entretien, à l'examen des notes de l'hôpital ou à l'extraction des dossiers de santé électroniques.  Les données peuvent être collectées de manière prospective ou rétrospective si le patient est inscrit après la date de présentation dans un établissement de santé.",,
GENERAL GUIDANCE,Please refer to the CRF Completion Guideline for detailed guidance on how to complete these forms.,Orientation générale,Veuillez vous référer à la directive d'achèvement du CRF pour des conseils détaillés sur la façon de remplir ces formulaires.,,
GENERAL GUIDANCE,"Your institution may capture data: <br/>(a) on the ISARIC hosted REDCap database - contact ISARIC for access, <br/>(b) to a REDCap database hosted at your institution - contact ISARIC if you would like support to set this up, or<br/>(c) on a database or electronic health record system at your institution - contact ISARIC to support data mapping.  ",Orientation générale,"Votre peut capturer les données: <br/> (a) sur la base de données RedCap hébergée isarique - Contactez Isaric for Access, <br/> (B) à une base de données RedCap hébergée dans votre institution - Contactez Isaric Si vous souhaitez prendre en charge votre institution - Contactez Isaric To Support Data Mappy.",,
GENERAL GUIDANCE,"Participant Identification Numbers consist of a 5-digit site code and a 4-digit participant number. <br/>Please obtain a site code and register on the data management system by contacting ISARIC.  Participant numbers should be assigned sequentially for each site beginning with 0001 or in blocks, possibly including alpha characters, where useful.  E.g., Ward X will assign numbers from 0001 or A001 onwards and Ward Y will assign numbers from 5001 or B001 onwards.",Orientation générale,"Les numéros d'identification des participants se composent d'un code de site à 5 chiffres et d'un numéro de participant à 4 chiffres. <br/> Veuillez obtenir un code de site et vous inscrire sur le système de gestion des données en contactant Isarique.  Les numéros des participants doivent être attribués séquentiellement pour chaque site commençant par 0001 ou en blocs, incluant éventuellement des caractères alpha, lorsqu'ils sont utiles.  Par exemple, le quartier X attribuera des numéros à partir de 0001 ou A001 et Ward Y attribuera les numéros à partir de 5001 ou B001.",,
GENERAL GUIDANCE,"For participants who return for re-admission to the same site, start a new form with a different Participant Identification Number. Please check ""YES-admitted previously to this facility"" in the RE-ADMISSION section. Enter as 2 separate records if you are using a REDCap (or similar) database. ",Orientation générale,"Pour les participants qui reviennent pour la réadmission sur le même site, démarrez un nouveau formulaire avec un numéro d'identification des participants différents. Veuillez vérifier ""oui-admis précédemment à cette installation"" dans la section de réadmission. Entrez en 2 enregistrements distincts si vous utilisez une base de données RedCap (ou similaire).",,
