Condition,Code,Library,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Choque séptico,76571007.0,SNOMED,,
Síndrome de desconforto respiratório agudo (ARDS),67782005.0,SNOMED,,
Síndrome de insuficiência renal aguda,14669001.0,SNOMED,,
Trombose venosa profunda,128053003.0,SNOMED,,
Embolia pulmonar,59282003.0,SNOMED,,
Infarto do miocárdio,22298006.0,SNOMED,,
Derrame isquêmico,422504002.0,SNOMED,,
Derrame cardioembólico,413758000.0,SNOMED,,
Derrame cerebelar,1.63717810001191e+16,SNOMED,,
Derrame hemorrágico,1078001000000100.0,SNOMED,,
Derrame trombótico,371040005.0,SNOMED,,
Sangramento gastrointestinal recorrente,307296008.0,SNOMED,,
Pneumotórax,36118008.0,SNOMED,,
Coagulação intravascular disseminada (DIC),67406007.0,SNOMED,,
Sepse,91302008.0,SNOMED,,
Parada cardíaca,410429000.0,SNOMED,,
Isquemia cerebral transitória,266257000.0,SNOMED,,
Bacteremia,5758002.0,SNOMED,,
Infecção recorrente do trato urinário,197927001.0,SNOMED,,
Pneumonia,233604007.0,SNOMED,,
Hipotensão transitória,94501000000000.0,SNOMED,,
Transtorno da coagulação adquirida,234466008.0,SNOMED,,
Fígado grande,80515008.0,SNOMED,,
Meningite,7180009.0,SNOMED,,
Síndrome inflamatória multississário em adultos,1119306006.0,SNOMED,,
Síndrome inflamatória multississário em crianças,895448002.0,SNOMED,,
Encefalite,45170000.0,SNOMED,,
Pneumonia associada ao ventilador,429271009.0,SNOMED,,
Empiema,312682007.0,SNOMED,,
Encefalopatia isquêmica,389100007.0,SNOMED,,
Sangramento,131148009.0,SNOMED,,
Choque cardiogênico,89138009.0,SNOMED,,
Descompensação,87228002.0,SNOMED,,
Achado neurológico,102957003.0,SNOMED,,
Hospital adquiriu pneumonia,425464007.0,SNOMED,,
