Condition,Code,Library,Code.1,Library.1,Selected,Preset_H5Nx,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Dor abdominal,R10.9,ICD10,21522001,SNOMED,,,,
Alopecia (perda de cabelo não escarling),L65.9,ICD10,56317004,SNOMED,,,,
Consciência / confusão alterada (desorientação),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,
Anorexia,R63.0,ICD10,79890006,SNOMED,,,,
Apnéia,R06.81,ICD10,1023001,SNOMED,,,,
Arritmia cardíaca,I49.9,ICD10,698247007,SNOMED,,,,
Ascites,R18.8,ICD10,389026000,SNOMED,,,,
Sangramento (hemorragia),R58,ICD10,131148009,SNOMED,,,,
Contusões (ecchimase espontânea),R23.3,ICD10,308492005,SNOMED,,,,
Não consigo sentir um lado do corpo ou rosto (Hemiplegia),I69.959,ICD10,20022000,SNOMED,,,,
Não é possível mover ou controlar completamente o movimento (síndrome paralítica),G83.9,ICD10,44695005,SNOMED,,,,
Alterações na menstruação (menstruação irregular),N92.6,ICD10,80182007,SNOMED,,,,
Dor no peito,R07.9,ICD10,29857009,SNOMED,,,,
Calafrios (sem febre),R68.83,ICD10,43724002,SNOMED,,,,
Comprometimento cognitivo (deficiências intelectuais não especificadas),F79,ICD10,386806002,SNOMED,,,,
Conjuntivite,H10.9,ICD10,9826008,SNOMED,,,,
Constipação,K59.0,ICD10,14760008,SNOMED,,,,
Tosse,R05,ICD10,49727002,SNOMED,,,,
Palidez,R23.1,ICD10,398979000 ,SNOMED,,,,
Diarréia,R19.7,ICD10,267060006,SNOMED,,,,
Dificuldade em comer ou beber (disfagia),R13.10,ICD10,40739000,SNOMED,,,,
Perturbação na atenção (estado mental alterado),R41.82,ICD10,419284004,SNOMED,,,,
Tontura/cabeça de luz (tontura e vertigem),R42,ICD10,271789005,SNOMED,,,,
Pele seca (xerose cutis),L85.3,ICD10,52475004,SNOMED,,,,
Dor na orelha (Otalgia),H92.0,ICD10,301354004,SNOMED,,,,
Disfunção erétil,N52.9,ICD10,860914002,SNOMED,,,,
Incontinência fecal,R15,ICD10,72042002,SNOMED,,,,
Desmaios / apagões (síncope e colapso),R55,ICD10,309585006,SNOMED,,,,
Mal -estar e fadiga,R53,ICD10,271795006,SNOMED,,,,
Febre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,,
Sangramento gastrointestinal (hemorragia gastrointestinal),K92.2,ICD10,74474003,SNOMED,,,,
Dor de cabeça,R51,ICD10,25064002,SNOMED,,,,
Hepatomegalia,R16.0,ICD10,80515008,SNOMED,,,,
Dificuldade em caminhar,R26.2,ICD10,719232003,SNOMED,,,,
Aumento da sede (polidipsia),R63.1,ICD10,249477003,SNOMED,,,,
Maior micção (poliúria),R35.8,ICD10,28442001,SNOMED,,,,
Olho coceira,H57.8 ,ICD10,74776002,SNOMED,,,,
Dor durante a micção (disúria),R30.0,ICD10,49650001,SNOMED,,,,
Dificuldade de alimentação,R63.3,ICD10,78164000  ,SNOMED,,,,
Irritabilidade,R45.4,ICD10,55929007,SNOMED,,,,
Icterícia,R17,ICD10,18165001,SNOMED,,,,
Dor articular (Artralgia),M25.5,ICD10,57676002,SNOMED,,,,
Ceratite,H16.9,ICD10,5888003,SNOMED,,,,
Fraqueza / paralisia dos membros (Monoplegia),G83.3,ICD10,713514005,SNOMED,,,,
Perda de apetite (anorexia),R63.0,ICD10,79890006,SNOMED,,,,
Perda de cheiro (Anosmia),R43.0,ICD10,44169009,SNOMED,,,,
Perda de paladar (Parageusia),R43.2,ICD10,271801002,SNOMED,,,,
Linfadenite,I88,ICD10,19471005,SNOMED,,,,
Lesão da mucosa,,,427752005,SNOMED,1.0,1.0,,
Úlceras na boca (aftais orais recorrentes),K12.0,ICD10,26284000,SNOMED,,,,
Dores musculares (mialgia),M79.1,ICD10,68962001,SNOMED,,,,
Fraqueza muscular,M62.81,ICD10,26544005,SNOMED,,,,
Náusea ou vômito,R11,ICD10,16932000,SNOMED,,,,
Dor no peito na respiração,R07.1,ICD10,274664007,SNOMED,,,,
Palpitações,R00.2,ICD10,80313002,SNOMED,,,,
Parestesia da pele,R20.2,ICD10,91019004,SNOMED,,,,
Distúrbios visuais,H53,ICD10,63102001,SNOMED,,,,
Retenção de urina,R33.9,ICD10,267064002,SNOMED,,,,
Transtorno do sono,F51.9,ICD10,39898005,SNOMED,,,,
Distúrbios da fala,R47.9,ICD10,29164008,SNOMED,,,,
Problemas engolindo ou mastigar (disfagia),R13.10,ICD10,40739000,SNOMED,,,,
Prurido,L29,ICD10,418363000,SNOMED,,,,
Batimento/pulso rápido do coração (taquicardia),R00.0,ICD10,3424008,SNOMED,,,,
Erupções cutâneas ou lesões de pele,R21,ICD10,271807003,SNOMED,,,,
Distúrbios do nariz e seios nasais,J34,ICD10,89488007,SNOMED,,,,
Convulsões,R56.9,ICD10,91175000 ,SNOMED,,,,
Falta de ar (dispnéia),R06.0,ICD10,267036007,SNOMED,,,,
Congestão nasal,R09.81,ICD10,68235000  ,SNOMED,,,,
Erupção cutânea,R21,ICD10,271807003,SNOMED,,1.0,,
Mudanças na textura da pele,R23.4,ICD10,274672009,SNOMED,,,,
Espirrando,R06.7,ICD10,162367006,SNOMED,,,,
Dor de garganta (dor na garganta),R07.0,ICD10,267102003,SNOMED,,,,
Hematomas espontâneos (ecchimases espontâneas),R23.3,ICD10,161887000,SNOMED,,,,
Sweating (hiperidrose),R61,ICD10,312230002,SNOMED,,,,
Edema localizado,R60.0,ICD10,274724004,SNOMED,,,,
Linfonodos inchados (linfonodos ampliados),R59.9,ICD10,30746006,SNOMED,,,,
Zumbido,H93.1,ICD10,60862001,SNOMED,,,,
Tremor,R25.1,ICD10,26079004,SNOMED,,,,
Perda de peso anormal,R63.4,ICD10,267024001,SNOMED,,,,
Incontinência urinária,R32,ICD10,165232002,SNOMED,,,,
Chiando,R06.2,ICD10,56018004,SNOMED,,,,
Lesão da pele,,,,SNOMED,1.0,,,
