Microorganism,Code,Library,Type,Selected,preset_Syndrome_VHF,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,,,,,
Achromobacter Xylosoxidans,413424009.0,SNOMED,bacteria,,,,,
Acinetobacter,7757008.0,SNOMED,bacteria,,,,,
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,,,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,,,,
Acinetobacter Calcoaceticus,413398000.0,SNOMED,bacteria,,,,,
Complexo acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,,,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,,,,,
Acremonium,63996006.0,SNOMED,fungi,,,,,
Actinomyces Israelii,46369004.0,SNOMED,bacteria,,,,,
Adenoviridae,424470006.0,SNOMED,virus,,,,,
Aeromonas,88529008.0,SNOMED,bacteria,,,,,
Agregatibacter,441718002.0,SNOMED,bacteria,,,,,
Bactérias anaeróbicas,59343002.0,SNOMED,bacteria,,,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,,,
Andes Orthohantavirus,442001008.0,SNOMED,virus,,,,,
Arenaviridae,243624009.0,SNOMED,virus,,,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,,,
Aspergillus,2429008.0,SNOMED,fungi,,,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,,,
Complexo Aspergillus Fumigatus,719029007.0,SNOMED,fungi,,,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,,,
Astroviridae,424055004.0,SNOMED,virus,,,,,
Influenza aviária A H5N1,772827006.0,SNOMED,virus,1.0,,,,
Influenza aviária A H7N9,609444009.0,SNOMED,virus,1.0,,,,
Bacilo,44762009.0,SNOMED,bacteria,,,,,
Bacillus Anthracis,21927003.0,SNOMED,bacteria,,,,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,,,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,,,,
Bacteroides tetaiotaomicron,34236001.0,SNOMED,bacteria,,,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,,,
Bocavírus (gênero),430902006.0,SNOMED,virus,,,,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,,,,,
Brugia Malayi,112443002.0,SNOMED,"parasite, helminth",,,,,
Bunyaviridae (família),243615000.0,SNOMED,virus,,,,,
Burkholderia,414324002.0,SNOMED,bacteria,,,,,
Burkholderia cenocepacia,416941006.0,SNOMED,bacteria,,,,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,,,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,,,,
Caliciviridae (família),243627002.0,SNOMED,virus,,,,,
Campylobacter,35408001.0,SNOMED,bacteria,,,,,
Candida,3265006.0,SNOMED,fungi,,,,,
Candida Albicans,53326005.0,SNOMED,fungi,,,,,
Candida Auris,3490000000000.0,SNOMED,fungi,,,,,
Candida Dubliniensis,115952006.0,SNOMED,fungi,,,,,
Candida Glabrata,444877006.0,SNOMED,fungi,,,,,
Candida disciplique,283871001.0,SNOMED,fungi,,,,,
Candida Ortopsilosis,3690000000000.0,SNOMED,fungi,,,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,,,
Candida tropicalis,47885008.0,SNOMED,fungi,,,,,
Chlamídia,16241000.0,SNOMED,bacteria,,,,,
Chlamydophila pneumoniae,103514009.0,SNOMED,bacteria,,,,,
Indólogos de Chryseobacterium,113549008.0,SNOMED,bacteria,,,,,
Citrobacter,75972000.0,SNOMED,bacteria,,,,,
Citrobacter Braakii,114262000.0,SNOMED,bacteria,,,,,
Citrobacter Freundii,6265002.0,SNOMED,bacteria,,,,,
Citrobacter Koseri,114264004.0,SNOMED,bacteria,,,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,,,
