Microorganism,Code,Library,Type,Unnamed: 4,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acremonium,63996006.0,SNOMED,fungi,,,
Adenoviridae,424470006.0,SNOMED,virus,,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,,
Andes Orthohantavirus,442001008.0,SNOMED,virus,,,
Arenaviridae,243624009.0,SNOMED,virus,,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",,,
Aspergillus,2429008.0,SNOMED,fungi,,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,,
Complexo Aspergillus Fumigatus,719029007.0,SNOMED,fungi,,,
Aspergillus niger,89354002.0,SNOMED,fungi,,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,,
Astroviridae,424055004.0,SNOMED,virus,,,
Influenza aviária A H5N1,772827006.0,SNOMED,virus,,,
Influenza aviária A H7N9,609444009.0,SNOMED,virus,,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,,
Bocavírus (gênero),430902006.0,SNOMED,virus,,,
Brugia Malayi,112443002.0,SNOMED,"parasite, helminth",,,
Bunyaviridae (família),243615000.0,SNOMED,virus,,,
Caliciviridae (família),243627002.0,SNOMED,virus,,,
Candida,3265006.0,SNOMED,fungi,,,
Candida Albicans,53326005.0,SNOMED,fungi,,,
Candida Auris,3490000000000.0,SNOMED,fungi,,,
Candida Dubliniensis,115952006.0,SNOMED,fungi,,,
Candida Glabrata,444877006.0,SNOMED,fungi,,,
Candida disciplique,283871001.0,SNOMED,fungi,,,
Candida Ortopsilosis,3690000000000.0,SNOMED,fungi,,,
Candida parapsilosis,61302002.0,SNOMED,fungi,,,
Candida tropicalis,47885008.0,SNOMED,fungi,,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,,
Coccidioides,8672004.0,SNOMED,fungi,,,
Coccidioides imitis,23439005.0,SNOMED,fungi,,,
Coronaviridae (família),243607003.0,SNOMED,virus,,,
Vírus da febre hemorrágica da Crimeia-Congo (CCHF),79875007.0,SNOMED,virus,,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,,
Curvularia lunata,33165007.0,SNOMED,fungi,,,
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,,
Citomegalovírus,407444007.0,SNOMED,virus,,,
Deltavírus,83617006.0,SNOMED,virus,,,
Vírus da dengue,34348001.0,SNOMED,virus,,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,,
Vírus do Ebola,424206003.0,SNOMED,virus,,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,,
Entamoeba Dispar,415987008.0,SNOMED,"parasite, protozoa",,,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,,
Enterovírus (gênero enterovírus),243633006.0,SNOMED,virus,,,
Epidermophyton,112403007.0,SNOMED,fungi,,,
Exophiala Dermatitidis,20586007.0,SNOMED,fungi,,,
Falciformispora senegalensis (anteriormente leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,,
Filoviridae (família),407325004.0,SNOMED,virus,,,
Flaviviridae (família),243602009.0,SNOMED,virus,,,
Fungi,414561005.0,SNOMED,fungi,,,
Fusarium,35238009.0,SNOMED,fungi,,,
Gênero Marburgvírus,424421007.0,SNOMED,virus,,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",,,
Hantavírus,49445003.0,SNOMED,virus,,,
Vírus Hendra,115510008.0,SNOMED,virus,,,
Hepadnaviridae,422951006.0,SNOMED,virus,,,
Vírus da hepatite A.,32452004.0,SNOMED,virus,,,
Vírus da hepatite B.,81665004.0,SNOMED,virus,,,
Vírus da hepatite C.,62944002.0,SNOMED,virus,,,
Hepatite D.,83617006.0,SNOMED,virus,,,
Vírus da hepatite E.,78475006.0,SNOMED,virus,,,
