Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline,Language Speaker Reviewed,Clinical Language Speaker Reviewed
subjid,presentación,,Número de identificación del participante (PIN),,El Número de Identificación del Participante o PIN es un número único utilizado para identificar los datos del paciente (participante).,Escriba el Número de Identificación del Participante (PIN).,,
inclu_disease,presentación,CRITERIOS DE INCLUSIÓN,Infección sospechada o confirmada,,Esto se refiere a cualquier infección sospechada o confirmada.,"Si se sospecha más de una infección, seleccione la más probable y complete la sección PRUEBAS DE PATÓGENOS con la confirmación de laboratorio.",,
inclu_reason,presentación,CRITERIOS DE INCLUSIÓN,¿La infección sospechada o confirmada es el motivo del ingreso hospitalario?,"1, Sí | 0, No | 99, Desconocido",Se refiere a si existe infección sospechada o confirmada con el patógeno de interés si el motivo (indicación) del ingreso hospitalario.,"Indique ""Sí"" si la infección sospechada o confirmada con el patógeno de interés es el motivo (indicación) del ingreso hospitalario. Indique ""No"" si la infección sospechada o confirmada con el patógeno de interés no es el motivo (indicación) del ingreso hospitalario.",,
inclu_case,presentación,CRITERIOS DE INCLUSIÓN,Estado del caso,"1, Confirmado | 2, Probable | 3, Sospechoso | 4, Descartado | 5, Error","Confirmado se refiere a un caso que ha sido confirmado por laboratorio y puede cumplir con los criterios clínicos descritos en la definición de caso. Probable se refiere a una enfermedad clínicamente compatible que está epidemiológicamente vinculada a un caso confirmado sin confirmación de laboratorio de infección con el patógeno de interés. Sospechoso se refiere a una enfermedad clínicamente compatible sin vínculo epidemiológico o confirmación de laboratorio. Descartado se refiere a un paciente con una prueba de laboratorio negativa y que no ha cumplido con los criterios para un caso sospechoso, probable o confirmado.",Seleccione la opción más adecuada que represente el estado del caso.,,
inclu_testreason,presentación,CRITERIOS DE INCLUSIÓN,Motivo por el cual se le realizó la prueba al paciente,"1, Sintomático | 2, Asintomático, con rastreo de contactos | 3, Asintomático, campaña de pruebas masivas | 4, No evaluado",Esto se refiere al motivo por el cual se realizó la prueba al paciente para detectar el patógeno de interés.,Seleccione la opción más adecuada que corresponda al motivo por el cual se le realizó la prueba al paciente para detectar el patógeno de interés.,,
inclu_consent,presentación,CRITERIOS DE INCLUSIÓN,El participante (o su representante) ha dado su consentimiento para participar en este estudio.,"1, Sí | 0, No, el participante no aceptó participar en el estudio | 2, No, el comité de ética aprobó una exención del consentimiento | 99, Desconocido",Esto se refiere a la prestación del consentimiento informado por parte del paciente o su representante para participar en este estudio.,Indique “Sí” si el paciente o su representante ha proporcionado su consentimiento informado para participar en este estudio.,,
inclu_consent_date,presentación,CRITERIOS DE INCLUSIÓN,Fecha de consentimiento,,Esto se refiere a la fecha en la que se dio el consentimiento informado para la inclusión de los participantes en este estudio.,Escriba la fecha en la que se otorgó el consentimiento informado para la inclusión de los participantes en este estudio. Utilice el formato DD/MM/AAAA.,,
inclu_consent_who,presentación,CRITERIOS DE INCLUSIÓN,Consentimiento proporcionado por,"1, Participante | 2, Padre/tutor | 3, Consultado | 4, Médico independiente",Esto se refiere a quién proporcionó el consentimiento para participar en este estudio.,Seleccione la opción más apropiada que represente quién proporcionó el consentimiento para participar en este estudio.,,
inclu_consent_whopg,presentación,CRITERIOS DE INCLUSIÓN,Si el padre/tutor da el consentimiento: ¿el niño o joven da su asentimiento?,"1, Sí | 0, No | 2, No competente",Se refiere al consentimiento otorgado por un menor o un adulto que no puede dar su consentimiento por sí mismo para participar en un estudio. El consentimiento debe ir acompañado del consentimiento de un padre o tutor legal para participar plenamente en el estudio.,Seleccione la opción más apropiada que represente si se brindó el consentimiento para participar en este estudio.,,
inclu_consentsec,presentación,CRITERIOS DE INCLUSIÓN,"Uso secundario de los datos recopilados, el participante estuvo de acuerdo con las siguientes afirmaciones:",,,,,
