Disease,Code,Library,Selected,preset_ARChetype CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Travailleur de l'abattoir,,,1.0,1.0,1,,
Travailleur de bétail de boeuf,,,1.0,1.0,2,,
Laitier,,,1.0,1.0,3,,
Agent de santé,,,1.0,1.0,4,,
Travailleur du marché des oiseaux vivants,,,,1.0,5,,
Autres travailleurs du marché des animaux vivants,,,,1.0,6,,
Volaille,,,1.0,1.0,7,,
Volée Culler,,,,1.0,8,,
Travailleur des transports publics,,,,,9,,
Travailleur de l'assainissement,,,,,10,,
Employé de porcs,,,,1.0,11,,
Vétérinaire,,,1.0,1.0,12,,
