Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Aciclovir (acyclovir, zovirax)",J05AB01  ,ATC     ,,,,,,,,,,,,
Atazanavir (reyataz),J05AE08,ATC     ,,,,,,,,,,,,
Burevirtide (HepcludEx),J05AX28,ATC     ,,,,,,,,,,,,
Cidofovir (vistide),J05AB12,ATC     ,1.0,,,,1.0,,,,1.0,,,
Darunavir (prezista),J05AE10,ATC     ,,,,,,,,,,,,
Dolutegravir (Tivicay),J05AJ03,ATC     ,,,,,,,,,,,,
Efavirenz (SUTIVA),J05AG03,ATC     ,,,,,,,,,,,,
Emtricitabine (Emtriva),J05AF09,ATC     ,,,,,,,,,,,,
Famciclovir (famvir),J05AB09,ATC     ,,,,,,,,,,,,
Faviperavir (Avigan),J05AX27,ATC     ,,,1.0,,,1.0,1.0,1.0,,,,
Ganciclovir (cytovène),J05AB06,ATC     ,,,,,,,,,,,,
"Lamivudine (Epivir, 3tc)",J05AF05,ATC     ,,,,,,,,,,,,
Lopinavir / ritonavir (kaletra),J05AR10  ,ATC     ,,,1.0,,,,,,,,,
Molnupiravir (lagevrio),J05AB18 ,ATC     ,,,,,,,,,,,,
Nirmatrelvir / Retonavir (Paxlovid),J05AE30,ATC     ,,,,,,,,,,,,
Oseltamivir (Tamiflu),J05AH02  ,ATC     ,,,1.0,,,1.0,1.0,,,,,
Penciclovir (Denavir),J05AB13  ,ATC     ,,,,,,,,,,,,
Raltegravir (iSendress),J05AJ01,ATC     ,,,,,,,,,,,,
Remdesivir (Veklury),J05AB16,ATC     ,,,1.0,,,,,1.0,,,,
"Ribavirine (Rebetol, Copegus)",J05AP01,ATC     ,,,,,,,,1.0,,,,
Rimantadine (flumadine),J05AC02,ATC     ,,,,,,,1.0,,,,,
Ténofovir alarénamide,J05AF13,ATC     ,,,,,,,,,,,,
Tenofovir Disoproxil (viread),J05AF07,ATC     ,,,,,,,,,,,,
UMIFENOVIR (Arbidol),J05AX13,ATC     ,,,,,,1.0,1.0,,,,,
Valaciclovir (Valtrex),J05AB11,ATC     ,,,,,,,,,,,,
Valganciclovir (Valcyte),J05AB14,ATC     ,,,,,,,,,,,,
Zalcitabine,J05AF03,ATC     ,,,,,,,,,,,,
Zanamivir (relenza),J05AH01,ATC     ,,,1.0,,,1.0,1.0,,,,,
"Zidovudine (rétrovir, AZT)",J05AF01,ATC     ,,,,,,,,,,,,
Técovirimat,J05AX24,ATC     ,1.0,,,,1.0,,,,1.0,,,
Pocapavir,,,,,,,,,,,,,,
Pléconarille,J05AX06,ATC     ,,,,,,,,,,,,
Brincidofovir,J05AB17,ATC     ,1.0,,,,1.0,,,,1.0,,,
Fluoxétine,N06AB03,ATC     ,,,,,,,,,,,,
Peramivir,619693,RxNorm,,,,,,1.0,,,,,,
Baloxavir marboxil (xofluza),782500006,SNOMED,,,,,,1.0,1.0,,,,,
Laninamivir,OMOP5173449,RxNorm Extension,,,,,,1.0,,,,,,
"Amantadine (gocovri, osmolex er, symétrel)",N04BB01,ATC,,,,,,,1.0,,,,,
