Drugs,Code,Library,Selected,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Abatacept (Orencia), L04AA24  , ATC     , ,,,
Adalimumab (humira), L04AB04  , ATC     ,1,,,
"Alemtuzumab (Campath, Lemtrada)", L04AA34, ATC     ,,,,
"Azathioprine (Imuran, Azasan)", L04AX01  , ATC     ,1,1.0,,
Basiliximab (simulect), L04AC02, ATC     , ,,,
Belatacept (nulojix), L04AA28, ATC     , ,,,
"Ciclosporine (Neoral, Sandimmune, Gengraf)", L04AD01  , ATC     ,1,,,
Etanercept (Enbrel), L04AB01  , ATC     ,1,,,
"Everolimus (afiniteur, zortress)", L04AA18  , ATC     , ,,,
"Infliximab (Avsola, Inflectra, Remicade)", L04AB02  , ATC     ,1,,,
Leflunomide (arava), L04AA13  , ATC     , ,,,
Mercaptopurine (Purixan),L01BB02,ATC,,,,
"Méthotrexate (Trexall, Rasuvo, Otrexup)",L04AX03  ,ATC     ,1,1.0,,
Mycophénolate mofetil (Cellcept), L04AA06  , ATC     ,1,,,
Acide mycophénolique (myfortic), L04AA06, ATC     ,1,1.0,,
Natalizumab (Tysabri), L04AA23  , ATC     , ,,,
Nivolumab (opdivo),L01FF02,ATC,,,,
"Rituximab (Rituxan, mabthera)",L01FA01 , ATC     ,1,1.0,,
Sarilumab (Kevzara), L04AC14, ATC     ,1,,,
Secukinumab (Cosentyx), L04AC10  , ATC     , ,,,
Sirolimus (Rapamune), L04AA10  , ATC     , ,,,
"Tacrolimus (Prograf, Advagraf, Protopic)", L04AD02  , ATC     ,1,,,
Thalidomide (thalomid),L04AX02,ATC,,,,
Tocilizumab (actemra), L04AC07  , ATC     ,1,1.0,,
Ustekinumab (stelara), L04AC05  , ATC     , ,,,
Vedolizumab (Entyvio), L04AA33, ATC     , ,,,
Anakinra,L04AC03,ATC,,,,
