Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminophylline (truphylline), R03DA05   , ATC     ,,,,,,,,,,,
"Beclometasone (Qvar, Beconase aq)", R03BA01   , ATC     ,,,,,,,,,,,
Caspofungin (cancys), J02AX04   , ATC     ,,,,,,,,,,,
Chloroquine (aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,,
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,,
Fluconazole (diflucan), J02AC01   , ATC     ,,,,,,,,,,,
"Fluticasone (Flovent, Flonase)", R03BA05   , ATC     ,,,,,,,,,,,
Fluticasone Furoate, R03BA09, ATC     ,,,,,,,,,,,
"Formooterol (Foradil, perforomiste)", R03AC13, ATC     ,,,,,,,,,,,
Formoterol et Beclometasone (Fostair), R03AK11   , ATC     ,,,,,,,,,,,
Formooterol et Budesonide (Symbicort), R03AK07   , ATC     ,,,,,,,,,,,
Bromure de glycopyrronium (Seebri), R03BB06   , ATC     ,,,,,,,,,,,
Hydroxychloroquine (plaquenil), P01BA02   , ATC     ,,,,,,,,,,,
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,,
Indacaterol et bromure de glycopyrronium (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,,
Interféron alpha, L03AB01 , ATC     ,,,1.0,,,,,1.0,,,
Interféron bêta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,,
Bromure d'ipratropium (atrovent), R03BB01   , ATC     ,,,,,,,,,,,
Ivermectine (stramectol), P02CF01   , ATC     ,,,,,,,,,,,
Mafénide (sulfamylon),D06BA03,ATC,,,,,,,,,Topical,,
"Mométasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,,
Montelukast (Singulair), R03DC03   , ATC     ,,,,,,,,,,,
Mupirocine (bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,,
"Nystatine (bio-statin, nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,,
"Podophyllotoxine (podofilox, condylox)",D06BB04 ,ATC,,,,,,,,,Topical,,
Primaquine, P01BA03   , ATC     ,,,,,,,,,,,
"Salbutamol (Ventolin, Proventil)", R03AC02   , ATC     ,,,,,,,,,,,
Salméterol (serevent), R03AC12   , ATC     ,1.0,,,,,,,,,,
"Salméterol et fluticasone (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,,
"Soufre, précipité en pétrolatum",D10AB02,ATC,,,,,,,,,Topical,,
"Théophylline (Theo-24, Elixophylline)", R03DA04   , ATC     ,,,,,,,,,,,
Bromure de tiotropium (spiriva), R03BB04   , ATC     ,,,,,,,,,,,
Acide trichloroacétique,78151001,SNOMED,,,,,,,,,Topical,,
Vilanterol et furoate de fluticasone (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,,
Vilanterol et bromure d'Umeclidinium (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,,
