Sequelae,Code,Selected,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Cécité,,1.0,1.0,1.0,,,
Effets cardiovasculaires,,,,,1.0,,
Diminution de la vision,,1.0,1.0,1.0,,,
Dépression,,1.0,1.0,1.0,,,
Dyspareunie,,1.0,1.0,1.0,,,
Conséquence immunologique,,,,,1.0,,
Rétrécissement rectal,,1.0,1.0,1.0,,,
Complications respiratoires,,,,,1.0,,
Effets systémiques,,,,,1.0,,
Sténographie urétrale,,1.0,1.0,1.0,,,
Structure vaginale,,1.0,1.0,1.0,,,
Complications neurologiques,,,,,1.0,,
Impacts psychologiques,,,,,1.0,,
