Disease,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adénovirus,,,,,,,1.0,,,,1.0,1,,
Infection du virus des Andes (hantavirus),359761005,SNOMED,,,,,,,1.0,,,2,,
Fièvre hémorragique argentine (virus Junin),58868000,SNOMED,,,,,,,1.0,,,3,,
Aviaire grippe A H7N9 / H5N1 / H5N8 / H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,,,4,,
Infection bactérienne,87628006,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,,
Fièvre hémorragique bolivienne (virus Machupo),67247008,SNOMED,,,,,,,1.0,,,6,,
Covid-19 (SARS-COV-2),840539006,SNOMED,,1.0,,,1.0,,,,1.0,7,,
Poulet (varicelle),58750007,SNOMED,,,,1.0,,,,1.0,,8,,
Fièvre hémorragique du Congo de Crimée (CCHF),43489008,SNOMED,,,,,,,1.0,,,9,,
Dengue,38362002,SNOMED,,,1.0,,,,1.0,,,10,,
Maladie du virus Ebola (EVD),37109004,SNOMED,,,,,,,1.0,,,11,,
Entérovirus,53648006,SNOMED,,,,,,,,,,12,,
Exposition à l'agent CBRN,,,,,,,,,,,,13,,
Exposition à l'énergie nocive,,,,,,,,,,,,14,,
HSV,88594005,SNOMED,,,,,,,,,,15,,
"Hépatite (général, non spécifié)",40468003,SNOMED,,,1.0,,,,,,,16,,
Infection par le virus de l'herpès simplex (HSV),88594005,SNOMED,,,,1.0,,,,1.0,,17,,
Infection par le virus de l'immunodéficience humaine (infection à VIH),86406008,SNOMED,,,,1.0,,,,1.0,,18,,
Grippe A H1N1,442352004,SNOMED,,,,,,,,,1.0,19,,
Grippe A H5N1,772827006,SNOMED,,,,,,,,,1.0,20,,
Grippe un H5N8,708527000,SNOMED,,,,,,,,,1.0,21,,
Grippe un H7N7,715346008,SNOMED,,,,,,,,,1.0,22,,
Grippe un H7N9,609444009,SNOMED,,,,,,,,,1.0,23,,
Virus de la grippe,407479009,SNOMED,,,,,,,,,1.0,24,,
Virus de la grippe B,407480007,SNOMED,,,,,,,,,1.0,25,,
Virus de la grippe,725894000,SNOMED,,,,,,,,,1.0,26,,
Je,52947006,SNOMED,,,,,,,,,,27,,
Fièvre lassa,19065005,SNOMED,,,,,,,1.0,,,28,,
Maladie du virus de Lujo,721784007,SNOMED,,,,,,,1.0,,,29,,
Maladie du virus de Marburg (MVD),77503002,SNOMED,,,,,,,1.0,,,30,,
Rougeole,14189004,SNOMED,,,,,,,,,,31,,
Syndrome respiratoire du Moyen-Orient (MERS),6.51E+11,SNOMED,,,,,,,,,,32,,
Mpox,359814004,SNOMED,1.0,,,1.0,,,,1.0,,33,,
Nipah,406597005,SNOMED,,,,,,,,,,34,,
Oropouche,72880002,SNOMED,,,,,,1.0,,,,35,,
Plague pneumonique (Yersinia pestis),38976008,SNOMED,,,,,,,,,,36,,
Infection du virus syncytial respiratoire (RSV),55256001,SNOMED,,,,,,,,,1.0,37,,
Hépatite pédiatrique aiguë sévère,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,38,,
Syndrome respiratoire aigu sévère (SARS-Not Covid-19),398447004,SNOMED,,,,,,,,,1.0,39,,
Fièvre sévère avec syndrome de thrombocytopaenia (SFTS),722401001,SNOMED,,,,,,,,,,40,,
Grippe non définie,155559006,SNOMED,,,,,,,,,1.0,41,,
