Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,,
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,,
Acinetobacter,7757008.0,SNOMED,bacteria,,
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,,
Complexe d'Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,,
Actinomyces israélii,46369004.0,SNOMED,bacteria,,
Aéromonas,88529008.0,SNOMED,bacteria,,
Agrégatibacter,441718002.0,SNOMED,bacteria,,
Bactéries anaérobies,59343002.0,SNOMED,bacteria,,
Bacille,44762009.0,SNOMED,bacteria,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,,
Bacillus cereus,84408007.0,SNOMED,bacteria,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,,
Bacteroides thétaiotaomicron,34236001.0,SNOMED,bacteria,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,,
Burkholderia,414324002.0,SNOMED,bacteria,,
Burkholderia Cenocepacia,416941006.0,SNOMED,bacteria,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,,
Campylobacter,35408001.0,SNOMED,bacteria,,
Chlamydia,16241000.0,SNOMED,bacteria,,
Chlamydophia pneumoniae,103514009.0,SNOMED,bacteria,,
Chryseobacterium indologènes,113549008.0,SNOMED,bacteria,,
Citrobacter,75972000.0,SNOMED,bacteria,,
Citrobacter Braakii,114262000.0,SNOMED,bacteria,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,,
Citrobacter Koseri,114264004.0,SNOMED,bacteria,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,,
Clostridium difficile,5933001.0,SNOMED,bacteria,,
Clostridium difficile (toxine positif),736050006.0,SNOMED,bacteria,,
Clostridium tétani,30917009.0,SNOMED,bacteria,,
Coagulase négative Staphylococcus,116197008.0,SNOMED,bacteria,,
Bactéries coliformes,77309002.0,SNOMED,bacteria,,
Corynebacterium,77086004.0,SNOMED,bacteria,,
Corynebacterium amycollatum,113611002.0,SNOMED,bacteria,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,,
Corynebacterium pseudotuberculose,55084001.0,SNOMED,bacteria,,
Corynebacterium striatum,63815007.0,SNOMED,bacteria,,
Ulcères de Corynebacterium,103428000.0,SNOMED,bacteria,,
Corynebacterium xérose,27101006.0,SNOMED,bacteria,,
Cryptocoque,17579001.0,SNOMED,bacteria,,
Cryptococcus neoformans,67168003.0,SNOMED,bacteria,,
Delftia,416493002.0,SNOMED,bacteria,,
Delftia acidovorans,20432002.0,SNOMED,bacteria,,
Dermabacter,413976002.0,SNOMED,bacteria,,
Diphtéroïde,54642001.0,SNOMED,bacteria,,
Eggerhella,414075007.0,SNOMED,bacteria,,
Elizabethkingia,426244005.0,SNOMED,bacteria,,
Bactéries entériques,106544002.0,SNOMED,bacteria,,
Enterobacter,58683007.0,SNOMED,bacteria,,
Enterobacter Aerogenes,62592009.0,SNOMED,bacteria,,
Enterobacter asburiae,33115003.0,SNOMED,bacteria,,
Enterobacter Bugandensis,114000000000000.0,SNOMED,bacteria,,
Enterobacter Cloacae,14385002.0,SNOMED,bacteria,,
Complexe d'enterobacter Cloacae,414102007.0,SNOMED,bacteria,,
Enterobacter Hormaechei,114454006.0,SNOMED,bacteria,,
Enterobacter Kobei,114456008.0,SNOMED,bacteria,,
Enterobactéries,106544002.0,SNOMED,bacteria,,
Enterococcus,2785000.0,SNOMED,bacteria,,
Enterococcus avium,87875008.0,SNOMED,bacteria,,
Enterococcus faecalis,78065002.0,SNOMED,bacteria,,
Enterococcus faecium,90272000.0,SNOMED,bacteria,,
Enterococcus raffinosus,103437000.0,SNOMED,bacteria,,
Escherichia,64735005.0,SNOMED,bacteria,,
Escherichia coli,112283007.0,SNOMED,bacteria,,
Francisella tularensis,51526001.0,SNOMED,bacteria,,
