Microorganism,Code,Library,Type,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Acingonium,63996006.0,SNOMED,fungi,,
Adénoviridae,424470006.0,SNOMED,virus,,
Ancylostoma duodenale,81559006.0,SNOMED,"parasite, helminth",,
Andes orthohantavirus,442001008.0,SNOMED,virus,,
Arenaviridae,243624009.0,SNOMED,virus,,
Ascaris Lumbricoides,19061001.0,SNOMED,"parasite, helminth",,
Aspergillus,2429008.0,SNOMED,fungi,,
Aspergillus flavus,66821001.0,SNOMED,fungi,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,,
Complexe d'Aspergillus fumigatus,719029007.0,SNOMED,fungi,,
Aspergillus Niger,89354002.0,SNOMED,fungi,,
Aspergillus terreus,26406003.0,SNOMED,fungi,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,,
Astroviridae,424055004.0,SNOMED,virus,,
Grippe aviaire A H5N1,772827006.0,SNOMED,virus,,
Aviaire grippe un H7N9,609444009.0,SNOMED,virus,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,,
Bocavirus (genre),430902006.0,SNOMED,virus,,
Brugia Malayi,112443002.0,SNOMED,"parasite, helminth",,
Bunyaviridae (famille),243615000.0,SNOMED,virus,,
Caliciviridae (famille),243627002.0,SNOMED,virus,,
Candidose,3265006.0,SNOMED,fungi,,
Candida albicans,53326005.0,SNOMED,fungi,,
Candida auris,3490000000000.0,SNOMED,fungi,,
Candida Dubliensis,115952006.0,SNOMED,fungi,,
Candida glabrata,444877006.0,SNOMED,fungi,,
Candida inconspicua,283871001.0,SNOMED,fungi,,
Orthopsilose Candida,3690000000000.0,SNOMED,fungi,,
Parapsilose candida,61302002.0,SNOMED,fungi,,
Candida tropicalis,47885008.0,SNOMED,fungi,,
Clavispora lusianiae,50164000.0,SNOMED,fungi,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",,
Coccidioides,8672004.0,SNOMED,fungi,,
Coccidioides immitis,23439005.0,SNOMED,fungi,,
Coronaviridae (famille),243607003.0,SNOMED,virus,,
Virus de fièvre hémorragique de Crimée (CCHF),79875007.0,SNOMED,virus,,
Cryptococcus gattii,450862004.0,SNOMED,fungi,,
Cryptococcus neoformans,67168003.0,SNOMED,fungi,,
Cryptosporidium,83821001.0,SNOMED,"parasite, protozoa",,
Cryptosporidium hominis,417722006.0,SNOMED,"parasite, protozoa",,
Cryptosporidium parvum,51504002.0,SNOMED,"parasite, protozoa",,
Curvularia lunata,33165007.0,SNOMED,fungi,,
Cyclospora,103560006.0,SNOMED,"parasite, protozoa",,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",,
Cytomégalovirus,407444007.0,SNOMED,virus,,
Deltavirus,83617006.0,SNOMED,virus,,
Virus de la dengue,34348001.0,SNOMED,virus,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",,
Virus Ebola,424206003.0,SNOMED,virus,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",,
Entamoeba,38324000.0,SNOMED,"parasite, protozoa",,
Entamoeba Dispar,415987008.0,SNOMED,"parasite, protozoa",,
Entamoeba histolytica,4716008.0,SNOMED,"parasite, protozoa",,
Enterobius vermicularis,55008000.0,SNOMED,"parasite, helminth",,
Entérovirus (genre entérovirus),243633006.0,SNOMED,virus,,
Épidermyphyton,112403007.0,SNOMED,fungi,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,,
Falciformispora senegalensis (anciennement Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,,
Filoviridae (famille),407325004.0,SNOMED,virus,,
Flaviviridae (famille),243602009.0,SNOMED,virus,,
Champignons,414561005.0,SNOMED,fungi,,
Fusarium,35238009.0,SNOMED,fungi,,
Genre Marburgvirus,424421007.0,SNOMED,virus,,
Giardia,61419001.0,SNOMED,"parasite, protozoa",,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",,
Giardia Lamblia,78181009.0,SNOMED,"parasite, protozoa",,
Hantavirus,49445003.0,SNOMED,virus,,
Virus Hendra,115510008.0,SNOMED,virus,,
Hepadnaviridae,422951006.0,SNOMED,virus,,
Virus de l'hépatite A,32452004.0,SNOMED,virus,,
Virus de l'hépatite B,81665004.0,SNOMED,virus,,
Virus de l'hépatite C,62944002.0,SNOMED,virus,,
Hépatite D,83617006.0,SNOMED,virus,,
Virus de l'hépatite E,78475006.0,SNOMED,virus,,
Herpèsviridae,128377001.0,SNOMED,virus,,
Histoplasme,81951003.0,SNOMED,fungi,,
Histoplasme capsulatum,56596006.0,SNOMED,fungi,,
Bocavirus humain,446373002.0,SNOMED,virus,,
Coronavirus humain,84101006.0,SNOMED,virus,,
"Herpèsvirus humain 1 (HHV1, Virus d'herpès simplex 1, HSV1)",407451003.0,SNOMED,virus,,
"Herpèsvirus humain 2 (HHV2, Virus d'herpès simplex 2, HSV2)",407450002.0,SNOMED,virus,,
"Herpèsvirus humain 3 (virus varicelle-zona, VZV)",19551004.0,SNOMED,virus,,
"Herpèsvirus humain 4 (virus d'Epstein-Barr, EBV)",40168006.0,SNOMED,virus,,
"Herpèsvirus humain (cytomégalovirus humanbeta5, hcmv)",243579005.0,SNOMED,virus,,
Herpèsvirus humain 6 (virus Roseola infantum),103528003.0,SNOMED,virus,,
Virus de l'immunodéficience humaine (VIH),19030005.0,SNOMED,virus,,
Virus d'immunodéficience humaine de type 1 (VIH-1),89293008.0,SNOMED,virus,,
Virus d'immunodéficience humaine de type 2 (VIH-2),36115006.0,SNOMED,virus,,
Métapneumovirus humain (HMPV),416730002.0,SNOMED,virus,,
Virus parainfluenza humain,407498006.0,SNOMED,virus,,
Virus humain parainfluenza 1,407489008.0,SNOMED,virus,,
Virus humain parainfluenza 2,407491000.0,SNOMED,virus,,
Virus humain parainfluenza 3,407493002.0,SNOMED,virus,,
Virus humain parainfluenza 4,89117003.0,SNOMED,virus,,
Parvovirus humain B19,63603005.0,SNOMED,virus,,
Virus syncytial respiratoire humain (RSV),6415009.0,SNOMED,virus,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",,
Grippe un sous-type H5N8,708527000.0,SNOMED,virus,,
Grippe un supeype h7n7,715346008.0,SNOMED,virus,,
Virus de la grippe,407479009.0,SNOMED,virus,,
Sous-type de virus H1N1,442352004.0,SNOMED,virus,,
Sous-type de virus H5N1,772827006.0,SNOMED,virus,,
Sous-type de virus H7N9,609444009.0,SNOMED,virus,,
Virus de la grippe B,407480007.0,SNOMED,virus,,
Virus de la grippe,725894000.0,SNOMED,virus,,
Isospora Belli,12633005.0,SNOMED,"parasite, protozoa",,
Virus de l'encéphalite japonais (JEV),243603004.0,SNOMED,virus,,
Virus Junin,26352009.0,SNOMED,virus,,
Virus lassa,85944001.0,SNOMED,virus,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",,
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",,
Complexe de leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",,
Complexe de Leishmania Donovani,79781008.0,SNOMED,"parasite, protozoa",,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",,
Lichhiémie,734206002.0,SNOMED,fungi,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,,
Virus Lujo,450622000.0,SNOMED,virus,,
Virus chorioméningite lymphocytaire (LCMV),82518003.0,SNOMED,virus,,
Virus Machupo,71489006.0,SNOMED,virus,,
Madvella,23009007.0,SNOMED,fungi,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,,
Morbillivirus rougeole,52584002.0,SNOMED,virus,,
Médaillon,697932005.0,SNOMED,virus,,
Métapneumovirus,407501006.0,SNOMED,virus,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,,
Microsporidie,418382009.0,SNOMED,"parasite, protozoa",,
Microsporum,11983001.0,SNOMED,fungi,,
Syndrome respiratoire du Moyen-Orient,697932005.0,SNOMED,virus,,
