Condition,Code,Library,Charlson,Elixhauser,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Insuficiência renal aguda e crônica,236433006,SNOMED,1.0,1.0,1,,
Asplenia,707147002,SNOMED,,1.0,2,,
Fibrilação atrial,49436004,SNOMED,,1.0,3,,
Doença auto -imune,85828009,SNOMED,,,4,,
Transtorno da coagulação do sangue,64779008,SNOMED,,,5,,
Cardiomiopatia,85898001,SNOMED,,1.0,6,,
Doença Cerebrovascular,62914000,SNOMED,1.0,1.0,7,,
Doença hematológica crônica,398983000,SNOMED,,,8,,
Infecção crônica,177010002,SNOMED,,,9,,
Doença renal crônica,709044004,SNOMED,1.0,1.0,10,,
Hepatite viral crônica,10295004,SNOMED,,1.0,11,,
Doença cardíaca crônica,128238001,SNOMED,,1.0,12,,
Transtorno inflamatório crônico,128294001,SNOMED,,,13,,
Doença pulmonar crônica,413839001,SNOMED,,1.0,14,,
Transtorno metabólico crônico,128289001,SNOMED,,1.0,15,,
Doença cardíaca congênita,13213009,SNOMED,,1.0,16,,
Insuficiência cardíaca congestiva,42343007,SNOMED,1.0,1.0,17,,
Demência,52448006,SNOMED,1.0,1.0,18,,
Diabetes mellitus (todos os tipos),73211009,SNOMED,1.0,1.0,19,,
Doença do fígado,235856003,SNOMED,,1.0,20,,
Distúrbio do metabolismo lipídico,267431006,SNOMED,,1.0,21,,
Distúrbio da circulação pulmonar,39785005,SNOMED,,1.0,22,,
Hipertensão essencial,59621000,SNOMED,,1.0,23,,
Transtorno da válvula cardíaca,368009,SNOMED,,1.0,24,,
Hemiplegia,50582007,SNOMED,1.0,1.0,25,,
Doença do vírus da imunodeficiência humana [HIV],19030005,SNOMED,1.0,1.0,26,,
Hipertireoidismo,34486009,SNOMED,,1.0,27,,
Hipotireoidismo,40930008,SNOMED,,1.0,28,,
Imunossupressão,38013005,SNOMED,,1.0,29,,
Doença cardíaca isquêmica,414545008,SNOMED,1.0,1.0,30,,
Leucemia,93143009,SNOMED,1.0,1.0,31,,
Linfoma maligno,118600007,SNOMED,1.0,1.0,32,,
Câncer de tumor carcinóide metastático,705176003,SNOMED,1.0,1.0,33,,
Doença hepática moderada ou grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0,34,,
Doença renal moderada ou grave,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0,35,,
Mieloma múltiplo,109989006,SNOMED,1.0,1.0,36,,
Infarto do miocárdio,22298006,SNOMED,1.0,1.0,37,,
Distúrbios neurodegenerativos,80690008,SNOMED,,1.0,38,,
Transtorno neurológico confirmado,407626008,SNOMED,,1.0,39,,
Obesidade,414916001,SNOMED,,1.0,40,,
Paraplegia,60389000,SNOMED,1.0,1.0,41,,
Doença vascular periférica,400047006,SNOMED,1.0,1.0,42,,
Neoplasia maligna primária,372087000,SNOMED,1.0,1.0,43,,
Transtorno de uso de substâncias psicoativas,11061003,SNOMED,,1.0,44,,
Doenças raras e erros inatos do metabolismo,4121882,SNOMED,,,45,,
Psicoses reativas,231437006,SNOMED,,1.0,46,,
Trombose de veia profunda recorrente,710167004,SNOMED,,1.0,47,,
Distúrbios reumatóides,396332003,SNOMED,1.0,1.0,48,,
Fumar,77176002,SNOMED,,1.0,49,,
Configuração sólida do tumor,369757002,SNOMED,1.0,1.0,50,,
AVC,230690007,SNOMED,1.0,1.0,51,,
Transplante presente,737294004,SNOMED,1.0,1.0,52,,
Tuberculose,56717001,SNOMED,1.0,1.0,53,,
Doença do tecido conjuntivo indiferenciado,239918008,SNOMED,,1.0,54,,
