Drugs (Generic),Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Amikacina (amikina, biodacina, miacina)",J01GB06 ,ATC     ,1,,,,,,,,,,1,,
"Amoxicilina (amoxil, moxatag, trílox)",J01CA04 ,ATC     ,1,1.0,1.0,,,,1.0,,,,2,,
"Inibidor de amoxicilina/beta-lactamase (amoxicilina/clavulanato, amoxicilina e ácido clavulânico, Augmentin, amoxiclav, co-amoxiclav)",J01CR02 ,ATC     ,1,1.0,1.0,,,,1.0,,,,3,,
"Anfotericina (anfotericina B, anfocina, fungizona, fungilina)",J02AA01 ,ATC     , ,,,,,,,,,,4,,
Ampicilina (Polyflex),J01CA01,ATC,1,,,,,,,,,,5,,
"Inibidor da ampicilina/beta-lactamase (ampicilina/sulbactam, sulacilina, UNASYN)",J01CR01 ,ATC     ,1,,,,,,,,,,6,,
"Atovaquone (Mepron, WellVone)",P01AX06,ATC,2,,,,,,,,,,7,,
"Azitromicina (Sumamed, Zithromax, Zmax)",J01FA10,ATC     ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,8,,
"Aztreonam (Azactam, Cayston, Primbactam)",J01DF01,ATC,2,,,,,,,,,,9,,
"Bacampicilina (Penglobe, Spectrobid)",J01CA06,ATC,2,,,,,,,,,,10,,
Bacitracina (baciússia),J01XX10,ATC,2,,,,,,,,,,11,,
Benzatina fenoximetilpenicilina (penicilina V),J01CE10,ATC,,,,,,,,,,,12,,
"Benzilpenicilina (Penicilina G, Bactracilina G,)",J01CE01,ATC     ,1,,,,,,,,,,13,,
Capreomicina (Capastat),J04AB30,ATC,2,,,,,,,,,,14,,
"Carbenicilina Indanil Sodium (Anabactyl, Carbapen, Carindacilina, Pyopen)",J01CA05 ,ATC,2,,,,,,,,,,15,,
Caspofungina (Cancidas),J02AX04,ATC, ,,,,,,,,,,16,,
"Cefaclor (Biocef, Ceclor, Raniclor)",J01DC04,ATC,2,,,,,,,,,,17,,
Cefadroxil (Duricef),J01DB05,ATC,2,,,,,,,,,,18,,
"Cefalexin (cefalexina, keflex, daxbia)",J01DB01,ATC,1,,,,,,,,,,19,,
Cefamandole (Mandol),J01DC03,ATC,2,,,,,,,,,,20,,
"Cefazolin (Ancef, Kefzol)",J01DB04,ATC,1,,,,,,,,,,21,,
"Cefdinir (Cefzon, Omnicef)",J01DD15,ATC,2,,,,,,,,,,22,,
Cefditoren (Spectracef),J01DD16,ATC,2,,,,,,,,,,23,,
Cefepime (Maxipime),J01DE01,ATC,1,,,,,,,,,,24,,
Cefixime (suprax),J01DD08,ATC,2,,,,,,,,,,25,,
Cefmetazol (zefazona),J01DC09,ATC,2,,,,,,,,,,26,,
Cefoperazona (Cefobid),J01DD12,ATC, ,,,,,,,,,,27,,
Cefotaxime (Claforan),J01DD01,ATC,1,1.0,,,,,,,,,28,,
Cefotetan (cefotan),J01DC05,ATC,2,,,,,,,,,,29,,
