Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Aciclovir (acyclovir, zovirax)",J05AB01  ,ATC     ,,,,,,,,,,,,
Atazanavir (reyataz),J05AE08,ATC     ,,,,,,,,,,,,
Bulevitide (hepcludex),J05AX28,ATC     ,,,,,,,,,,,,
Cidofovir (Vistide),J05AB12,ATC     ,1.0,,,,1.0,,,,1.0,,,
Darunavir (Prezista),J05AE10,ATC     ,,,,,,,,,,,,
Dolutegravir (Tivicay),J05AJ03,ATC     ,,,,,,,,,,,,
Efavirenz (Sustiva),J05AG03,ATC     ,,,,,,,,,,,,
Emtricitabina (Emtriva),J05AF09,ATC     ,,,,,,,,,,,,
Famciclovir (Famvir),J05AB09,ATC     ,,,,,,,,,,,,
Favipiravir (Avigan),J05AX27,ATC     ,,,1.0,,,1.0,1.0,1.0,,,,
Ganciclovir (Citoveno),J05AB06,ATC     ,,,,,,,,,,,,
"Lamivudina (epivir, 3tc)",J05AF05,ATC     ,,,,,,,,,,,,
Lopinavir/Ritonavir (Kaletra),J05AR10  ,ATC     ,,,1.0,,,,,,,,,
Molnupiravir (Lagevrio),J05AB18 ,ATC     ,,,,,,,,,,,,
Nirmatrelvir/Retonavir (Paxlovid),J05AE30,ATC     ,,,,,,,,,,,,
Oseltamivir (Tamiflu),J05AH02  ,ATC     ,,,1.0,,,1.0,1.0,,,,,
Penciclovir (Denavir),J05AB13  ,ATC     ,,,,,,,,,,,,
Raltegravir (isentress),J05AJ01,ATC     ,,,,,,,,,,,,
Remdesivir (Veklury),J05AB16,ATC     ,,,1.0,,,,,1.0,,,,
"Ribavirina (Rebetol, Copegus)",J05AP01,ATC     ,,,,,,,,1.0,,,,
Rimantadine (Flumadine),J05AC02,ATC     ,,,,,,,1.0,,,,,
Tenofovir Alafenamida,J05AF13,ATC     ,,,,,,,,,,,,
Tenofovir disoproxil (viread),J05AF07,ATC     ,,,,,,,,,,,,
Umifenovir (arbidol),J05AX13,ATC     ,,,,,,1.0,1.0,,,,,
Valaciclovir (Valtrex),J05AB11,ATC     ,,,,,,,,,,,,
Valganciclovir (Valcyte),J05AB14,ATC     ,,,,,,,,,,,,
Zalcitabine,J05AF03,ATC     ,,,,,,,,,,,,
Zanamivir (relenza),J05AH01,ATC     ,,,1.0,,,1.0,1.0,,,,,
"Zidovudine (Retrovir, AZT)",J05AF01,ATC     ,,,,,,,,,,,,
Tecovirimat,J05AX24,ATC     ,1.0,,,,1.0,,,,1.0,,,
Pocapavir,,,,,,,,,,,,,,
PlecoNaril,J05AX06,ATC     ,,,,,,,,,,,,
Brincidofovir,J05AB17,ATC     ,1.0,,,,1.0,,,,1.0,,,
Fluoxetina,N06AB03,ATC     ,,,,,,,,,,,,
Peramivir,619693,RxNorm,,,,,,1.0,,,,,,
Baloxavir Marboxil (Xofluza),782500006,SNOMED,,,,,,1.0,1.0,,,,,
Laninamivir,OMOP5173449,RxNorm Extension,,,,,,1.0,,,,,,
"Amantadine (Gocovri, Osmolex ER, Symmerel)",N04BB01,ATC,,,,,,,1.0,,,,,
