Drugs,Code,Library,Selected,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Abatacept (Orencia), L04AA24  , ATC     , ,,,
Adalimumab (Humira), L04AB04  , ATC     ,1,,,
"Alemtuzumab (Campath, Lemtrada)", L04AA34, ATC     ,,,,
"Azatioprina (Imuran, Azasan)", L04AX01  , ATC     ,1,1.0,,
Basiliximab (simulect), L04AC02, ATC     , ,,,
Belatacept (nulojix), L04AA28, ATC     , ,,,
"Ciclosporina (Neoral, Sandimmune, Gengraf)", L04AD01  , ATC     ,1,,,
Etanercept (enbrel), L04AB01  , ATC     ,1,,,
"Everolimus (Afinitor, Zortress)", L04AA18  , ATC     , ,,,
"Infliximab (avsola, infretra, remicade)", L04AB02  , ATC     ,1,,,
Leflunomida (Arava), L04AA13  , ATC     , ,,,
Mercaptopurina (Purixan),L01BB02,ATC,,,,
"Metotrexato (Trexall, Rasuvo, Otrexup)",L04AX03  ,ATC     ,1,1.0,,
Micofenolato Mofetil (CellCept), L04AA06  , ATC     ,1,,,
Ácido micofenólico (myfortic), L04AA06, ATC     ,1,1.0,,
Natalizumab (Tysabri), L04AA23  , ATC     , ,,,
Nivolumab (OpDivo),L01FF02,ATC,,,,
"Rituximab (Rituxan, Mabthera)",L01FA01 , ATC     ,1,1.0,,
Sarilumab (Kevzara), L04AC14, ATC     ,1,,,
Secukinumab (Cosentyx), L04AC10  , ATC     , ,,,
Sirolimus (Rapamune), L04AA10  , ATC     , ,,,
"Tacrolimus (Programaf, Advagraf, Protópico)", L04AD02  , ATC     ,1,,,
Talidomida (talomid),L04AX02,ATC,,,,
Tocilizumab (Actemra), L04AC07  , ATC     ,1,1.0,,
Ustekinumab (Stelara), L04AC05  , ATC     , ,,,
Vedolizumab (Entyvio), L04AA33, ATC     , ,,,
Anakinra,L04AC03,ATC,,,,
