Outcome,Code,Selected,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Todas as lesões são completamente resolvidas e sem complicações graves,,,1.0,1.0,,1,,
Todas as lesões não são mais ativas e não há complicações graves,,,1.0,1.0,,2,,
Morte,,1.0,1.0,1.0,1.0,3,,
Alta aliva - motivos médicos,,1.0,1.0,1.0,1.0,4,,
Descarregado vivo - preferência do paciente,,1.0,1.0,1.0,1.0,5,,
Retirada antecipada,,1.0,1.0,1.0,1.0,6,,
Perda para acompanhamento,,1.0,1.0,1.0,1.0,7,,
Nenhuma lesões jamais se desenvolveu e sem complicações sérias,,,1.0,1.0,,8,,
Uma ou mais lesões são ativas e nenhuma complicações graves,,,1.0,1.0,,9,,
Cuidado paliativo,,,,,1.0,10,,
Complicação grave e/ou re-hospitalização devido à infecção pelo patógeno de interesse,,,1.0,1.0,1.0,11,,
Ainda hospitalizado,,1.0,1.0,1.0,1.0,12,,
Transferência para outra instalação,,1.0,1.0,1.0,1.0,13,,
