Sample_Type,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Fluido amniótico,TEMP,TEMP,,,,,,,,1,,
Bal (lavagem broncoalveolar),TEMP,TEMP,1.0,1.0,,,1.0,,1.0,2,,
Sangue,TEMP,TEMP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,,
Leite materno,TEMP,TEMP,,,,,,,,4,,
Swab bucal,TEMP,TEMP,,,,1.0,,1.0,,5,,
CSF (líquido cefalorraquidiano),TEMP,TEMP,,,1.0,1.0,,1.0,,6,,
Cotonete nasal/np + combinado,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,7,,
ETA (aspirado endotraqueal),TEMP,TEMP,1.0,1.0,,,1.0,,1.0,8,,
Swab ocular,TEMP,TEMP,,,,1.0,,1.0,1.0,9,,
Felas/swab retal,TEMP,TEMP,,,,1.0,,1.0,,10,,
Lesão/crosta (pele) swab,TEMP,TEMP,,,,1.0,,1.0,,11,,
Swab nasal/NP,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,12,,
Sangue neonato,TEMP,TEMP,,,1.0,,,,,13,,
Sêmen,TEMP,TEMP,,,,1.0,,1.0,,14,,
Escarro,TEMP,TEMP,1.0,1.0,,,1.0,,1.0,15,,
Amostra de fezes,TEMP,TEMP,,,,,,,,16,,
Swab da garganta,TEMP,TEMP,1.0,1.0,,1.0,1.0,1.0,1.0,17,,
Swab uretral,TEMP,TEMP,,,,,,,,18,,
Urina,TEMP,TEMP,,,,1.0,,1.0,,19,,
Swab vaginal,TEMP,TEMP,,,,1.0,,1.0,,20,,
