Condition,Code,Library,Charlson,Elixhauser,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Insuficiencia renal aguda sobre crónica,236433006,SNOMED,1.0,1.0,1,,
Asplenia,707147002,SNOMED,,1.0,2,,
Fibrilación auricular,49436004,SNOMED,,1.0,3,,
Enfermedad autoinmune,85828009,SNOMED,,,4,,
Trastorno de coagulación de sangre,64779008,SNOMED,,,5,,
Miocardia,85898001,SNOMED,,1.0,6,,
Enfermedad cerebrovascular,62914000,SNOMED,1.0,1.0,7,,
Enfermedad hematológica crónica,398983000,SNOMED,,,8,,
Infección crónica,177010002,SNOMED,,,9,,
Enfermedad renal crónica,709044004,SNOMED,1.0,1.0,10,,
Hepatitis viral crónica,10295004,SNOMED,,1.0,11,,
Cardiopatía crónica,128238001,SNOMED,,1.0,12,,
Trastorno inflamatorio crónico,128294001,SNOMED,,,13,,
Enfermedad pulmonar crónica,413839001,SNOMED,,1.0,14,,
Trastorno metabólico crónico,128289001,SNOMED,,1.0,15,,
Enfermedad cardíaca congénita,13213009,SNOMED,,1.0,16,,
Insuficiencia cardíaca congestiva,42343007,SNOMED,1.0,1.0,17,,
Demencia,52448006,SNOMED,1.0,1.0,18,,
Diabetes mellitus (todo tipo),73211009,SNOMED,1.0,1.0,19,,
Enfermedad del hígado,235856003,SNOMED,,1.0,20,,
Trastorno del metabolismo de los lípidos,267431006,SNOMED,,1.0,21,,
Trastorno de la circulación pulmonar,39785005,SNOMED,,1.0,22,,
Hipertensión esencial,59621000,SNOMED,,1.0,23,,
Trastorno de la válvula cardíaca,368009,SNOMED,,1.0,24,,
Hemiplejía,50582007,SNOMED,1.0,1.0,25,,
Enfermedad del virus de la inmunodeficiencia humana [VIH],19030005,SNOMED,1.0,1.0,26,,
Hipertiroidismo,34486009,SNOMED,,1.0,27,,
Hipotiroidismo,40930008,SNOMED,,1.0,28,,
Inmunosupresión,38013005,SNOMED,,1.0,29,,
Cardiopatía isquémica,414545008,SNOMED,1.0,1.0,30,,
Leucemia,93143009,SNOMED,1.0,1.0,31,,
Linfoma maligno,118600007,SNOMED,1.0,1.0,32,,
Cáncer de tumor carcinoide metastásico,705176003,SNOMED,1.0,1.0,33,,
Enfermedad hepática moderada o grave,235856003 |Disorder of liver (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0,34,,
Enfermedad renal moderada o grave,90708001 |Kidney disease (disorder)|371924009 |Moderate to severe (qualifier value)|,SNOMED,1.0,1.0,35,,
Mieloma múltiple,109989006,SNOMED,1.0,1.0,36,,
Infarto de miocardio,22298006,SNOMED,1.0,1.0,37,,
Trastornos neurodegenerativos,80690008,SNOMED,,1.0,38,,
Trastorno neurológico confirmado,407626008,SNOMED,,1.0,39,,
Obesidad,414916001,SNOMED,,1.0,40,,
Paraplejía,60389000,SNOMED,1.0,1.0,41,,
Enfermedad vascular periférica,400047006,SNOMED,1.0,1.0,42,,
Neoplasma maligna primaria,372087000,SNOMED,1.0,1.0,43,,
Trastorno por uso de sustancias psicoactivas,11061003,SNOMED,,1.0,44,,
Enfermedades raras y errores innatos del metabolismo,4121882,SNOMED,,,45,,
Psicosis reactivas,231437006,SNOMED,,1.0,46,,
Trombosis venosa profunda recurrente,710167004,SNOMED,,1.0,47,,
Trastornos reumatoides,396332003,SNOMED,1.0,1.0,48,,
De fumar,77176002,SNOMED,,1.0,49,,
Configuración de tumor sólido,369757002,SNOMED,1.0,1.0,50,,
Ataque,230690007,SNOMED,1.0,1.0,51,,
Trasplante presente,737294004,SNOMED,1.0,1.0,52,,
Tuberculosis,56717001,SNOMED,1.0,1.0,53,,
Enfermedad del tejido conectivo indiferenciado,239918008,SNOMED,,1.0,54,,
