Condition,Code,Library,Code_2,Library_2,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Dolor abdominal,R10.9,ICD10,21522001,SNOMED,,,,,
Alopecia (pérdida de cabello no acelerante),L65.9,ICD10,56317004,SNOMED,,,,,
Conciencia / confusión alterada (desorientación),R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,,,,,
Anorexia,R63.0,ICD10,79890006,SNOMED,,,,,
Apnea,R06.81,ICD10,1023001,SNOMED,,,,,
Arritmia cardíaca,I49.9,ICD10,698247007,SNOMED,,,,,
Ascitis,R18.8,ICD10,389026000,SNOMED,,,,,
Sangrado (hemorragia),R58,ICD10,131148009,SNOMED,,,,,
Hematomas (ecquimosis espontáneas),R23.3,ICD10,308492005,SNOMED,,,,,
No puedo sentir un lado del cuerpo o la cara (hemiplejia),I69.959,ICD10,20022000,SNOMED,,,,,
No se puede mover o controlar completamente el movimiento (síndrome paralítico),G83.9,ICD10,44695005,SNOMED,,,,,
Cambios en la menstruación (menstruación irregular),N92.6,ICD10,80182007,SNOMED,,,,,
Dolor en el pecho,R07.9,ICD10,29857009,SNOMED,,,,,
Escalofríos (sin fiebre),R68.83,ICD10,43724002,SNOMED,,,,,
Deterioro cognitivo (discapacidades intelectuales no especificadas),F79,ICD10,386806002,SNOMED,,,,,
Conjuntivitis,H10.9,ICD10,9826008,SNOMED,,,,,
Constipación,K59.0,ICD10,14760008,SNOMED,,,,,
Tos,R05,ICD10,49727002,SNOMED,,,1.0,,
Palidez,R23.1,ICD10,398979000,SNOMED,,,,,
Diarrea,R19.7,ICD10,267060006,SNOMED,,,,,
Dificultad para comer o beber (disfagia),R13.10,ICD10,40739000,SNOMED,,,,,
Perturbación en la atención (estado mental alterado),R41.82,ICD10,419284004,SNOMED,,,,,
Mareos/encabezado de luz (mareos y vértulas),R42,ICD10,271789005,SNOMED,,,,,
Piel seca (Xerosis cutis),L85.3,ICD10,52475004,SNOMED,,,,,
Dolor de oído (otalgia),H92.0,ICD10,301354004,SNOMED,,,,,
Disfunción eréctil,N52.9,ICD10,860914002,SNOMED,,,,,
Incontinencia fecal,R15,ICD10,72042002,SNOMED,,,,,
Desafio / apagones (síncope y colapso),R55,ICD10,309585006,SNOMED,,,,,
Malestar y fatiga,R53,ICD10,271795006,SNOMED,,,,,
Fiebre,R50.9,ICD10,386661006,SNOMED,1.0,1.0,1.0,,
Sangrado gastrointestinal (hemorragia gastrointestinal),K92.2,ICD10,74474003,SNOMED,,,,,
Dolor de cabeza,R51,ICD10,25064002,SNOMED,,,,,
Hepatomegalia,R16.0,ICD10,80515008,SNOMED,,,,,
Dificultad para caminar,R26.2,ICD10,719232003,SNOMED,,,,,
Aumento de la sed (polidipsia),R63.1,ICD10,249477003,SNOMED,,,,,
Aumento de la orina (poliuria),R35.8,ICD10,28442001,SNOMED,,,,,
Picazón en el ojo,H57.8,ICD10,74776002,SNOMED,,,,,
Dolor durante la orina (disuria),R30.0,ICD10,49650001,SNOMED,,,,,
Dificultad de alimentación,R63.3,ICD10,78164000,SNOMED,,,,,
Irritabilidad,R45.4,ICD10,55929007,SNOMED,,,,,
