Country,Region,Selected,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afganistán,Asia,,,
Islas Aland,Europa,,,
Albania,Europa,,,
Argelia,África,,,
Samoa americana,Oceanía,,,
Andorra,Europa,,,
Angola,África,,,
Anguila,América,,,
Antártida,Polar,,,
Antigua y Barbuda,América,,,
Argentina,América,,,
Armenia,Asia,,,
Aruba,América,,,
Australia,Oceanía,,,
Austria,Europa,,,
Azerbaiyán,Asia,,,
Bahrain,Asia,,,
Bangladesh,Asia,,,
Barbados,América,,,
Bielorrusia,Europa,,,
Bélgica,Europa,,,
Belgo,América,,,
Benin,África,,,
islas Bermudas,América,,,
Bután,Asia,,,
Bolivia,América,,,
"Bonaire, Sint Eustatius y Saba",América,,,
Bosnia y Herzegovina,Europa,,,
Botswana,África,,,
Isla bouvet,,,,
Brasil,América,,,
Territorio del Océano Índico británico,África,,,
Brunei,Asia,,,
Bulgaria,Europa,,,
Burkina Faso,África,,,
Burundi,África,,,
Camboya,Asia,,,
Camerún,África,,,
Canadá,América,,,
Cabo Verde,África,,,
Islas Caimán,América,,,
República Centroafricana,África,,,
Chad,África,,,
Chile,América,,,
Porcelana,Asia,,,
Isla de Navidad,Oceanía,,,
Islas Cocos (Keeling),Oceanía,,,
Colombia,América,,,
Comoras,África,,,
Congo,África,,,
Islas Cook,Oceanía,,,
Costa Rica,América,,,
Cote de Marfil (Costa de Marfil),África,,,
Croacia,Europa,,,
Cuba,América,,,
Curacao,América,,,
Chipre,Europa,,,
República Checa,Europa,,,
República Democrática del Congo,África,,,
Dinamarca,Europa,,,
Djibouti,África,,,
Dominio,América,,,
República Dominicana,América,,,
Ecuador,América,,,
Egipto,África,,,
El Salvador,América,,,
Guinea Ecuatorial,África,,,
Eritrea,África,,,
Estonia,Europa,,,
Eswatini,África,,,
Etiopía,África,,,
Islas Malvinas,América,,,
Islas Feroe,Europa,,,
Islas Fiji,Oceanía,,,
Finlandia,Europa,,,
Francia,Europa,,,
Guayana Francesa,América,,,
Polinesia francesa,Oceanía,,,
Territorios del sur francés,África,,,
Gabón,África,,,
Gambia el,África,,,
Georgia,Asia,,,
