Disease,Code,Library,Selected,preset_ARChetype CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Trabajador matiante,,,1.0,1.0,1,,
Trabajador de la granja de ganado de carne de res de carne,,,1.0,1.0,2,,
Trabajador agrícola lechero,,,1.0,1.0,3,,
Trabajador de la salud,,,1.0,1.0,4,,
Trabajador del mercado de aves vivos,,,,1.0,5,,
Otros trabajadores del mercado de animales vivos,,,,1.0,6,,
Trabajador agrícola de aves de corral,,,1.0,1.0,7,,
Cornero de aves de corral,,,,1.0,8,,
Trabajador de transporte público,,,,,9,,
Trabajador de saneamiento,,,,,10,,
Trabajador agrícola de cerdos,,,,1.0,11,,
Veterinario,,,1.0,1.0,12,,
