Drugs,Code,Library,Selected,preset_Respiratory,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Comment,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Aminofilina (truphyllina), R03DA05   , ATC     ,,,,,,,,,,,
"Beclometasona (Qvar, Beconase AQ)", R03BA01   , ATC     ,,,,,,,,,,,
Caspofungin (Cancidas), J02AX04   , ATC     ,,,,,,,,,,,
Cloroquina (Aralen), P01BA01   , ATC     ,,,1.0,,,,,1.0,,,
"Clobetasol (Temovate, Olux, Impoyz)",D07AD01,ATC,,,,,,,,,Topical,,
Fluconazol (diflucan), J02AC01   , ATC     ,,,,,,,,,,,
"Fluticasona (Flovente, Flonase)", R03BA05   , ATC     ,,,,,,,,,,,
Furoato de fluticasona, R03BA09, ATC     ,,,,,,,,,,,
"Formoterol (foradil, perforomista)", R03AC13, ATC     ,,,,,,,,,,,
Formoterol y Beclometasona (Fostair), R03AK11   , ATC     ,,,,,,,,,,,
Formoterol y budesonide (Symbicort), R03AK07   , ATC     ,,,,,,,,,,,
Bromuro de glicopirronio (Sebri), R03BB06   , ATC     ,,,,,,,,,,,
Hidroxicloroquina (Plaquenil), P01BA02   , ATC     ,,,,,,,,,,,
"Imiquimod (Aldara, Zyclara)",D06BB10  ,ATC,,,,,,,,,Topical/Locally acting,,
Bromuro de indacaterol y glicopirronio (Ultibro Breezhaler), R03AL04, ATC     ,,,,,,,,,,,
Interferón alfa, L03AB01 , ATC     ,,,1.0,,,,,1.0,,,
Interferón beta, L03AB02 , ATC     ,,,1.0,,,,,1.0,,,
Bromuro de ipratropio (Atrovent), R03BB01   , ATC     ,,,,,,,,,,,
Ivermectina (estromectol), P02CF01   , ATC     ,,,,,,,,,,,
Mafenuro (sulfamylon),D06BA03,ATC,,,,,,,,,Topical,,
"Mometasone (Asmanex, Nasonex)", R03BA07, ATC     ,,,,,,,,,,,
Montelukast (Singulair), R03DC03   , ATC     ,,,,,,,,,,,
Mupirocina (Bactroban),D06AX09,ATC,,,,,,,,,Topical/Locally acting,,
"Nistatina (Bio-Statin, Nyamyc)",A02AA01,ATC,,,,,,,,,Locally acting,,
"Podophyllotoxina (Podofilox, Condylox)",D06BB04 ,ATC,,,,,,,,,Topical,,
Primaquina, P01BA03   , ATC     ,,,,,,,,,,,
"Salbutamol (Ventolin, Proventil)", R03AC02   , ATC     ,,,,,,,,,,,
Salmeterol (seralente), R03AC12   , ATC     ,1.0,,,,,,,,,,
"Salmeterol y Fluticasone (Advair, Seretide)", R03AK06   , ATC     ,,,,,,,,,,,
"Azufre, precipitado en gasolatero",D10AB02,ATC,,,,,,,,,Topical,,
"Teofilina (Theo-24, Elixophyllin)", R03DA04   , ATC     ,,,,,,,,,,,
Bromuro de tiotropio (espiriva), R03BB04   , ATC     ,,,,,,,,,,,
Ácido tricloroacético,78151001,SNOMED,,,,,,,,,Topical,,
Furoato de vilanterol y fluticasona (Breo Ellipta), R03AK10   , ATC     ,,,,,,,,,,,
Bromuro de vilanterol y umeclidinio (Anoro Ellipta),R03AL03, ATC     ,1.0,,,,,,,,,,
