Drugs,Code,Library,Selected,preset_ARChetype CRF_H5Nx,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Analgésico,373265006 |Analgesic (substance)|,SNOMED,1.0,,1.0,,1,,
Antibiótico,255631004 |Antibiotic (product)|,SNOMED,1.0,1.0,,1.0,2,,
Anticoagulante,372862008 |Anticoagulant (substance)|,SNOMED,,1.0,,1.0,3,,
Antifúngico,373219008 |Substance with antifungal mechanism of action (substance)|,SNOMED,1.0,1.0,,1.0,4,,
Antihistamínico,6425004 |Product containing histamine receptor antagonist (product)|,SNOMED,,,,,5,,
Antiprotozoo,788027008 |Medicinal product acting as antiprotozoal agent (product)|,SNOMED,,,,,6,,
Antiprurítico,312067003 |Local antipruritic agent (product)|,SNOMED,1.0,,,,7,,
Antivírico,372701006,SNOMED,1.0,1.0,1.0,1.0,8,,
Plasma convaleciente,1179779000,SNOMED,,,,,9,,
Corticosteroide,116566001,SNOMED,1.0,1.0,1.0,1.0,10,,
Diuréticos,372695000,SNOMED,,,,,11,,
Inmunomodulador,372558009,SNOMED,,,1.0,,12,,
Medicamentos inmunosupresores (no esteroide),69431002,SNOMED,,,1.0,,13,,
Inotropes / vasopresores,373213009 |Inotropic agent (substance)|870406003 |Vasopressor (substance)|,SNOMED,,1.0,,1.0,14,,
Inmunoglobulina intravenosa,698802001,SNOMED,,,1.0,,15,,
Antibiótico tópico,255631004 |Antibiotic (product)| 6064005 |Topical route (qualifier value)|,SNOMED,1.0,,,,16,,
