Drugs,Code,Library,Selected,preset_ARChetype CRF_ARI,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Ácido acetilsalicílico (aspirina, ascriptina, ecotrina)",N02BA01, ATC     ,1,1,,
Celecoxib (Celebrex), M01AH01 , ATC     ,1,1,,
"Diclofenac (Voltaren, Cataflam)", M01AB05 , ATC     ,1,1,,
Etoricoxib (arcoxia), M01AH05 , ATC     , , ,,
"FLURBIPROFEN (ANSAID, OCUFEN)", M01AE09 , ATC     , , ,,
"Ibuprofeno (Advil, Motrin)", M01AE01 , ATC     ,1,1,,
Indometacina (indocina), M01AB01 , ATC     ,1,1,,
"Ketoprofeno (ORUDIS, ORUVAIL)", M01AE03 , ATC     , , ,,
Ketorolac (Toradol), M01AB15 , ATC     , , ,,
Ácido mefenámico (Ponstel), M01AG01 , ATC     , , ,,
Meloxicam (móvil), M01AC06 , ATC     , , ,,
Nabumetona (Relafen), M01AX01 , ATC     , , ,,
"Naproxen (Aleve, Naprosyn)", M01AE02 , ATC     ,1,1,,
Piroxicam (Feldene), M01AC01 , ATC     , , ,,
Sulindac (Clinoril), M01AB02 , ATC     , , ,,
