Outcome,Code,Selected,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Todas las lesiones están completamente resueltas y no hay complicaciones graves,,,1.0,1.0,,1,,
Todas las lesiones ya no son activas y no hay complicaciones graves,,,1.0,1.0,,2,,
Muerte,,1.0,1.0,1.0,1.0,3,,
Dado de alta viva - motivos médicos,,1.0,1.0,1.0,1.0,4,,
Dado de alta viva: preferencia del paciente,,1.0,1.0,1.0,1.0,5,,
Retiro temprano,,1.0,1.0,1.0,1.0,6,,
Pérdida de seguimiento,,1.0,1.0,1.0,1.0,7,,
Nunca se desarrollaron lesiones y no hay complicaciones graves,,,1.0,1.0,,8,,
Una o más lesiones son activas y no hay complicaciones graves,,,1.0,1.0,,9,,
Cuidados paliativos,,,,,1.0,10,,
Complicación grave y/o rehospitalización debido a la infección con patógeno de interés,,,1.0,1.0,1.0,11,,
Todavía hospitalizado,,1.0,1.0,1.0,1.0,12,,
Transferir a otras instalaciones,,1.0,1.0,1.0,1.0,13,,
