Disease,Code,Library,Selected,preset_ARChetype CRF_Covid,preset_ARChetype CRF_Dengue,preset_ARChetype CRF_Mpox,preset_ARChetype CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adenovirus,,,,,,,1.0,,,,1.0,1,,
Infección por el virus de los Andes (hantavirus),359761005,SNOMED,,,,,,,1.0,,,2,,
Fiebre hemorrágica argentina (virus de Junin),58868000,SNOMED,,,,,,,1.0,,,3,,
Influenza aviar A H7N9/ H5N1/ H5N8/ H7N7,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,,,,,1.0,,,,,4,,
Infección bacteriana,87628006,SNOMED,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,,
Fiebre hemorrágica boliviana (virus de Machupo),67247008,SNOMED,,,,,,,1.0,,,6,,
Covid-19 (SARS-Cov-2),840539006,SNOMED,,1.0,,,1.0,,,,1.0,7,,
Varicela (varicela),58750007,SNOMED,,,,1.0,,,,1.0,,8,,
Fiebre hemorrágica del Congo Crime (CCHF),43489008,SNOMED,,,,,,,1.0,,,9,,
Dengue,38362002,SNOMED,,,1.0,,,,1.0,,,10,,
Enfermedad del virus del ébola (EVD),37109004,SNOMED,,,,,,,1.0,,,11,,
Enterovirus,53648006,SNOMED,,,,,,,,,,12,,
Exposición al agente CBRN,,,,,,,,,,,,13,,
Exposición a energía dañina,,,,,,,,,,,,14,,
HSV,88594005,SNOMED,,,,,,,,,,15,,
"Hepatitis (general, no especificada)",40468003,SNOMED,,,1.0,,,,,,,16,,
Infección por virus del herpes simple (HSV),88594005,SNOMED,,,,1.0,,,,1.0,,17,,
Infección por virus de inmunodeficiencia humana (infección por VIH),86406008,SNOMED,,,,1.0,,,,1.0,,18,,
Influenza a H1N1,442352004,SNOMED,,,,,,,,,1.0,19,,
Influenza a h5n1,772827006,SNOMED,,,,,,,,,1.0,20,,
Influenza a h5n8,708527000,SNOMED,,,,,,,,,1.0,21,,
Influenza a H7N7,715346008,SNOMED,,,,,,,,,1.0,22,,
Influenza a H7N9,609444009,SNOMED,,,,,,,,,1.0,23,,
Virus de influenza,407479009,SNOMED,,,,,,,,,1.0,24,,
Virus de influenza B,407480007,SNOMED,,,,,,,,,1.0,25,,
Virus de la influenza,725894000,SNOMED,,,,,,,,,1.0,26,,
Je,52947006,SNOMED,,,,,,,,,,27,,
Fiebre de lassa,19065005,SNOMED,,,,,,,1.0,,,28,,
Enfermedad del virus de Lujo,721784007,SNOMED,,,,,,,1.0,,,29,,
Enfermedad del virus de Marburg (MVD),77503002,SNOMED,,,,,,,1.0,,,30,,
Sarampión,14189004,SNOMED,,,,,,,,,,31,,
Síndrome respiratorio de Medio Oriente (MERS),6.51E+11,SNOMED,,,,,,,,,,32,,
Mpox,359814004,SNOMED,1.0,,,1.0,,,,1.0,,33,,
Nipah,406597005,SNOMED,,,,,,,,,,34,,
Oropouche,72880002,SNOMED,,,,,,1.0,,,,35,,
Peste neumónica (Yersinia pestis),38976008,SNOMED,,,,,,,,,,36,,
Infección del virus sincitial respiratorio (RSV),55256001,SNOMED,,,,,,,,,1.0,37,,
Hepatitis pediátrica aguda severa,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,,,,,,,,,,38,,
Síndrome respiratorio agudo severo (SARS-Noh Covid-19),398447004,SNOMED,,,,,,,,,1.0,39,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001,SNOMED,,,,,,,,,,40,,
Influenza indefinida,155559006,SNOMED,,,,,,,,,1.0,41,,
