Variable,Form,Section,Question,Answer Options,Definition,Completion Guideline
subjid,présentation,,Numéro d'identification du participant (PIN),,Le numéro d'identification du participant ou NIP est un numéro unique utilisé pour identifier les données du patient (participant).,Inscrivez le numéro d'identification du participant (PIN).
inclu_disease,présentation,CRITÈRES D'INCLUSION,Infection suspectée ou confirmée,,Il s'agit de toute infection suspectée ou confirmée.,"Si plusieurs infections sont suspectées, sélectionnez la plus probable et remplissez la section « TEST DE DÉPISTAGE DE L'AGENT PATHOGÈNE » avec la confirmation du laboratoire."
inclu_reason,présentation,CRITÈRES D'INCLUSION,L'infection suspectée ou confirmée est-elle la raison de l'admission à l'hôpital ?,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de savoir si l'infection suspectée ou confirmée par l'agent pathogène d'intérêt est la raison (l'indication) de l'admission à l'hôpital.,Indiquez « Oui » si l'infection par l'agent pathogène concerné est suspectée ou confirmée et si elle est la raison (l'indication) de l'admission à l'hôpital. Indiquez « Non » si l'infection suspectée ou confirmée par l'agent pathogène concerné n'est pas la raison (l'indication) de l'admission à l'hôpital.
inclu_case,présentation,CRITÈRES D'INCLUSION,Statut du cas,"1, Confirmé | 2, Probable | 3, Suspecté | 4, Écarté | 5, Erreur","Confirmé désigne un cas confirmé en laboratoire et pouvant répondre aux critères cliniques décrits dans la définition de cas. Probable désigne une maladie cliniquement compatible, épidémiologiquement liée à un cas confirmé, sans confirmation en laboratoire de l'infection par l'agent pathogène d'intérêt. Suspecté désigne une maladie cliniquement compatible, sans lien épidémiologique ni confirmation en laboratoire. Rejeté désigne un patient dont le test de laboratoire est négatif et qui ne répond pas aux critères d'un cas suspect, probable ou confirmé. ",Sélectionnez l'option la plus appropriée qui correspond à l'état du cas. 
inclu_testreason,présentation,CRITÈRES D'INCLUSION,Raison pour laquelle le patient a été testé,"1, Symptomatique | 2, Asymptomatique, contact tracé | 3, Asymptomatique, campagne de dépistage de masse | 4, Non testé",Il s'agit de la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a été testé pour l'agent pathogène d'intérêt.
inclu_testreason_otth,présentation,CRITÈRES D'INCLUSION,Précisez autre raison,,Il s'agit de la raison pour laquelle le patient a subi un test de dépistage de l'agent pathogène concerné.,Sélectionnez l'option la plus appropriée qui correspond à la raison pour laquelle le patient a subi un test de dépistage de l'agent pathogène concerné.
inclu_consentdes,présentation,CRITÈRES D'INCLUSION,Consentement,,,
inclu_consent,présentation,CRITÈRES D'INCLUSION,Le participant (ou son représentant) a donné son consentement pour participer à cette étude.,"1, Oui | 0, Non, le participant n'a pas accepté de participer à l'étude | 2, Non, le comité d'éthique a approuvé une dérogation au consentement | 99, Inconnu",Il s'agit du consentement éclairé donné par le patient ou son représentant pour participer à cette étude.,Indiquez « Oui » si le patient ou son représentant a donné son consentement éclairé pour participer à cette étude.
inclu_consent_date,présentation,CRITÈRES D'INCLUSION,Date du consentement,,Il s'agit de la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude.,Inscrivez la date à laquelle le consentement éclairé a été donné pour l'inclusion des participants dans cette étude. Utilisez le format JJ/MM/AAAA.
inclu_consent_who,présentation,CRITÈRES D'INCLUSION,Consentement donné par,"1, Participant | 2, Parent/tuteur | 3, Personne consultée | 4, Clinicien indépendant ",Il s'agit de la personne qui a donné son consentement pour participer à cette étude.,Sélectionnez l'option la plus appropriée qui correspond à la personne ayant donné son consentement pour participer à cette étude.
inclu_consent_whopg,présentation,CRITÈRES D'INCLUSION,L'enfant ou l'adolescent donne-t-il son accord ?,"1, Oui | 0, Non | 2, Incompétent",Il s'agit du consentement donné par un mineur ou un adulte incapable de donner son consentement de son propre chef pour participer à une étude. Le consentement doit être accompagné de l'accord d'un parent ou d'un tuteur légal pour la participation pleine et entière à l'étude.,Sélectionnez l'option la plus appropriée qui correspond à l'obtention du consentement pour participer à cette étude.
inclu_consent2des,présentation,CRITÈRES D'INCLUSION,"Utilisation secondaire des données collectées, le participant a accepté les déclarations suivantes :",,,
inclu_consent_secrsch,présentation,CRITÈRES D'INCLUSION,"Utilisation future des données pseudonymisées dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non",Désigne le consentement à l'utilisation secondaire future de données pseudonymisées dans le cadre de recherches approuvées sur le plan éthique.,Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.
inclu_consent_secprod,présentation,CRITÈRES D'INCLUSION,"Utilisation future des données pseudonymisées pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future de données pseudonymisées pour la fabrication de tests, de traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.
inclu_consent_secgen,présentation,CRITÈRES D'INCLUSION,"Utilisation future des données génétiques pseudonymisées dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non",Désigne le consentement à l'utilisation secondaire future de données génétiques pseudonymisées dans le cadre de recherches approuvées sur le plan éthique.,Il s'agit d'une question facultative relative au consentement. Elle n'est pas obligatoire pour remplir le reste du CRF.
inclu_consentsecsamp,présentation,CRITÈRES D'INCLUSION,"Utilisation secondaire des échantillons prélevés, le participant a accepté les déclarations suivantes :",,,
inclu_consent_secsamprsch,présentation,CRITÈRES D'INCLUSION,"Utilisation future des échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
inclu_consent_secsampprod,présentation,CRITÈRES D'INCLUSION,"Utilisation future des échantillons ou des matériaux pseudonymisés ou des données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons ou de matériaux pseudonymisés ou de données dérivées de ces échantillons pour fabriquer des tests, des traitements ou d'autres produits, y compris des produits commerciaux.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
inclu_consent_secsampgen,présentation,CRITÈRES D'INCLUSION,"Utilisation future des échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays","1, Oui | 0, Non","Désigne le consentement à l'utilisation secondaire future d'échantillons génétiques pseudonymisés dans le cadre de recherches éthiquement approuvées, y compris dans d'autres pays.",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
inclu_consentcont,présentation,CRITÈRES D'INCLUSION,Contact,,,
inclu_consent_contnstudy,présentation,CRITÈRES D'INCLUSION,"À contacter pour participer à des travaux futurs, y compris des études de recherche","1, Oui | 0, Non","Désigne la personne à contacter pour participer à des travaux futurs, y compris des études de recherche",Il s'agit d'une question facultative relative au consentement qui n'est pas obligatoire pour remplir le reste du CRF.
pres_onsetdate,présentation,APPARITION ET PRÉSENTATION,Date d'apparition du premier symptôme / du symptôme le plus ancien,,Il s'agit de la date d'apparition du premier symptôme ou du symptôme le plus précoce cliniquement lié à l'épisode actuel de la maladie.,"Indiquez la date de l'apparition du premier symptôme que vous estimez cliniquement lié à cet épisode de maladie, au format JJ/MM/AAAA."
