Condition,Selected,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,Code,Library,Code_2,Library_2,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Douleurs abdominales,,,,R10.9,ICD10,21522001,SNOMED,1,,
Perte de poids anormale,,,,R63.4,ICD10,267024001,SNOMED,2,,
Alopécie (perte de cheveux non garantie),,,,L65.9,ICD10,56317004,SNOMED,3,,
Conscience / confusion altérée (désorientation),,,,R41.0,ICD10,62476001 |Disorientated (finding)|,SNOMED,4,,
Anorexie,,,,R63.0,ICD10,79890006,SNOMED,5,,
Apnée,,,,R06.81,ICD10,1023001,SNOMED,6,,
Ascite,,,,R18.8,ICD10,389026000,SNOMED,7,,
Saignement (hémorragie),,,,R58,ICD10,131148009,SNOMED,8,,
Ecchymoses (ecchymoses spontanées),,,,R23.3,ICD10,308492005,SNOMED,9,,
Je ne peux pas sentir un côté du corps ou du visage (hémiplégie),,,,I69.959,ICD10,20022000,SNOMED,10,,
Impossible de déplacer ou de contrôler complètement le mouvement (syndrome paralytique),,,,G83.9,ICD10,44695005,SNOMED,11,,
Arythmie cardiaque,,,,I49.9,ICD10,698247007,SNOMED,12,,
Changements dans les menstruations (menstruations irrégulières),,,,N92.6,ICD10,80182007,SNOMED,13,,
Changements dans la texture de la peau,,,,R23.4,ICD10,274672009,SNOMED,14,,
Douleur thoracique,,,,R07.9,ICD10,29857009,SNOMED,15,,
Douleur thoracique sur la respiration,,,1.0,R07.1,ICD10,274664007,SNOMED,16,,
Frissons (sans fièvre),,,,R68.83,ICD10,43724002,SNOMED,17,,
Débordement cognitif (déficience intellectuelle non spécifiée),,,,F79,ICD10,386806002,SNOMED,18,,
Conjonctivite,,,,H10.9,ICD10,9826008,SNOMED,19,,
Constipation,,,,K59.0,ICD10,14760008,SNOMED,20,,
Convulsions,,,,R56.9,ICD10,91175000,SNOMED,21,,
Toux,,,1.0,R05,ICD10,49727002,SNOMED,22,,
Diarrhée,,,,R19.7,ICD10,267060006,SNOMED,23,,
Difficulté à manger ou à boire (dysphagie),,,,R13.10,ICD10,40739000,SNOMED,24,,
Difficulté à marcher,,,,R26.2,ICD10,719232003,SNOMED,25,,
Troubles du nez et des sinus nasaux,,,,J34,ICD10,89488007,SNOMED,26,,
Perturbation de l'attention (altération de l'état mental),,,,R41.82,ICD10,419284004,SNOMED,27,,
Étourdissements / tête légère (étourdissements et vertiges),,,,R42,ICD10,271789005,SNOMED,28,,
Peau sèche (xérose cutis),,,,L85.3,ICD10,52475004,SNOMED,29,,
Pain d'oreille (otalgie),,,,H92.0,ICD10,301354004,SNOMED,30,,
Dysfonction érectile,,,,N52.9,ICD10,860914002,SNOMED,31,,
Évanouissement / panne de courant (syncope et effondrement),,,,R55,ICD10,309585006,SNOMED,32,,
Incontinence fécale,,,,R15,ICD10,72042002,SNOMED,33,,
Difficulté d'alimentation,,,,R63.3,ICD10,78164000,SNOMED,34,,
Fièvre,1.0,1.0,1.0,R50.9,ICD10,386661006,SNOMED,35,,
Saignement gastro-intestinal (hémorragie gastro-intestinale),,,,K92.2,ICD10,74474003,SNOMED,36,,
Mal de tête,,,,R51,ICD10,25064002,SNOMED,37,,
Hépatomégalie,,,,R16.0,ICD10,80515008,SNOMED,38,,
Agmentation de soif (polydipsie),,,,R63.1,ICD10,249477003,SNOMED,39,,
Augmentation de la miction (polyurie),,,,R35.8,ICD10,28442001,SNOMED,40,,
Irritabilité,,,,R45.4,ICD10,55929007,SNOMED,41,,
Œil qui démange,,,,H57.8,ICD10,74776002,SNOMED,42,,
Jaunisse,,,,R17,ICD10,18165001,SNOMED,43,,
Douleurs articulaires (arthralgie),,,,M25.5,ICD10,57676002,SNOMED,44,,
Kératite,,,,H16.9,ICD10,5888003,SNOMED,45,,
Faiblesse / paralysie des membres (monoplégie),,,,G83.3,ICD10,713514005,SNOMED,46,,
Œdème localisé,,,,R60.0,ICD10,274724004,SNOMED,47,,
Perte d'appétit (anorexie),,,,R63.0,ICD10,79890006,SNOMED,48,,
Perte d'odeur (anosmie),,,,R43.0,ICD10,44169009,SNOMED,49,,
Perte de goût (parageusie),,,,R43.2,ICD10,271801002,SNOMED,50,,
Lymphadénite,,,,I88,ICD10,19471005,SNOMED,51,,
Malaise et fatigue,,,,R53,ICD10,271795006,SNOMED,52,,
Ulcères de bouche (aphthae orale récurrente),,,,K12.0,ICD10,26284000,SNOMED,53,,
Lésion muqueuse,1.0,1.0,,,,427752005,SNOMED,54,,
Les maux musculaires (myalgie),,,,M79.1,ICD10,68962001,SNOMED,55,,
Faiblesse musculaire,,,,M62.81,ICD10,26544005,SNOMED,56,,
Congestion nasale,,,1.0,R09.81,ICD10,68235000,SNOMED,57,,
Nausées ou vomissements,,,,R11,ICD10,16932000,SNOMED,58,,
Douleur pendant la miction (dysurie),,,,R30.0,ICD10,49650001,SNOMED,59,,
Pâleur,,,,R23.1,ICD10,398979000,SNOMED,60,,
Palpitations,,,,R00.2,ICD10,80313002,SNOMED,61,,
