Drugs (Generic),Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Amikacine (amikin, biodacine, miacine)",1,,,,,,,,,J01GB06,ATC,,1,,
"Amoxicilline (amoxil, moxatag, trimox)",1,1.0,1.0,,,,1.0,,,J01CA04,ATC,,2,,
"Inhibiteur de l'amoxicilline / bêta-lactamase (amoxicilline / clavulanate, amoxicilline et acide clavulanique, augmentin, amoxyclav, co-amoxiclav)",1,1.0,1.0,,,,1.0,,,J01CR02,ATC,,3,,
"Amphotéricine (amphotéricine B, amphocine, fongizone, fongiline)",,,,,,,,,,J02AA01,ATC,,4,,
Ampicilline (polyflex),1,,,,,,,,,J01CA01,ATC,,5,,
"Inhibiteur de l'ampicilline / bêta-lactamase (ampicilline / sulbactam, sulacilline, unasyn)",1,,,,,,,,,J01CR01,ATC,,6,,
"Atovaquone (Mepron, Wellvone)",2,,,,,,,,,P01AX06,ATC,,7,,
"Azithromycine (Sumamed, Zithromax, Zmax)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,J01FA10,ATC,,8,,
"Aztreonam (azactam, Cayston, primbactam)",2,,,,,,,,,J01DF01,ATC,,9,,
"Bacampicillin (Penglobe, Spectrobid)",2,,,,,,,,,J01CA06,ATC,,10,,
Bacitracine (baciguent),2,,,,,,,,,J01XX10,ATC,,11,,
Phénoxyméthylpénicilline de la benzathine (pénicilline V),,,,,,,,,,J01CE10,ATC,,12,,
"Benzylpénicilline (pénicilline G, bactracilline G,)",1,,,,,,,,,J01CE01,ATC,,13,,
Capréomycine (Capastat),2,,,,,,,,,J04AB30,ATC,,14,,
"Carbénicilline indanyl sodium (anabactyle, carbapen, carrindacilline, pyopen)",2,,,,,,,,,J01CA05,ATC,,15,,
Caspofungin (cancys),,,,,,,,,,J02AX04,ATC,,16,,
"Cefaclor (Biocef, Ceclor, Raniclor)",2,,,,,,,,,J01DC04,ATC,,17,,
Cefadroxil (duricef),2,,,,,,,,,J01DB05,ATC,,18,,
"Cefalexin (Cephalexin, Keflex, Daxbia)",1,,,,,,,,,J01DB01,ATC,,19,,
Cefamandole (mandol),2,,,,,,,,,J01DC03,ATC,,20,,
"Cefazoline (ANCEF, Kefzol)",1,,,,,,,,,J01DB04,ATC,,21,,
"Cefdinir (Cefzon, omnicef)",2,,,,,,,,,J01DD15,ATC,,22,,
CefDorgeren (Spectracef),2,,,,,,,,,J01DD16,ATC,,23,,
Cefepime (maxipime),1,,,,,,,,,J01DE01,ATC,,24,,
Cefixime (suprax),2,,,,,,,,,J01DD08,ATC,,25,,
Céfmétazole (zefazone),2,,,,,,,,,J01DC09,ATC,,26,,
Cefoperazone (Cefobid),,,,,,,,,,J01DD12,ATC,,27,,
