Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006.0,SNOMED,bacteria,1,,
Achromobacter xylosoxidans,413424009.0,SNOMED,bacteria,2,,
Acinetobacter,7757008.0,SNOMED,bacteria,3,,
Acinetobacter anitratus,82550008.0,SNOMED,bacteria,4,,
Acinetobacter baumannii,91288006.0,SNOMED,bacteria,5,,
Acinetobacter calcoaceticus,413398000.0,SNOMED,bacteria,6,,
Complexe d'Acinetobacter calcoaceticus-baumannii,113376007.0,SNOMED,bacteria,7,,
Acinetobacter Johnsonii,252000.0,SNOMED,bacteria,8,,
Actinomyces israélii,46369004.0,SNOMED,bacteria,9,,
Aéromonas,88529008.0,SNOMED,bacteria,10,,
Agrégatibacter,441718002.0,SNOMED,bacteria,11,,
Bactéries anaérobies,59343002.0,SNOMED,bacteria,12,,
Bacille,44762009.0,SNOMED,bacteria,13,,
Bacillus anthracis,21927003.0,SNOMED,bacteria,14,,
Bacillus cereus,84408007.0,SNOMED,bacteria,15,,
Bacteroides fragilis,55247009.0,SNOMED,bacteria,16,,
Bacteroides thétaiotaomicron,34236001.0,SNOMED,bacteria,17,,
Bordetella pertussis,5247005.0,SNOMED,bacteria,18,,
Burkholderia,414324002.0,SNOMED,bacteria,19,,
Burkholderia Cenocepacia,416941006.0,SNOMED,bacteria,20,,
Burkholderia cepacia,113669008.0,SNOMED,bacteria,21,,
Burkholderia pseudomallei,116399000.0,SNOMED,bacteria,22,,
Campylobacter,35408001.0,SNOMED,bacteria,23,,
Chlamydia,16241000.0,SNOMED,bacteria,24,,
Chlamydophia pneumoniae,103514009.0,SNOMED,bacteria,25,,
Chryseobacterium indologènes,113549008.0,SNOMED,bacteria,26,,
Citrobacter,75972000.0,SNOMED,bacteria,27,,
Citrobacter Braakii,114262000.0,SNOMED,bacteria,28,,
Citrobacter freundii,6265002.0,SNOMED,bacteria,29,,
Citrobacter Koseri,114264004.0,SNOMED,bacteria,30,,
Clostridium botulinum,13080008.0,SNOMED,bacteria,31,,
Clostridium difficile,5933001.0,SNOMED,bacteria,32,,
Clostridium difficile (toxine positif),736050006.0,SNOMED,bacteria,33,,
Clostridium tétani,30917009.0,SNOMED,bacteria,34,,
Coagulase négative Staphylococcus,116197008.0,SNOMED,bacteria,35,,
Bactéries coliformes,77309002.0,SNOMED,bacteria,36,,
Corynebacterium,77086004.0,SNOMED,bacteria,37,,
Corynebacterium amycollatum,113611002.0,SNOMED,bacteria,38,,
Corynebacterium pseudodiphtheriticum,12050008.0,SNOMED,bacteria,39,,
Corynebacterium pseudotuberculose,55084001.0,SNOMED,bacteria,40,,
