Sample_Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Liquide amniotique,,,,,,,,TEMP,TEMP,1,,
BAL (lavage bronchoalvéolaire),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,2,,
Sang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TEMP,TEMP,3,,
Lait maternel,,,,,,,,TEMP,TEMP,4,,
Écouvillon buccal,,,,1.0,,1.0,,TEMP,TEMP,5,,
CSF (liquide céphalo-rachidien),,,1.0,1.0,,1.0,,TEMP,TEMP,6,,
Écouv contre la gorge nasal / NP + combiné,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,7,,
ETA (Endotracheal Aspirate),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,8,,
Tampon des yeux,,,,1.0,,1.0,1.0,TEMP,TEMP,9,,
Fèces / écouvillonnage rectal,,,,1.0,,1.0,,TEMP,TEMP,10,,
Lésion / croûte (peau) Écouvillon,,,,1.0,,1.0,,TEMP,TEMP,11,,
Écouvillon nasal / NP,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,12,,
Sang-né,,,1.0,,,,,TEMP,TEMP,13,,
Sperme,,,,1.0,,1.0,,TEMP,TEMP,14,,
Expectorations,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,15,,
Échantillon,,,,,,,,TEMP,TEMP,16,,
Écouvrage de la gorge,1.0,1.0,,1.0,1.0,1.0,1.0,TEMP,TEMP,17,,
Écouvillon urétral,,,,,,,,TEMP,TEMP,18,,
Urine,,,,1.0,,1.0,,TEMP,TEMP,19,,
Écouvillon vaginal,,,,1.0,,1.0,,TEMP,TEMP,20,,
