Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,1,,,1,,,,1,,
,,,,,,,,2,,
,1,,1,1,,,,3,,
,,,,,,,,4,,
,,,,,,,,5,,
,1,,,,,,,6,,
,1,,,,,,,7,,
,,,,,,,,8,,
,,,,,,,,9,,
,,,,,,,,10,,
,1,,1,1,,1,,11,,
,,,,,,,,12,,
,1,,,1,,1,,13,,
,,,,,,,,14,,
,1,,1,,,,,15,,
,,,,,,,,16,,
,1,,,,,,,17,,
,,,,,,,,18,,
,,,,,,,,19,,
,,,,,,,,20,,
,1,,,1,,,,21,,
