Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,,,,,,,,,1,,
,,,,,,,,,2,,
,,,,,,,,,3,,
,,,1.0,,,,,1.0,4,,
,,,,,,,,,5,,
,,,,,,,,,6,,
,,,,,,,,,7,,
,,,,,,,,,8,,
,,,,,,,,,9,,
,,,,,,,,,10,,
,,,,,,,,,11,,
,,,,,,,,,12,,
,,,,,,,,,13,,
,,,,,,,,,14,,
,,,,,,,,,15,,
,,,1.0,,,,,1.0,16,,
,,,1.0,,,,,1.0,17,,
,,,,,,,,,18,,
,,,,,,,,,19,,
,,,,,,,,,20,,
,,,,,,,,,21,,
,,,,,,,,,22,,
,,,,,,,,,23,,
,,,,,,,,,24,,
,,,,,,,,,25,,
,,,,,,,,,26,,
,,,,,,,,,27,,
,1.0,,,,,,,,28,,
,,,,,,,,,29,,
,,,,,,,,,30,,
,,,,,,,,,31,,
,,,,,,,,,32,,
,,,,,,,,,33,,
,,,,,,,,,34,,
,1.0,,,,,,,,35,,
