Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Syndromic CRF_ARI,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
,,,,,,,,,,1,,
,,,,,,,,,,2,,
,,,,,,,,,,3,,
,,,,,,1,,,,4,,
,1,,1,1,1,,1,1,1,5,,
,,,,,,,,,,6,,
,,,,,,,,,,7,,
,1,,1,1,1,,1,1,1,8,,
,1,,1,1,1,,1,1,1,9,,
,,,,,,,,,,10,,
,1,,1,1,,,1,1,,11,,
,1,,,1,1,,,,1,12,,
,,,,,,,,,,13,,
