Drugs (Generic),Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Syndromic CRF_ARI,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Amikacina (amikina, biodacina, miacina)",1,,,,,,,,,J01GB06,ATC,,1,,
"Amoxicilina (amoxil, moxatag, trílox)",1,1.0,1.0,,,,1.0,,,J01CA04,ATC,,2,,
"Inibidor de amoxicilina/beta-lactamase (amoxicilina/clavulanato, amoxicilina e ácido clavulânico, Augmentin, amoxiclav, co-amoxiclav)",1,1.0,1.0,,,,1.0,,,J01CR02,ATC,,3,,
"Anfotericina (anfotericina B, anfocina, fungizona, fungilina)",,,,,,,,,,J02AA01,ATC,,4,,
Ampicilina (Polyflex),1,,,,,,,,,J01CA01,ATC,,5,,
"Inibidor da ampicilina/beta-lactamase (ampicilina/sulbactam, sulacilina, UNASYN)",1,,,,,,,,,J01CR01,ATC,,6,,
"Atovaquone (Mepron, WellVone)",2,,,,,,,,,P01AX06,ATC,,7,,
"Azitromicina (Sumamed, Zithromax, Zmax)",1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,J01FA10,ATC,,8,,
"Aztreonam (Azactam, Cayston, Primbactam)",2,,,,,,,,,J01DF01,ATC,,9,,
"Bacampicilina (Penglobe, Spectrobid)",2,,,,,,,,,J01CA06,ATC,,10,,
Bacitracina (baciússia),2,,,,,,,,,J01XX10,ATC,,11,,
Benzatina fenoximetilpenicilina (penicilina V),,,,,,,,,,J01CE10,ATC,,12,,
"Benzilpenicilina (Penicilina G, Bactracilina G,)",1,,,,,,,,,J01CE01,ATC,,13,,
Capreomicina (Capastat),2,,,,,,,,,J04AB30,ATC,,14,,
"Carbenicilina Indanil Sodium (Anabactyl, Carbapen, Carindacilina, Pyopen)",2,,,,,,,,,J01CA05,ATC,,15,,
Caspofungina (Cancidas),,,,,,,,,,J02AX04,ATC,,16,,
"Cefaclor (Biocef, Ceclor, Raniclor)",2,,,,,,,,,J01DC04,ATC,,17,,
Cefadroxil (Duricef),2,,,,,,,,,J01DB05,ATC,,18,,
"Cefalexin (cefalexina, keflex, daxbia)",1,,,,,,,,,J01DB01,ATC,,19,,
