Disease,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adenovírus,,,,,1,,,,1,,,1,,
Infecção por vírus dos Andes (hantavírus),,,,,,,1,,,359761005,SNOMED,2,,
Febre hemorrágica argentina (vírus Junin),,,,,,,1,,,58868000,SNOMED,3,,
Influenza aviária A H7N9/ H5N1/ H5N8/ H7N7,,,,,1,,,,,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,4,,
Infecção bacteriana,1,1,1,1,1,1,1,1,1,87628006,SNOMED,5,,
Febre hemorrágica boliviana (vírus machupo),,,,,,,1,,,67247008,SNOMED,6,,
CoVID-19 (SARS-COV-2),,1,,,1,,,,1,840539006,SNOMED,7,,
Varicela (varicela),,,,1,,,,1,,58750007,SNOMED,8,,
Febre Hemorrágica do Congo da Crimeia (CCHF),,,,,,,1,,,43489008,SNOMED,9,,
Dengue,,,1,,,,1,,,38362002,SNOMED,10,,
Doença do vírus Ebola (EVD),,,,,,,1,,,37109004,SNOMED,11,,
Enterovírus,,,,,,,,,,53648006,SNOMED,12,,
Exposição ao agente CBRN,,,,,,,,,,,,13,,
Exposição a energia prejudicial,,,,,,,,,,,,14,,
HSV,,,,,,,,,,88594005,SNOMED,15,,
"Hepatite (Geral, não especificada)",,,1,,,,,,,40468003,SNOMED,16,,
Infecção pelo vírus do herpes simplex (HSV),,,,1,,,,1,,88594005,SNOMED,17,,
Infecção pelo vírus da imunodeficiência humana (infecção pelo HIV),,,,1,,,,1,,86406008,SNOMED,18,,
Influenza a h1n1,,,,,,,,,1,442352004,SNOMED,19,,
Influenza a h5n1,,,,,,,,,1,772827006,SNOMED,20,,
Influenza a h5n8,,,,,,,,,1,708527000,SNOMED,21,,
Influenza a h7n7,,,,,,,,,1,715346008,SNOMED,22,,
Influenza a h7n9,,,,,,,,,1,609444009,SNOMED,23,,
Influenza um vírus,,,,,,,,,1,407479009,SNOMED,24,,
Vírus influenza B.,,,,,,,,,1,407480007,SNOMED,25,,
Vírus influenza,,,,,,,,,1,725894000,SNOMED,26,,
JE,,,,,,,,,,52947006,SNOMED,27,,
Febre lassa,,,,,,,1,,,19065005,SNOMED,28,,
Doença do vírus Lujo,,,,,,,1,,,721784007,SNOMED,29,,
Doença do vírus de Marburg (MVD),,,,,,,1,,,77503002,SNOMED,30,,
Sarampo,,,,,,,,,,14189004,SNOMED,31,,
Síndrome respiratória do Oriente Médio (MERS),,,,,,,,,,6.51E+11,SNOMED,32,,
MPOX,1,,,1,,,,1,,359814004,SNOMED,33,,
Nipah,,,,,,,,,,406597005,SNOMED,34,,
Oropoche,,,,,,1,,,,72880002,SNOMED,35,,
Praga pneumônica (Yersinia pestis),,,,,,,,,,38976008,SNOMED,36,,
Infecção por vírus sincicial respiratório (RSV),,,,,,,,,1,55256001,SNOMED,37,,
Hepatite pediátrica aguda grave,,,,,,,,,,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,38,,
Síndrome respiratória aguda grave (SARS-NOT COVID-19),,,,,,,,,1,398447004,SNOMED,39,,
Febre grave com síndrome de trombocitopaenia (SFTs),,,,,,,,,,722401001,SNOMED,40,,
Influenza indefinida,,,,,,,,,1,155559006,SNOMED,41,,
,,,,,,,,,,,,42,,
