Sample_Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Fluido amniótico,,,,,,,,TEMP,TEMP,1,,
Bal (lavagem broncoalveolar),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,2,,
Sangue,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TEMP,TEMP,3,,
Leite materno,,,,,,,,TEMP,TEMP,4,,
Swab bucal,,,,1.0,,1.0,,TEMP,TEMP,5,,
CSF (líquido cefalorraquidiano),,,1.0,1.0,,1.0,,TEMP,TEMP,6,,
Cotonete nasal/np + combinado,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,7,,
ETA (aspirado endotraqueal),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,8,,
Swab ocular,,,,1.0,,1.0,1.0,TEMP,TEMP,9,,
Felas/swab retal,,,,1.0,,1.0,,TEMP,TEMP,10,,
Lesão/crosta (pele) swab,,,,1.0,,1.0,,TEMP,TEMP,11,,
Swab nasal/NP,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,12,,
Sangue neonato,,,1.0,,,,,TEMP,TEMP,13,,
Sêmen,,,,1.0,,1.0,,TEMP,TEMP,14,,
Escarro,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,15,,
Amostra de fezes,,,,,,,,TEMP,TEMP,16,,
Swab da garganta,1.0,1.0,,1.0,1.0,1.0,1.0,TEMP,TEMP,17,,
Swab uretral,,,,,,,,TEMP,TEMP,18,,
Urina,,,,1.0,,1.0,,TEMP,TEMP,19,,
Swab vaginal,,,,1.0,,1.0,,TEMP,TEMP,20,,
