Condition,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Síndrome de dificultad respiratoria aguda (SDRA),67782005.0,SNOMED,1,,
Bacteriemia,5758002.0,SNOMED,2,,
Infarto de miocardio,22298006.0,SNOMED,3,,
Hallazgo neurológico,102957003.0,SNOMED,4,,
Neumonía,233604007.0,SNOMED,5,,
Embolia pulmonar,59282003.0,SNOMED,6,,
Shock séptico,76571007.0,SNOMED,7,,
Trastorno de coagulación adquirido,234466008.0,SNOMED,8,,
Síndrome de insuficiencia renal aguda,14669001.0,SNOMED,9,,
Sangría,131148009.0,SNOMED,10,,
Paro cardiaco,410429000.0,SNOMED,11,,
Accidente cerebrovascular cardioembólico,413758000.0,SNOMED,12,,
Shock cardiogénico,89138009.0,SNOMED,13,,
Golpe cerebeloso,1.63717810001191e+16,SNOMED,14,,
Descompensación,87228002.0,SNOMED,15,,
Trombosis venosa profunda,128053003.0,SNOMED,16,,
Coagulación intravascular diseminada (DIC),67406007.0,SNOMED,17,,
Empiema,312682007.0,SNOMED,18,,
Encefalitis,45170000.0,SNOMED,19,,
Accidente cerebrovascular hemorrágico,1078001000000100.0,SNOMED,20,,
Neumonía adquirida en el hospital,425464007.0,SNOMED,21,,
Encefalopatía isquémica,389100007.0,SNOMED,22,,
Accidente cerebrovascular isquémico,422504002.0,SNOMED,23,,
Hígado grande,80515008.0,SNOMED,24,,
Meningitis,7180009.0,SNOMED,25,,
Síndrome inflamatorio multisistema en adultos,1119306006.0,SNOMED,26,,
Síndrome inflamatorio multisistema en niños,895448002.0,SNOMED,27,,
Neumotórax,36118008.0,SNOMED,28,,
Sangrado gastrointestinal recurrente,307296008.0,SNOMED,29,,
Infección recurrente del tracto urinario,197927001.0,SNOMED,30,,
Septicemia,91302008.0,SNOMED,31,,
Accidente cerebrovascular trombótico,371040005.0,SNOMED,32,,
Isquemia cerebral transitoria,266257000.0,SNOMED,33,,
Hipotensión transitoria,94501000000000.0,SNOMED,34,,
Neumonía asociada al ventilador,429271009.0,SNOMED,35,,
