Country,Region,Selected,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Afganistán,Asia,,1,,
Islas Aland,Europa,,2,,
Albania,Europa,,3,,
Argelia,África,,4,,
Samoa Americana,Oceanía,,5,,
Andorra,Europa,,6,,
Angola,África,,7,,
Anguila,Américas,,8,,
Antártida,Polar,,9,,
Antigua y Barbuda,Américas,,10,,
Argentina,Américas,,11,,
Armenia,Asia,,12,,
Aruba,Américas,,13,,
Australia,Oceanía,,14,,
Austria,Europa,,15,,
Azerbaiyán,Asia,,16,,
Bahréin,Asia,,17,,
Bangladesh,Asia,,18,,
Barbados,Américas,,19,,
Bielorrusia,Europa,,20,,
Bélgica,Europa,,21,,
Belice,Américas,,22,,
Benín,África,,23,,
islas Bermudas,Américas,,24,,
Bután,Asia,,25,,
bolivia,Américas,,26,,
"Bonaire, San Eustaquio y Saba",Américas,,27,,
Bosnia y Herzegovina,Europa,,28,,
Botsuana,África,,29,,
Isla Bouvet,,,30,,
Brasil,Américas,,31,,
Territorio Británico del Océano Índico,África,,32,,
Brunéi,Asia,,33,,
Bulgaria,Europa,,34,,
Burkina Faso,África,,35,,
Burundi,África,,36,,
Camboya,Asia,,37,,
Camerún,África,,38,,
Canadá,Américas,,39,,
Cabo Verde,África,,40,,
Islas Caimán,Américas,,41,,
República Centroafricana,África,,42,,
Chad,África,,43,,
Chile,Américas,,44,,
Porcelana,Asia,,45,,
Isla de Navidad,Oceanía,,46,,
Islas Cocos (Keeling),Oceanía,,47,,
Colombia,Américas,,48,,
Comoras,África,,49,,
Congo,África,,50,,
Islas Cook,Oceanía,,51,,
Costa Rica,Américas,,52,,
Costa de Marfil (Costa de Marfil),África,,53,,
Croacia,Europa,,54,,
Cuba,Américas,,55,,
Curazao,Américas,,56,,
Chipre,Europa,,57,,
República Checa,Europa,,58,,
República Democrática del Congo,África,,59,,
Dinamarca,Europa,,60,,
Yibuti,África,,61,,
república dominicana,Américas,,62,,
República Dominicana,Américas,,63,,
Ecuador,Américas,,64,,
Egipto,África,,65,,
Salvador,Américas,,66,,
Guinea Ecuatorial,África,,67,,
Eritrea,África,,68,,
Estonia,Europa,,69,,
Esuatini,África,,70,,
Etiopía,África,,71,,
Islas Malvinas,Américas,,72,,
Islas Feroe,Europa,,73,,
Islas Fiyi,Oceanía,,74,,
Finlandia,Europa,,75,,
Francia,Europa,,76,,
Guayana Francesa,Américas,,77,,
Polinesia Francesa,Oceanía,,78,,
Territorios Australes Franceses,África,,79,,
Gabón,África,,80,,
Gambia,África,,81,,
Georgia,Asia,,82,,
Alemania,Europa,,83,,
Ghana,África,,84,,
Gibraltar,Europa,,85,,
Grecia,Europa,,86,,
Tierra Verde,Américas,,87,,
Granada,Américas,,89,,
Guadalupe,Américas,,90,,
Guam,Oceanía,,91,,
Guatemala,Américas,,92,,
Guernesey y Alderney,Europa,,93,,
Guinea,África,,94,,
Guinea-Bisáu,África,,95,,
Guayana,Américas,,96,,
Haití,Américas,,97,,
Islas Heard y McDonald,,,98,,
Honduras,Américas,,100,,
RAE de Hong Kong,Asia,,101,,
Hungría,Europa,,102,,
Islandia,Europa,,103,,
India,Asia,,104,,
Indonesia,Asia,,105,,
Irán,Asia,,106,,
Irak,Asia,,107,,
Irlanda,Europa,,108,,
Israel,Asia,,109,,
Italia,Europa,,110,,
Jamaica,Américas,,111,,
Japón,Asia,,112,,
Jersey,Europa,,113,,
Jordán,Asia,,114,,
Kazajstán,Asia,,115,,
Kenia,África,,116,,
Kiribati,Oceanía,,117,,
Kosovo,Europa,,118,,
Kuwait,Asia,,119,,
Kirguistán,Asia,,120,,
Laos,Asia,,121,,
Letonia,Europa,,122,,
Líbano,Asia,,123,,
Lesoto,África,,124,,
Liberia,África,,125,,
Libia,África,,126,,
Liechtenstein,Europa,,127,,
Lituania,Europa,,128,,
Luxemburgo,Europa,,129,,
RAE de Macao,Asia,,130,,
Madagascar,África,,131,,
Malaui,África,,132,,
Malasia,Asia,,133,,
Maldivas,Asia,,134,,
Malí,África,,135,,
Malta,Europa,,136,,
Man (Isla de),Europa,,137,,
Islas Marshall,Oceanía,,138,,
Martinica,Américas,,139,,
Mauritania,África,,140,,
Mauricio,África,,141,,
Mayotte,África,,142,,
México,Américas,,143,,
Micronesia,Oceanía,,144,,
Moldavia,Europa,,145,,
Mónaco,Europa,,146,,
Mongolia,Asia,,147,,
Montenegro,Europa,,148,,
Montserrat,Américas,,149,,
Marruecos,África,,150,,
Mozambique,África,,151,,
Birmania,Asia,,152,,
Namibia,África,,153,,
Nauru,Oceanía,,154,,
Nepal,Asia,,155,,
Países Bajos,Europa,,156,,
Nueva Caledonia,Oceanía,,157,,
Nueva Zelanda,Oceanía,,158,,
Nicaragua,Américas,,159,,
Níger,África,,160,,
Nigeria,África,,161,,
Niue,Oceanía,,162,,
Isla Norfolk,Oceanía,,163,,
Corea del Norte,Asia,,164,,
Macedonia del Norte,Europa,,165,,
Islas Marianas del Norte,Oceanía,,166,,
Noruega,Europa,,167,,
Omán,Asia,,168,,
Pakistán,Asia,,169,,
Palaos,Oceanía,,170,,
Territorio palestino ocupado,Asia,,171,,
Panamá,Américas,,172,,
Papúa Nueva Guinea,Oceanía,,173,,
Paraguay,Américas,,174,,
Perú,Américas,,175,,
Filipinas,Asia,,176,,
Isla Pitcairn,Oceanía,,177,,
Polonia,Europa,,178,,
Portugal,Europa,,179,,
Puerto Rico,Américas,,180,,
Katar,Asia,,181,,
Reunión,África,,182,,
Rumania,Europa,,183,,
Rusia,Europa,,184,,
Ruanda,África,,185,,
santa elena,África,,186,,
San Cristóbal y Nieves,Américas,,187,,
Santa Lucía,Américas,,188,,
San Pedro y Miquelón,Américas,,189,,
San Vicente y las Granadinas,Américas,,190,,
San Bartolomé,Américas,,191,,
Saint-Martin (parte francesa),Américas,,192,,
Samoa,Oceanía,,193,,
San Marino,Europa,,194,,
Santo Tomé y Príncipe,África,,195,,
Arabia Saudita,Asia,,196,,
Senegal,África,,197,,
Serbia,Europa,,198,,
Seychelles,África,,199,,
Sierra Leona,África,,200,,
Singapur,Asia,,201,,
Sint Maarten (parte holandesa),Américas,,202,,
Eslovaquia,Europa,,203,,
Eslovenia,Europa,,204,,
Islas Salomón,Oceanía,,205,,
Somalia,África,,206,,
Sudáfrica,África,,207,,
Georgia del Sur,Américas,,208,,
Corea del Sur,Asia,,209,,
