Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code,Library,Unnamed: 6,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Ácido acetilsalicílico (aspirina),1,,,1,,,,B01AC06,ATC,,,1,,
Alteplase (Activase),,,,,,,,B01AD02,ATC,,,2,,
Apixaban (Eliquis),1,,1,1,,,,B01AF02,ATC,,,3,,
Argatroban (ACOVA),,,,,,,,B01AE03,ATC,,,4,,
Bivalirudina (Angiomax),,,,,,,,B01AE06,ATC,,,5,,
Clopidogrel (Plavix),1,,,,,,,B01AC04,ATC,,,6,,
Dabigatrán Etexilate (Pradaxa),1,,,,,,,B01AE07,ATC,,,7,,
Dalteparina (fragmín),,,,,,,,B01AB04,ATC,,,8,,
Desirudin (Iprivask),,,,,,,,B01AE01,ATC,,,9,,
"Edoxaban (Savaya, Lixiana)",,,,,,,,B01AF03,ATC,,,10,,
Enoxaparina (Lovenox),1,,1,1,,1,,B01AB05,ATC,,,11,,
Fondaparinux (Arixtra),,,,,,,,B01AX05,ATC,,,12,,
Heparina (heparina no fracturada),1,,,1,,1,,B01AB01,ATC,,,13,,
Lepirudina (refludan),,,,,,,,B01AE02,ATC,,,14,,
Rivaroxaban (Xarelto),1,,1,,,,,B01AF01,ATC,,,15,,
Estreptoquinasa,,,,,,,,B01AD01,ATC,,,16,,
Ticagrelor (Brilinta),1,,,,,,,B01AC24,ATC,,,17,,
Ticlopidina (ticlid,,,,,,,,B01AC05,ATC,,,18,,
Tinzaparina (innohep),,,,,,,,B01AB10,ATC,,,19,,
Uroquinasa (Kinlytic),,,,,,,,B01AD04,ATC,,,20,,
"Warfarina (Coumadin, Jantoven)",1,,,1,,,,B01AA03,ATC,,,21,,
