Drugs,Selected,preset_Respiratory,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,Code, Library,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
0.18% -0.3% cloruro de sodio + 4% de glucosa (solución salina hipotónica con dextrosa),,,,1,,,1,1,,,,,1,,
"0,45% de cloruro de sodio (solución salina medio normal)",,,,1,,,1,1,,,,,2,,
0.45% salina normal + 4% de glucosa (solución salina medio normal con dextrosa),,,,1,,,1,1,,,,,3,,
"Cloruro de sodio al 0,9% (solución salina normal)",,,,1,,,1,1,,,,,4,,
5% de glucosa (dextrosa 5% en agua),,,,1,,,1,1,,,,,5,,
Albúmina,,,,1,,,1,1,,,,,6,,
Gelatinas,,,,1,,,1,1,,,,,7,,
Timbres lactados (USP),,,,1,,,1,1,,,,,8,,
Plasmalito,,,,1,,,1,1,,,,,9,,
Timbres acetato,,,,1,,,1,1,,,,,10,,
Almidón,,,,1,,,1,1,,,,,11,,
