Drugs,Selected,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
"Ácido acetilsalicílico (aspirina, ascriptina, ecotrina)",1,1,1,N02BA01,ATC,1,,
Celecoxib (Celebrex),1,1,1,M01AH01,ATC,2,,
"Diclofenac (Voltaren, Cataflam)",1,1,1,M01AB05,ATC,3,,
Etoricoxib (arcoxia),,,,M01AH05,ATC,4,,
"FLURBIPROFEN (ANSAID, OCUFEN)",,,,M01AE09,ATC,5,,
"Ibuprofeno (Advil, Motrin)",1,1,1,M01AE01,ATC,6,,
Indometacina (indocina),1,1,1,M01AB01,ATC,7,,
"Ketoprofeno (ORUDIS, ORUVAIL)",,,,M01AE03,ATC,8,,
Ketorolac (Toradol),,,,M01AB15,ATC,9,,
Ácido mefenámico (Ponstel),,,,M01AG01,ATC,10,,
Meloxicam (móvil),,,,M01AC06,ATC,11,,
Nabumetona (Relafen),,,,M01AX01,ATC,12,,
"Naproxen (Aleve, Naprosyn)",1,1,1,M01AE02,ATC,13,,
Piroxicam (Feldene),,,,M01AC01,ATC,14,,
Sulindac (Clinoril),,,,M01AB02,ATC,15,,
