Disease,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_UserGenerated_Oropouche,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Adenovirus,,,,,1,,,,1,,,1,,
Infección por el virus de los Andes (hantavirus),,,,,,,1,,,359761005,SNOMED,2,,
Fiebre hemorrágica argentina (virus de Junin),,,,,,,1,,,58868000,SNOMED,3,,
Influenza aviar A H7N9/ H5N1/ H5N8/ H7N7,,,,,1,,,,,NEW CODE (609444009 | Influenza A virus subtype H7N9 (organism) |772827006 | Influenza A virus subtype H5N1 (organism) |715346008 | Influenza A virus subtype H7N7 (organism) |708527000 | Influenza A virus subtype H5N8 (organism) |,,4,,
Infección bacteriana,1,1,1,1,1,1,1,1,1,87628006,SNOMED,5,,
Fiebre hemorrágica boliviana (virus de Machupo),,,,,,,1,,,67247008,SNOMED,6,,
Covid-19 (SARS-Cov-2),,1,,,1,,,,1,840539006,SNOMED,7,,
Varicela (varicela),,,,1,,,,1,,58750007,SNOMED,8,,
Fiebre hemorrágica del Congo Crime (CCHF),,,,,,,1,,,43489008,SNOMED,9,,
Dengue,,,1,,,,1,,,38362002,SNOMED,10,,
Enfermedad del virus del ébola (EVD),,,,,,,1,,,37109004,SNOMED,11,,
Enterovirus,,,,,,,,,,53648006,SNOMED,12,,
Exposición al agente CBRN,,,,,,,,,,,,13,,
Exposición a energía dañina,,,,,,,,,,,,14,,
HSV,,,,,,,,,,88594005,SNOMED,15,,
"Hepatitis (general, no especificada)",,,1,,,,,,,40468003,SNOMED,16,,
Infección por virus del herpes simple (HSV),,,,1,,,,1,,88594005,SNOMED,17,,
Infección por virus de inmunodeficiencia humana (infección por VIH),,,,1,,,,1,,86406008,SNOMED,18,,
Influenza a H1N1,,,,,,,,,1,442352004,SNOMED,19,,
Influenza a h5n1,,,,,,,,,1,772827006,SNOMED,20,,
Influenza a h5n8,,,,,,,,,1,708527000,SNOMED,21,,
Influenza a H7N7,,,,,,,,,1,715346008,SNOMED,22,,
Influenza a H7N9,,,,,,,,,1,609444009,SNOMED,23,,
Virus de influenza,,,,,,,,,1,407479009,SNOMED,24,,
Virus de influenza B,,,,,,,,,1,407480007,SNOMED,25,,
Virus de la influenza,,,,,,,,,1,725894000,SNOMED,26,,
Je,,,,,,,,,,52947006,SNOMED,27,,
Fiebre de lassa,,,,,,,1,,,19065005,SNOMED,28,,
Enfermedad del virus de Lujo,,,,,,,1,,,721784007,SNOMED,29,,
Enfermedad del virus de Marburg (MVD),,,,,,,1,,,77503002,SNOMED,30,,
Sarampión,,,,,,,,,,14189004,SNOMED,31,,
Síndrome respiratorio de Medio Oriente (MERS),,,,,,,,,,6.51E+11,SNOMED,32,,
Mpox,1,,,1,,,,1,,359814004,SNOMED,33,,
Nipah,,,,,,,,,,406597005,SNOMED,34,,
Oropouche,,,,,,1,,,,72880002,SNOMED,35,,
Peste neumónica (Yersinia pestis),,,,,,,,,,38976008,SNOMED,36,,
Infección del virus sincitial respiratorio (RSV),,,,,,,,,1,55256001,SNOMED,37,,
Hepatitis pediátrica aguda severa,,,,,,,,,,37871000 | Acute hepatitis (disorder) |24484000 | Severe (severity modifier) (qualifier value) |255398004 | Childhood (qualifier value) |,SNOMED,38,,
Síndrome respiratorio agudo severo (SARS-Noh Covid-19),,,,,,,,,1,398447004,SNOMED,39,,
Fiebre severa con síndrome de trombocitopenia (SFTS),,,,,,,,,,722401001,SNOMED,40,,
Influenza indefinida,,,,,,,,,1,155559006,SNOMED,41,,
,,,,,,,,,,,,42,,
