Microorganism,Code,Library,Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_Syndrome_VHF,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Comment,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Achromobacter,91620006,SNOMED,bacteria,,,,,,,,,,1,,
Achromobacter xilosoxidans,413424009,SNOMED,bacteria,,,,,,,,,,2,,
Acinetobacter,7757008,SNOMED,bacteria,,,,,,,,,,3,,
Acinetobacter anitrato,82550008,SNOMED,bacteria,,,,,,,,,,4,,
Acinetobacter baumannii,91288006,SNOMED,bacteria,,,,,,,,,,5,,
Acinetobacter calcoaceticus,413398000,SNOMED,bacteria,,,,,,,,,,6,,
Complejo de acinetobacter calcoaceticus-baumannii,113376007,SNOMED,bacteria,,,,,,,,,,7,,
Acinetobacter Johnsonii,252000,SNOMED,bacteria,,,,,,,,,,8,,
Acremonio,63996006,SNOMED,fungi,,,,,,,,,,9,,
Actinomyces israelii,46369004,SNOMED,bacteria,,,,,,,,,,10,,
Adenoviridae,424470006,SNOMED,virus,,,,,,,1,1,,11,,
Aeromonas,88529008,SNOMED,bacteria,,,,,,,,,,12,,
Agregado,441718002,SNOMED,bacteria,,,,,,,,,,13,,
Bacterias anaeróbicas,59343002,SNOMED,bacteria,,,,,,,,,,14,,
Ancylostoma duodenale,81559006,SNOMED,"parasite, helminth",,,,,,,,,,15,,
Andes ortohantavirus,442001008,SNOMED,virus,,,,,,,,,,16,,
Arenaviridae,243624009,SNOMED,virus,,,,,,,,,,17,,
Ascaris lumbricoides,19061001,SNOMED,"parasite, helminth",,,,,,,,,,18,,
Aspergilo,2429008,SNOMED,fungi,,,,,,,,,,19,,
Aspergillus flavus,66821001,SNOMED,fungi,,,,,,,,,,20,,
Aspergillus fumigatus,32684000,SNOMED,fungi,,,,,,,,,,21,,
Complejo aspergillus fumigatus,719029007,SNOMED,fungi,,,,,,,,,,22,,
Aspergillus niger,89354002,SNOMED,fungi,,,,,,,,,,23,,
Aspergillus terreus,26406003,SNOMED,fungi,,,,,,,,,,24,,
Aspergillus versicolor,48315007,SNOMED,fungi,,,,,,,,,,25,,
Astroviridae,424055004,SNOMED,virus,,,,,,,,,,26,,
Influenza aviar A H5N1,772827006,SNOMED,virus,,,,,,,,,,27,,
Influenza aviar A H7N9,609444009,SNOMED,virus,,,,,,,,,,28,,
Bacilo,44762009,SNOMED,bacteria,,,,,,,,,,29,,
Bacillus anthracis,21927003,SNOMED,bacteria,,,,,,,,,,30,,
Bacillus cereus,84408007,SNOMED,bacteria,,,,,,,,,,31,,
Bacteroides fragilis,55247009,SNOMED,bacteria,,,,,,,,,,32,,
Bacteroides thetaiotaomicron,34236001,SNOMED,bacteria,,,,,,,,,,33,,
Blastocystis hominis,28923009,SNOMED,"parasite, Stramenopiles",,,,,,,,,,34,,
Blastomyces dermatitidis,65615007,SNOMED,fungi,,,,,,,,,,35,,
Bocavirus (género),430902006,SNOMED,virus,,,,,,,,,,36,,
Bordetella ferina,5247005,SNOMED,bacteria,,,,,,,,,,37,,
Brugia malayi,112443002,SNOMED,"parasite, helminth",,,,,,,,,,38,,
Bunyaviridae (familia),243615000,SNOMED,virus,,,,,,,,,,39,,
Burkholderia,414324002,SNOMED,bacteria,,,,,,,,,,40,,
Burkholderia cenocepacia,416941006,SNOMED,bacteria,,,,,,,,,,41,,
Burkholderia cepacia,113669008,SNOMED,bacteria,,,,,,,,,,42,,
Burkholderia pseudomallei,116399000,SNOMED,bacteria,,,,,,,,,,43,,
Caliciviridae (familia),243627002,SNOMED,virus,,,,,,,,,,44,,
Campylobacter,35408001,SNOMED,bacteria,,,,,,,,,,45,,
Candida,3265006,SNOMED,fungi,,,,,,,,,,46,,
Candida albicans,53326005,SNOMED,fungi,,,,,,,,,,47,,
Candida auris,3.49E+12,SNOMED,fungi,,,,,,,,,,48,,
Candida dubliniensis,115952006,SNOMED,fungi,,,,,,,,,,49,,
Candida glabrata,444877006,SNOMED,fungi,,,,,,,,,,50,,
Candida inconspicua,283871001,SNOMED,fungi,,,,,,,,,,51,,
Ortopsilosis de candida,3.69E+12,SNOMED,fungi,,,,,,,,,,52,,
Candida parapsilosis,61302002,SNOMED,fungi,,,,,,,,,,53,,
Candida Tropicalis,47885008,SNOMED,fungi,,,,,,,,,,54,,
Clamidia,16241000,SNOMED,bacteria,,,,,,,,,,55,,
Chlamydophila pneumoniae,103514009,SNOMED,bacteria,,,,,,,,,,56,,
Chryseobacterium indologenos,113549008,SNOMED,bacteria,,,,,,,,,,57,,
Citrobacter,75972000,SNOMED,bacteria,,,,,,,,,,58,,
Citrobacter braakii,114262000,SNOMED,bacteria,,,,,,,,,,59,,
Citrobacter freundii,6265002,SNOMED,bacteria,,,,,,,,,,60,,
Citrobacter koseri,114264004,SNOMED,bacteria,,,,,,,,,,61,,
Clavispora lusitaniae,50164000,SNOMED,fungi,,,,,,,,,,62,,
Clonorchis sinensis,36559008,SNOMED,"parasite, helminth",,,,,,,,,,63,,
Clostridium botulinum,13080008,SNOMED,bacteria,,,,,,,,,,64,,
Clostridium difficile,5933001,SNOMED,bacteria,,,,,,,,,,65,,
Clostridium difficile (toxina positiva),736050006,SNOMED,bacteria,,,,,,,,,,66,,
Clostridium tetani,30917009,SNOMED,bacteria,,,,,,,,,,67,,
Staphylococcus de coagulasa,116197008,SNOMED,bacteria,,,,,,,,,,68,,
Coccidioides,8672004,SNOMED,fungi,,,,,,,,,,69,,
Coccidioides inmites,23439005,SNOMED,fungi,,,,,,,,,,70,,
Bacteria coliforme,77309002,SNOMED,bacteria,,,,,,,,,,71,,
Coronaviridae (familia),243607003,SNOMED,virus,,,,,,,,,,72,,
Corynebacterium,77086004,SNOMED,bacteria,,,,,,,,,,73,,
Corynebacterium amycolatum,113611002,SNOMED,bacteria,,,,,,,,,,74,,
Corynebacterium pseudodiphtheriticum,12050008,SNOMED,bacteria,,,,,,,,,,75,,
Corynebacterium pseudotuberculosis,55084001,SNOMED,bacteria,,,,,,,,,,76,,
Corynebacterium striatum,63815007,SNOMED,bacteria,,,,,,,,,,77,,
Corynebacterium ulcerans,103428000,SNOMED,bacteria,,,,,,,,,,78,,
Corynebacterium xerosis,27101006,SNOMED,bacteria,,,,,,,,,,79,,
Virus de fiebre hemorrágica de Crimea-Congo (CCHF),79875007,SNOMED,virus,,1,,,,,,,,80,,
Cryptococcus,17579001,SNOMED,bacteria,,,,,,,,,,81,,
Cryptococcus gattii,450862004,SNOMED,fungi,,,,,,,,,,82,,
Cryptococcus neoformans,67168003,SNOMED,fungi,,,,,,,,,,84,,
Criptosporidium,83821001,SNOMED,"parasite, protozoa",,,,,,,,,,85,,
Cryptosporidium hominis,417722006,SNOMED,"parasite, protozoa",,,,,,,,,,86,,
Cryptosporidium parvum,51504002,SNOMED,"parasite, protozoa",,,,,,,,,,87,,
Curvularia lunata,33165007,SNOMED,fungi,,,,,,,,,,89,,
Ciclospora,103560006,SNOMED,"parasite, protozoa",,,,,,,,,,90,,
Ciclospora cayetanensis,103561005,SNOMED,"parasite, protozoa",,,,,,,,,,91,,
Citomegalovirus,407444007,SNOMED,virus,,,,,,,,,,92,,
Delftia,416493002,SNOMED,bacteria,,,,,,,,,,93,,
Delftia Acidovorans,20432002,SNOMED,bacteria,,,,,,,,,,94,,
Deltavirus,83617006,SNOMED,virus,,,,,,,,,,95,,
Virus del dengue,34348001,SNOMED,virus,,,,,,,,,,96,,
Dermabacter,413976002,SNOMED,bacteria,,,,,,,,,,97,,
Diferoide,54642001,SNOMED,bacteria,,,,,,,,,,98,,
Diphyllobothrium latum,40406002,SNOMED,"parasite, helminth",,,,,,,,,,100,,
Dracunculus medinensis,3824001,SNOMED,"parasite, helminth",,,,,,,,,,101,,
Virus del ébola,424206003,SNOMED,virus,,1,,,,,,,,102,,
Equinococcus granulosus,243672005,SNOMED,"parasite, helminth",,,,,,,,,,103,,
Eggerthella,414075007,SNOMED,bacteria,,,,,,,,,,104,,
Elizabethkingia,426244005,SNOMED,bacteria,,,,,,,,,,105,,
Entamoeba,38324000,SNOMED,"parasite, protozoa",,,,,,,,,,106,,
Entamoeba dispar,415987008,SNOMED,"parasite, protozoa",,,,,,,,,,107,,
Entamoeba histolytica,4716008,SNOMED,"parasite, protozoa",,,,,,,,,,108,,
Bacterias entéricas,106544002,SNOMED,bacteria,,,,,,,,,,109,,
Enterobacterista,58683007,SNOMED,bacteria,,,,,,,,,,110,,
Enterobacter aerogenes,62592009,SNOMED,bacteria,,,,,,,,,,111,,
Enterobacter asburiae,33115003,SNOMED,bacteria,,,,,,,,,,112,,
Enterobacter bugandensis,1.14E+14,SNOMED,bacteria,,,,,,,,,,113,,
Enterobacter cloacae,14385002,SNOMED,bacteria,,,,,,,,,,114,,
Complejo Enterobacter cloacae,414102007,SNOMED,bacteria,,,,,,,,,,115,,
Enterobacter hormaechei,114454006,SNOMED,bacteria,,,,,,,,,,116,,
Enterobacter kobei,114456008,SNOMED,bacteria,,,,,,,,,,117,,
Enterobacteriaceae,106544002,SNOMED,bacteria,,,,,,,,,,118,,
Enterobius vermicularis,55008000,SNOMED,"parasite, helminth",,,,,,,,,,119,,
Enterococo,2785000,SNOMED,bacteria,,,,,,,,,,120,,
Enterococcus avium,87875008,SNOMED,bacteria,,,,,,,,,,121,,
Enterococcus faecalis,78065002,SNOMED,bacteria,,,,,,,,,,122,,
Enterococcus faecium,90272000,SNOMED,bacteria,,,,,,,,,,123,,
Enterococcus rffinosus,103437000,SNOMED,bacteria,,,,,,,,,,124,,
Enterovirus (Enterovirus de género),243633006,SNOMED,virus,,,,,,,,,,125,,
Epidermophyton,112403007,SNOMED,fungi,,,,,,,,,,126,,
Escherichia,64735005,SNOMED,bacteria,,,,,,,,,,127,,
Escherichia coli,112283007,SNOMED,bacteria,,,,,,,,,,128,,
Exophiala dermatitidis,20586007,SNOMED,fungi,,,,,,,,,,129,,
FalciformiSpora senegalensis (anteriormente Leptosfaeria senegalensis),48529007,SNOMED,fungi,,,,,,,,,,130,,
Filoviridae (familia),407325004,SNOMED,virus,,,,,,,,,,131,,
Flaviviridae (familia),243602009,SNOMED,virus,,,,,,,,,,132,,
Francisella tularensis,51526001,SNOMED,bacteria,,,,,,,,,,133,,
Hongos,414561005,SNOMED,fungi,,,,,,,,,,134,,
Fusario,35238009,SNOMED,fungi,,,,,,,,,,135,,
Fusobacterium nucleatum,32763000,SNOMED,bacteria,,,,,,,,,,136,,
Género Marburgvirus,424421007,SNOMED,virus,,1,,,,,,,,137,,
Giardia,61419001,SNOMED,"parasite, protozoa",,,,,,,,,,138,,
Giardia intestinalis,78181009,SNOMED,"parasite, protozoa",,,,,,,,,,139,,
Giardia Lamblia,78181009,SNOMED,"parasite, protozoa",,,,,,,,,,140,,
Bacilo gramnegativo,87172008,SNOMED,bacteria,,,,,,,,,,141,,
Bacilo gram-positivo,83514008,SNOMED,bacteria,,,,,,,,,,142,,
Coccus gram-positivo,59206002,SNOMED,bacteria,,,,,,,,,,143,,
Granulicatella adiacens,113713009,SNOMED,bacteria,,,,,,,,,,144,,
Haemophilus,71268004,SNOMED,bacteria,,,,,,,,,,145,,
Haemophilus ducreyi,64889004,SNOMED,bacteria,,,,,,,,,,146,,
Haemophilus influenzae,44470000,SNOMED,bacteria,,,,,,,,,,147,,
Haemophilus parainfluenzae,51593004,SNOMED,bacteria,,,,,,,,,,148,,
Hafnia Alvei,76694001,SNOMED,bacteria,,,,,,,,,,149,,
Hantavirus,49445003,SNOMED,virus,,1,,,,,,,,150,,
Helicobacter pylori,80774000,SNOMED,bacteria,,,,,,,,,,151,,
Virus Hendra,115510008,SNOMED,virus,,,,,,,,,,152,,
Hepadnaviridae,422951006,SNOMED,virus,,,,,,,,,,153,,
Virus de hepatitis A,32452004,SNOMED,virus,,,,,,,,,,154,,
virus de la hepatitis B,81665004,SNOMED,virus,,,,,,,1,,,155,,
Virus de la hepatitis C,62944002,SNOMED,virus,,,,,,,1,,,156,,
Hepatitis D,83617006,SNOMED,virus,,,,,,,,,,157,,
Virus de la hepatitis E,78475006,SNOMED,virus,,,,,,,,,,158,,
Herpesviridae,128377001,SNOMED,virus,,,,,,,,,,159,,
Histoplasma,81951003,SNOMED,fungi,,,,,,,,,,160,,
Histoplasma capsulatum,56596006,SNOMED,fungi,,,,,,,,,,161,,
"Herpesvirus 1 humano (HHV1, Herpes Simplex Virus 1, HSV1)",407451003,SNOMED,virus,,,,,,,,,,162,,
"Herpesvirus 2 humano (HHV2, Herpes Simplex Virus 2, HSV2)",407450002,SNOMED,virus,,,,,,,,,,163,,
"Herpesvirus 3 humano (Varicella-Zoster Virus, VZV)",19551004,SNOMED,virus,,,,1,,,1,,,164,,
"Herpesvirus 4 humano (Virus Epstein-Barr, EBV)",40168006,SNOMED,virus,,,,,,,,,,165,,
"Herpesvirus 5 humano (Cytomegalovirus HumanBeta5, HCMV)",243579005,SNOMED,virus,,,,,,,,,,166,,
Herpesvirus 6 humano (Virus de Roseola Infantum),103528003,SNOMED,virus,,,,,,,,,,167,,
Virus de inmunodeficiencia humana (VIH),19030005,SNOMED,virus,,,,,,,1,,,168,,
Virus de inmunodeficiencia humana tipo 1 (VIH-1),89293008,SNOMED,virus,,,,,,,,,,169,,
Virus de inmunodeficiencia humana tipo 2 (VIH-2),36115006,SNOMED,virus,,,,,,,,,,170,,
Metapneumovirus humano (HMPV),416730002,SNOMED,virus,,,,,,,,,,171,,
Virus de parainfluenza humano,407498006,SNOMED,virus,,,,,,,,,,172,,
Virus de parainfluenza 1,407489008,SNOMED,virus,,,,,,,,,,173,,
Virus de parainfluenza de paraainza humano 2,407491000,SNOMED,virus,,,,,,,,,,174,,
Virus para parainfluenza 3,407493002,SNOMED,virus,,,,,,,,,,175,,
Virus de paraainfluenza humano 4,89117003,SNOMED,virus,,,,,,,,,,176,,
Parvovirus humano B19,63603005,SNOMED,virus,,,,,,,,,,177,,
Virus sincitial respiratorio humano (RSV),6415009,SNOMED,virus,,,,,,,,,,178,,
Bocavirus humano,446373002,SNOMED,virus,,,,,,,,,,179,,
Coronavirus humano,84101006,SNOMED,virus,,,,,,,,,,180,,
Hymenolepis diminuta,23895005,SNOMED,"parasite, helminth",,,,,,,,,,181,,
Hymenolepis nana,74311004,SNOMED,"parasite, helminth",,,,,,,,,,182,,
Influenza a H1N1,442352004,SNOMED,virus,1,,,,1,,,1,,183,,
Influenza a h5n1,772827006,SNOMED,virus,1,,,,1,,,1,,184,,
Influenza a h5n8,708527000,SNOMED,virus,1,,,,1,,,1,,185,,
Influenza a H7N7,715346008,SNOMED,virus,1,,,,1,,,1,,186,,
Influenza a H7N9,609444009,SNOMED,virus,1,,,,1,,,1,,187,,
Virus de influenza,407479009,SNOMED,virus,1,,,,1,,,1,,188,,
Virus de influenza B,407480007,SNOMED,virus,1,,,,1,,,1,,189,,
Virus de la influenza,725894000,SNOMED,virus,1,,,,1,,1,1,,190,,
Isospora Belli,12633005,SNOMED,"parasite, protozoa",,,,,,,,,,191,,
Virus de encefalitis japonesa (JEV),243603004,SNOMED,virus,,,,,,,,,,192,,
Virus de Junin,26352009,SNOMED,virus,,,,,,,,,,193,,
Klebsiella,75032006,SNOMED,bacteria,,,,,,,,,,194,,
Klebsiella aerogenes,62592009,SNOMED,bacteria,,,,,,,,,,195,,
Klebsiella oxytoca,40886007,SNOMED,bacteria,,,,,,,,,,196,,
Klebsiella pneumoniae,56415008,SNOMED,bacteria,,,,,,,,,,197,,
"Klebsiella pneumoniae, ESBL",409801009,SNOMED,bacteria,,,,,,,,,,198,,
Klebsiella variicola,431976004,SNOMED,bacteria,,,,,,,,,,199,,
Lacticaseibacillus rhamnosus,113798001,SNOMED,bacteria,,,,,,,,,,200,,
Virus de lassa,85944001,SNOMED,virus,,1,,,,,,,,201,,
Legionella,7527002,SNOMED,bacteria,,,,,,,,,,202,,
Legionella pneumophila,80897008,SNOMED,bacteria,,,,,,,,,,203,,
Leishmania,79357004,SNOMED,"parasite, protozoa",,,,,,,,,,204,,
Leishmania Viannia,712933004,SNOMED,"parasite, protozoa",,,,,,,,,,205,,
Leishmania brasiliensis,83196002,SNOMED,"parasite, protozoa",,,,,,,,,,206,,
Leishmania brasiliensis complejo,7400004,SNOMED,"parasite, protozoa",,,,,,,,,,207,,
Complejo Leishmania Donovani,79781008,SNOMED,"parasite, protozoa",,,,,,,,,,208,,
Leptospira interroganos,116401006,SNOMED,bacteria,,,,,,,,,,209,,
Lichthiemia,734206002,SNOMED,fungi,,,,,,,,,,210,,
Listeria monocytogenes,36094007,SNOMED,bacteria,,,,,,,,,,211,,
Lomentospora prolificans (SCEDosporium prlificans),69564000,SNOMED,fungi,,,,,,,,,,212,,
Virus de Lujo,450622000,SNOMED,virus,,,,,,,,,,213,,
Virus de coriomeningitis linfocítica (LCMV),82518003,SNOMED,virus,,,,,,,,,,214,,
Mers-cov,697932005,SNOMED,virus,,,,,,,,1,,215,,
Virus machupo,71489006,SNOMED,virus,,1,,,,,,,,216,,
Madurella,23009007,SNOMED,fungi,,,,,,,,,,217,,
Malassezia pachydermatis,51257000,SNOMED,fungi,,,,,,,,,,218,,
Sarampión morbillivirus,52584002,SNOMED,virus,,,,1,,,,,,219,,
Metapneumovirus,407501006,SNOMED,virus,,,,,,,,,,220,,
Staphylococcus aureus resistente a la meticilina (MRSA),115329001,SNOMED,bacteria,,,,,,,,,,221,,
Meticilina Staphylococcus aureus (MSSA),417943000,SNOMED,bacteria,,,,,,,,,,222,,
Meyerozyma guilliermondii,29812000,SNOMED,fungi,,,,,,,,,,223,,
Micrococos,52864008,SNOMED,bacteria,,,,,,,,,,224,,
Micrococcus luteus,48299003,SNOMED,bacteria,,,,,,,,,,225,,
Microsporidia,418382009,SNOMED,"parasite, protozoa",,,,,,,,,,226,,
Microsporum,11983001,SNOMED,fungi,,,,,,,,,,227,,
Síndrome respiratorio de Medio Oriente Coronavir,697932005,SNOMED,virus,,,,,,,,,,228,,
Mirabilis,79589007,SNOMED,bacteria,,,,,,,,,,229,,
