Microorganism,Code,Library,Type,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
acremonio,63996006.0,SNOMED,fungi,1,,
adenovirus,424470006.0,SNOMED,virus,2,,
Ancylostoma duodenal,81559006.0,SNOMED,"parasite, helminth",3,,
Ortohantavirus de los Andes,442001008.0,SNOMED,virus,4,,
Arenaviridae,243624009.0,SNOMED,virus,5,,
Ascaris lumbricoides,19061001.0,SNOMED,"parasite, helminth",6,,
Aspergilo,2429008.0,SNOMED,fungi,7,,
Aspergillus flavus,66821001.0,SNOMED,fungi,8,,
Aspergillus fumigatus,32684000.0,SNOMED,fungi,9,,
Complejo Aspergillus fumigatus,719029007.0,SNOMED,fungi,10,,
Aspergillus niger,89354002.0,SNOMED,fungi,11,,
Aspergillus terreus,26406003.0,SNOMED,fungi,12,,
Aspergillus versicolor,48315007.0,SNOMED,fungi,13,,
Astroviridae,424055004.0,SNOMED,virus,14,,
Influenza aviar A H5N1,772827006.0,SNOMED,virus,15,,
Influenza aviar A H7N9,609444009.0,SNOMED,virus,16,,
Blastocystis hominis,28923009.0,SNOMED,"parasite, Stramenopiles",17,,
Blastomyces dermatitidis,65615007.0,SNOMED,fungi,18,,
Bocavirus (Género),430902006.0,SNOMED,virus,19,,
brugia malayo,112443002.0,SNOMED,"parasite, helminth",20,,
Bunyaviridae (Familia),243615000.0,SNOMED,virus,21,,
Caliciviridae (Familia),243627002.0,SNOMED,virus,22,,
cándida,3265006.0,SNOMED,fungi,23,,
Candida albicans,53326005.0,SNOMED,fungi,24,,
Candida auris,3490000000000.0,SNOMED,fungi,25,,
Candida dubliniensis,115952006.0,SNOMED,fungi,26,,
Candida glabrata,444877006.0,SNOMED,fungi,27,,
Candida inconspicua,283871001.0,SNOMED,fungi,28,,
ortopsilosis por cándida,3690000000000.0,SNOMED,fungi,29,,
Candida parapsilosis,61302002.0,SNOMED,fungi,30,,
Candida tropicalis,47885008.0,SNOMED,fungi,31,,
Clavispora lusitaniae,50164000.0,SNOMED,fungi,32,,
Clonorchis sinensis,36559008.0,SNOMED,"parasite, helminth",33,,
Coccidioides,8672004.0,SNOMED,fungi,34,,
Coccidioides immitis,23439005.0,SNOMED,fungi,35,,
Coronaviridae (Familia),243607003.0,SNOMED,virus,36,,
Virus de la fiebre hemorrágica de Crimea-Congo (FECH),79875007.0,SNOMED,virus,37,,
Criptococo gattii,450862004.0,SNOMED,fungi,38,,
Criptococo neoformans,67168003.0,SNOMED,fungi,39,,
criptosporidio,83821001.0,SNOMED,"parasite, protozoa",40,,
Criptosporidio hominis,417722006.0,SNOMED,"parasite, protozoa",41,,
criptosporidio parvum,51504002.0,SNOMED,"parasite, protozoa",42,,
Curvularia lunata,33165007.0,SNOMED,fungi,43,,
ciclospora,103560006.0,SNOMED,"parasite, protozoa",44,,
Cyclospora cayetanensis,103561005.0,SNOMED,"parasite, protozoa",45,,
Citomegalovirus,407444007.0,SNOMED,virus,46,,
deltavirus,83617006.0,SNOMED,virus,47,,
virus del dengue,34348001.0,SNOMED,virus,48,,
Diphyllobothrium latum,40406002.0,SNOMED,"parasite, helminth",49,,
Dracunculus medinensis,3824001.0,SNOMED,"parasite, helminth",50,,
virus del ébola,424206003.0,SNOMED,virus,51,,
Echinococcus granulosus,243672005.0,SNOMED,"parasite, helminth",52,,
entamoeba,38324000.0,SNOMED,"parasite, protozoa",53,,
Entamoeba dispar,415987008.0,SNOMED,"parasite, protozoa",54,,
Entamoeba histolítica,4716008.0,SNOMED,"parasite, protozoa",55,,
enterobio vermicularis,55008000.0,SNOMED,"parasite, helminth",56,,
Enterovirus (género Enterovirus),243633006.0,SNOMED,virus,57,,
epidermofiton,112403007.0,SNOMED,fungi,58,,
Exophiala dermatitidis,20586007.0,SNOMED,fungi,59,,
Falciformispora senegalensis (anteriormente Leptosphaeria senegalensis),48529007.0,SNOMED,fungi,60,,
Filoviridae (Familia),407325004.0,SNOMED,virus,61,,
Flaviviridae (Familia),243602009.0,SNOMED,virus,62,,
Hongos,414561005.0,SNOMED,fungi,63,,
fusarium,35238009.0,SNOMED,fungi,64,,
género Marburgvirus,424421007.0,SNOMED,virus,65,,
giardiana,61419001.0,SNOMED,"parasite, protozoa",66,,
Giardia intestinalis,78181009.0,SNOMED,"parasite, protozoa",67,,
Giardia lamblia,78181009.0,SNOMED,"parasite, protozoa",68,,
hantavirus,49445003.0,SNOMED,virus,69,,
virus hendra,115510008.0,SNOMED,virus,70,,
Hepadnaviridae,422951006.0,SNOMED,virus,71,,
virus de la hepatitis A,32452004.0,SNOMED,virus,72,,
virus de la hepatitis B,81665004.0,SNOMED,virus,73,,
virus de la hepatitis C,62944002.0,SNOMED,virus,74,,
Hepatitis D,83617006.0,SNOMED,virus,75,,
virus de la hepatitis E,78475006.0,SNOMED,virus,76,,
Herpesviridae,128377001.0,SNOMED,virus,77,,
histoplasma,81951003.0,SNOMED,fungi,78,,
Histoplasma capsulatum,56596006.0,SNOMED,fungi,79,,
"Herpesvirus humano 1 (HHV1, virus del herpes simple 1, HSV1)",407451003.0,SNOMED,virus,80,,
"Herpesvirus humano 2 (HHV2, virus del herpes simple 2, HSV2)",407450002.0,SNOMED,virus,81,,
"Herpesvirus humano 3 (virus varicela-zóster, VZV)",19551004.0,SNOMED,virus,82,,
"Herpesvirus humano 4 (virus de Epstein-Barr, EBV)",40168006.0,SNOMED,virus,83,,
"Herpesvirus humano 5 (Citomegalovirus humanobeta5, hCMV)",243579005.0,SNOMED,virus,84,,
Herpesvirus humano 6 (virus de la roséola infantil),103528003.0,SNOMED,virus,85,,
Virus de la Inmunodeficiencia Humana (VIH),19030005.0,SNOMED,virus,86,,
Virus de la inmunodeficiencia humana tipo 1 (VIH-1),89293008.0,SNOMED,virus,87,,
Virus de la inmunodeficiencia humana tipo 2 (VIH-2),36115006.0,SNOMED,virus,89,,
Metaneumovirus humano (hMPV),416730002.0,SNOMED,virus,90,,
Virus de la parainfluenza humana,407498006.0,SNOMED,virus,91,,
Virus de la parainfluenza humana 1,407489008.0,SNOMED,virus,92,,
Virus de la parainfluenza humana 2,407491000.0,SNOMED,virus,93,,
Virus de la parainfluenza humana 3,407493002.0,SNOMED,virus,94,,
Virus de la parainfluenza humana 4,89117003.0,SNOMED,virus,95,,
Parvovirus humano b19,63603005.0,SNOMED,virus,96,,
Virus sincitial respiratorio humano (VRS),6415009.0,SNOMED,virus,97,,
bocavirus humano,446373002.0,SNOMED,virus,98,,
Coronavirus humano,84101006.0,SNOMED,virus,100,,
Hymenolepis diminuta,23895005.0,SNOMED,"parasite, helminth",101,,
Hymenolepis nana,74311004.0,SNOMED,"parasite, helminth",102,,
Influenza A subtipo H5N8,708527000.0,SNOMED,virus,103,,
Gripe A suptipo H7N7,715346008.0,SNOMED,virus,104,,
Virus de la gripe A,407479009.0,SNOMED,virus,105,,
Virus de la influenza A subtipo H1N1,442352004.0,SNOMED,virus,106,,
Virus de la influenza A subtipo H5N1,772827006.0,SNOMED,virus,107,,
Virus de la influenza A subtipo H7N9,609444009.0,SNOMED,virus,108,,
virus de la influenza B,407480007.0,SNOMED,virus,109,,
virus de la influenza,725894000.0,SNOMED,virus,110,,
Isospora belli,12633005.0,SNOMED,"parasite, protozoa",111,,
Virus de la encefalitis japonesa (JEV),243603004.0,SNOMED,virus,112,,
virus junín,26352009.0,SNOMED,virus,113,,
virus lassa,85944001.0,SNOMED,virus,114,,
Leishmania,79357004.0,SNOMED,"parasite, protozoa",115,,
Leishmania Viannia,712933004.0,SNOMED,"parasite, protozoa",116,,
Leishmania braziliensis,83196002.0,SNOMED,"parasite, protozoa",117,,
Complejo Leishmania braziliensis,7400004.0,SNOMED,"parasite, protozoa",118,,
complejo de leishmania donovani,79781008.0,SNOMED,"parasite, protozoa",119,,
lictiemia,734206002.0,SNOMED,fungi,120,,
Lomentospora prolificans (Scedosporium prlificans),69564000.0,SNOMED,fungi,121,,
virus de lujo,450622000.0,SNOMED,virus,122,,
Virus de la coriomeningitis linfocítica (LCMV),82518003.0,SNOMED,virus,123,,
MERS-CoV,697932005.0,SNOMED,virus,124,,
virus machupo,71489006.0,SNOMED,virus,125,,
madurela,23009007.0,SNOMED,fungi,126,,
Malassezia pachydermatis,51257000.0,SNOMED,fungi,127,,
Morbilivirus del sarampión,52584002.0,SNOMED,virus,128,,
Metapneumovirus,407501006.0,SNOMED,virus,129,,
Meyerozyma guilliermondii,29812000.0,SNOMED,fungi,130,,
microsporidios,418382009.0,SNOMED,"parasite, protozoa",131,,
microsporo,11983001.0,SNOMED,fungi,132,,
Síndrome respiratorio de Oriente Medio Coronavirus,697932005.0,SNOMED,virus,133,,
virus mpox,59774002.0,SNOMED,virus,134,,
Mucor,49782006.0,SNOMED,fungi,135,,
Virus de las paperas,50384007.0,SNOMED,virus,136,,
Necator americano,43905006.0,SNOMED,"parasite, helminth",137,,
Neotestudina rosatii (Zopfia rosatii),47066009.0,SNOMED,fungi,138,,
virus nipah,115511007.0,SNOMED,virus,139,,
Norovirus,407359000.0,SNOMED,virus,140,,
Onchocerca vólvulo,52397001.0,SNOMED,"parasite, helminth",141,,
Orthomyxoviridae (virus de la influenza),55014007.0,SNOMED,virus,142,,
virus del papiloma,243584004.0,SNOMED,virus,143,,
Papoviridae,243587006.0,SNOMED,virus,144,,
Paracoccidioides,112405000.0,SNOMED,fungi,145,,
Paragonimus westermani,58412002.0,SNOMED,"parasite, helminth",146,,
Paramixoviridae,128354001.0,SNOMED,virus,147,,
Parvoviridae,243587006.0,SNOMED,virus,148,,
Penicillium,42993004.0,SNOMED,fungi,149,,
Pichia kudriavzeveii,16452009.0,SNOMED,fungi,150,,
Picornaviridae,407344006.0,SNOMED,virus,151,,
Plasmodio,34706006.0,SNOMED,"parasite, protozoa",152,,
Plasmodium falciparum,30020004.0,SNOMED,"parasite, protozoa",153,,
Plasmodium malariae,56395006.0,SNOMED,"parasite, protozoa",154,,
Plasmodium oval,18508006.0,SNOMED,"parasite, protozoa",155,,
Plasmodium vivax,74746009.0,SNOMED,"parasite, protozoa",156,,
neumocistis,115987006.0,SNOMED,fungi,157,,
Pneumocystis jirovecii,79909001.0,SNOMED,fungi,158,,
Enfermedades priónicas,20484008.0,SNOMED,Prions,159,,
virus de la rabia,59881000.0,SNOMED,virus,160,,
Virus respiratorio sincitial (VSR),6415009.0,SNOMED,virus,161,,
Retroviridae,77622001.0,SNOMED,virus,162,,
rabdoviridae,407326003.0,SNOMED,virus,163,,
rizomucor,85711000.0,SNOMED,fungi,164,,
Rizopus,17683005.0,SNOMED,fungi,165,,
Virus de la fiebre del Valle del Rift,28335002.0,SNOMED,virus,166,,
Virus del río Ross,32458000.0,SNOMED,virus,167,,
Rotavirus,417542000.0,SNOMED,virus,168,,
virus de la rubéola,5210005.0,SNOMED,virus,169,,
SARS-CoV-2,840533007.0,SNOMED,virus,170,,
SARS-CoV-2 Beta-B.1.351,,,virus,171,,
Delta del SARS-CoV-2 - B.1.617.2,,,virus,172,,
SARS-CoV-2 Eta - B.1.525,,,virus,173,,
SARS-CoV-2 Gamma - P.1,,,virus,174,,
SARS-CoV-2 Iota-B.1.526,,,virus,175,,
SARS-CoV-2 Kappa - B.1.617.1,,,virus,176,,
Omicrón SARS-CoV-2,,,virus,177,,
Omicrón SARS-CoV-2 - B.1.1.529,,,virus,178,,
SARS-CoV-2 Omicron - B.1.1.529.2 BA.2,,,virus,179,,
SARS-CoV-2 Omicron - B.1.1.529.5 BA.5,,,virus,180,,
SARS-CoV-2 Theta-P.3,,,virus,181,,
SARS-CoV-2 Zeta - P.2,,,virus,182,,
SARS-CoV-2 Alfa - B.1.1.7,,,virus,183,,
Antígeno SARS-CoV-2,840536004.0,SNOMED,virus (substance),184,,
Anticuerpo IgG contra el SARS-CoV-2,63000000000000.0,SNOMED,virus (substance),185,,
Anticuerpo IgG/IgM contra el SARS-CoV-2,840535000.0,SNOMED,virus (substance),186,,
Anticuerpo IgM contra el SARS-CoV-2,50600000000000.0,SNOMED,virus (substance),187,,
Saccharomyces cerevisiae,765320007.0,SNOMED,fungi,188,,
Sapovirus,407362002.0,SNOMED,virus,189,,
Scedosporio,31901009.0,SNOMED,fungi,190,,
esquistosoma,53583001.0,SNOMED,"parasite, helminth",191,,
Schistosoma guineensis,,,"parasite, helminth",192,,
esquistosoma haematobio,3294004.0,SNOMED,"parasite, helminth",193,,
esquistosoma intercalatum,15685002.0,SNOMED,"parasite, helminth",194,,
Schistosoma japonicum,5249008.0,SNOMED,"parasite, helminth",195,,
esquistosoma mansoni,11168007.0,SNOMED,"parasite, helminth",196,,
Schistosoma mekongi,75475007.0,SNOMED,"parasite, helminth",197,,
Síndrome Respiratorio Agudo Severo Coronavirus 2,1240000000000000.0,SNOMED,virus,198,,
Coronavirus relacionado con el síndrome respiratorio agudo severo,415360003.0,SNOMED,virus,199,,
Fiebre severa con síndrome de trombocitopenia (SFTS),722401001.0,SNOMED,virus,200,,
Simplexvirus (Género),314797000.0,SNOMED,virus,201,,
Sporothrix schenckii,32662000.0,SNOMED,fungi,202,,
Strongyloides stercoralis,42625000.0,SNOMED,"parasite, helminth",203,,
Taenia saginata,61085008.0,SNOMED,"parasite, helminth",204,,
Tenia solium,17966003.0,SNOMED,"parasite, helminth",205,,
Talaromyces marneffei,71825007.0,SNOMED,fungi,206,,
Togoviridae,129231002.0,SNOMED,virus,207,,
toxocara canis,88857009.0,SNOMED,"parasite, helminth",208,,
toxoplasma,61949005.0,SNOMED,"parasite, protozoa",209,,
Toxoplasma gondii,4649006.0,SNOMED,"parasite, protozoa",210,,
Trichinella espiralis,16439004.0,SNOMED,"parasite, helminth",211,,
Tricomonas,3764006.0,SNOMED,"parasite, protozoa",212,,
Trichomonas vaginalis,22417000.0,SNOMED,"parasite, protozoa",213,,
Tricófito,88578003.0,SNOMED,fungi,214,,
Trichosporon asahii,243475001.0,SNOMED,fungi,215,,
Trichuris trichiura,5378007.0,SNOMED,"parasite, helminth",216,,
tripanosoma,40740003.0,SNOMED,"parasite, protozoa",217,,
Trypanosoma brucei gambiense,20027006.0,SNOMED,"parasite, protozoa",218,,
Trypanosoma brucei rhodesiense,79513002.0,SNOMED,"parasite, protozoa",219,,
tripanosoma cruzi,88274000.0,SNOMED,"parasite, protozoa",220,,
Virus del Nilo Occidental,57311007.0,SNOMED,virus,221,,
Wuchereria bancrofti,84925004.0,SNOMED,"parasite, helminth",222,,
Levadura,62093005.0,SNOMED,fungi,223,,
virus zika,50471002.0,SNOMED,virus,224,,
