Sample_Type,Selected,preset_ARChetype Disease CRF_Covid,preset_ARChetype Disease CRF_Dengue,preset_ARChetype Disease CRF_Mpox,preset_ARChetype Disease CRF_H5Nx,preset_ARChetype Disease CRF_Mpox-Pregnancy&Paediatrics,preset_ARChetype Syndromic CRF_ARI,Code,Library,Value,Language Speaker Reviewed,Clinical Language Speaker Reviewed
Fluido amniótico,,,,,,,,TEMP,TEMP,1,,
Bal (lavado broncoalveolar),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,2,,
Sangre,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TEMP,TEMP,3,,
Leche materna,,,,,,,,TEMP,TEMP,4,,
Hisopo bucal,,,,1.0,,1.0,,TEMP,TEMP,5,,
CSF (líquido cefalorraquídeo),,,1.0,1.0,,1.0,,TEMP,TEMP,6,,
SwaB combinada nasal/np + garganta,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,7,,
ETA (aspirado endotraqueal),1.0,1.0,,,1.0,,1.0,TEMP,TEMP,8,,
Hisopo de los ojos,,,,1.0,,1.0,1.0,TEMP,TEMP,9,,
Heces/hisopos rectales,,,,1.0,,1.0,,TEMP,TEMP,10,,
Hisopo de lesión/corteza (piel),,,,1.0,,1.0,,TEMP,TEMP,11,,
Hisopo nasal/np,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,12,,
Sangre neonatada,,,1.0,,,,,TEMP,TEMP,13,,
Semen,,,,1.0,,1.0,,TEMP,TEMP,14,,
Esputo,1.0,1.0,,,1.0,,1.0,TEMP,TEMP,15,,
Muestra de heces,,,,,,,,TEMP,TEMP,16,,
Hisopo de la garganta,1.0,1.0,,1.0,1.0,1.0,1.0,TEMP,TEMP,17,,
Hisopo uretral,,,,,,,,TEMP,TEMP,18,,
Orina,,,,1.0,,1.0,,TEMP,TEMP,19,,
Hisopo vaginal,,,,1.0,,1.0,,TEMP,TEMP,20,,
