Language,RelativePath,Value,Note
Portugues,conditions/Comorbidities.csv,1,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,10,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,11,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,12,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,13,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,14,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,15,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,16,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,17,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,18,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,19,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,2,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,20,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,21,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,22,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,23,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,24,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,25,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,26,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,27,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,28,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,29,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,3,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,30,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,31,Nuevo en English. Falta traducir la primera columna.
Portugues,conditions/Comorbidities.csv,32,Nuevo en English. Falta traducir la primera columna.
